Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
Al Jazeera,https://www.aljazeera.com/opinions/2024/9/18/whats-behind-germanys-raging-islamophobia,What's behind Germany's raging Islamophobia? | Islamophobia | Al ...,"Sep 18, 2024 ... A general tendency in German politics to normalise and engage in the demonisation and scapegoating of Muslims.",Last update 19 Sep 2024,2024-11-18 01:20:55.679046,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2016/11/9/donald-trump-the-islamophobia-president,Donald Trump: The Islamophobia president | Elections | Al Jazeera,"Nov 9, 2016 ... Trump rose to power with an Islamophobic campaign and Islamophobia now will become his official policy.",Last update 9 Nov 2016,2024-11-18 01:20:55.753939,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2018/3/12/rethinking-islamophobia-2,Rethinking Islamophobia | Islamophobia | Al Jazeera,"Mar 12, 2018 ... Islamophobia is far more than merely 'dread or hatred of Muslims', or 'fear or dislike' of the faith and its followers.",Last update 12 Mar 2018,2024-11-18 01:20:55.841204,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2019/11/17/why-the-french-left-has-a-problem-with-islamophobia,Why the French left has a problem with Islamophobia | Islamophobia ...,"Nov 17, 2019 ... A recent anti-Islamophobia march in Paris has exposed deep divisions among French leftists on Islam.",17 Nov 2019,2024-11-18 01:20:55.923419,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/features/2022/6/10/analysis-islamophobia-is-the-norm-in-modis-india,Analysis: Islamophobia is the norm in Modi's India | Islamophobia ...,"Jun 10, 2022 ... Islamophobic comments by two BJP staffers that recently caused a diplomatic storm should not be seen as an anomaly.",10 Jun 2022,2024-11-18 01:20:56.004684,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/features/2016/6/24/report-islamophobia-is-a-multimillion-dollar-industry,Report: Islamophobia is a multimillion-dollar industry | Human ...,"Jun 24, 2016 ... More than $200m spent on promoting fear and hatred of Muslims in US by various groups between 2008 and 2013.",24 Jun 2016,2024-11-18 01:20:56.082790,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/news/2023/12/21/seen-as-less-human-why-has-islamophobia-surged-amid-israels-gaza-war,'Seen as less human': Why has Islamophobia surged amid Israel's ...,"Dec 21, 2023 ... John Esposito: Israeli politics has used the Islamophobic rhetoric to create a devastating impact in portraying Muslims and Arabs as the enemy ...",Last update 21 Dec 2023,2024-11-18 01:20:56.145289,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/gallery/2023/4/18/history-illustrated-the-rise-of-islamophobia-in-india,The Rise and Rise of Islamophobia in India | Islamophobia | Al ...,"Apr 18, 2023 ... Muslims have been subjected to violence for decades, and Indian Prime Minister Narendra Modi has only made things worse.",Last update 19 Apr 2023,2024-11-18 01:20:56.223382,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/news/2022/9/11/decades-after-9-11-muslims-battle-islamophobia-in,"Decades after 9/11, Muslims battle Islamophobia in US | September ...","Sep 11, 2022 ... Decades after 9/11, Muslims battle Islamophobia in US. The September 11, 2001 attacks on the United States ushered in a new era of hate crimes, ...",11 Sep 2022,2024-11-18 01:20:56.285867,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/features/2017/6/10/how-us-groups-spread-hate-via-the-islamophobia-industry,How US groups spread hate via the Islamophobia industry ...,"Jun 10, 2017 ... Al Jazeera spoke to Nathan Lean, author of The Islamophobia Industry: How the Right Manufactures Fear of Muslims, about ACT for America and the prevalence of ...",Last update 10 Jun 2017,2024-11-18 01:20:56.363975,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2024/9/18/whats-behind-germanys-raging-islamophobia,What's behind Germany's raging Islamophobia? | Islamophobia | Al ...,"Sep 18, 2024 ... A general tendency in German politics to normalise and engage in the demonisation and scapegoating of Muslims.",Last update 19 Sep 2024,2024-11-18 01:21:01.563738,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2016/11/9/donald-trump-the-islamophobia-president,Donald Trump: The Islamophobia president | Elections | Al Jazeera,"Nov 9, 2016 ... Trump rose to power with an Islamophobic campaign and Islamophobia now will become his official policy.",Last update 9 Nov 2016,2024-11-18 01:21:01.657470,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2018/3/12/rethinking-islamophobia-2,Rethinking Islamophobia | Islamophobia | Al Jazeera,"Mar 12, 2018 ... Islamophobia is far more than merely 'dread or hatred of Muslims', or 'fear or dislike' of the faith and its followers.",Last update 12 Mar 2018,2024-11-18 01:21:01.735571,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2019/11/17/why-the-french-left-has-a-problem-with-islamophobia,Why the French left has a problem with Islamophobia | Islamophobia ...,"Nov 17, 2019 ... A recent anti-Islamophobia march in Paris has exposed deep divisions among French leftists on Islam.",17 Nov 2019,2024-11-18 01:21:01.813677,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/features/2022/6/10/analysis-islamophobia-is-the-norm-in-modis-india,Analysis: Islamophobia is the norm in Modi's India | Islamophobia ...,"Jun 10, 2022 ... Islamophobic comments by two BJP staffers that recently caused a diplomatic storm should not be seen as an anomaly.",10 Jun 2022,2024-11-18 01:21:01.907412,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/features/2016/6/24/report-islamophobia-is-a-multimillion-dollar-industry,Report: Islamophobia is a multimillion-dollar industry | Human ...,"Jun 24, 2016 ... More than $200m spent on promoting fear and hatred of Muslims in US by various groups between 2008 and 2013.",24 Jun 2016,2024-11-18 01:21:01.969902,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/news/2023/12/21/seen-as-less-human-why-has-islamophobia-surged-amid-israels-gaza-war,'Seen as less human': Why has Islamophobia surged amid Israel's ...,"Dec 21, 2023 ... John Esposito: Israeli politics has used the Islamophobic rhetoric to create a devastating impact in portraying Muslims and Arabs as the enemy ...",Last update 21 Dec 2023,2024-11-18 01:21:02.048022,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/gallery/2023/4/18/history-illustrated-the-rise-of-islamophobia-in-india,The Rise and Rise of Islamophobia in India | Islamophobia | Al ...,"Apr 18, 2023 ... Muslims have been subjected to violence for decades, and Indian Prime Minister Narendra Modi has only made things worse.",Last update 19 Apr 2023,2024-11-18 01:21:02.126105,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/news/2022/9/11/decades-after-9-11-muslims-battle-islamophobia-in,"Decades after 9/11, Muslims battle Islamophobia in US | September ...","Sep 11, 2022 ... Decades after 9/11, Muslims battle Islamophobia in US. The September 11, 2001 attacks on the United States ushered in a new era of hate crimes, ...",11 Sep 2022,2024-11-18 01:21:02.219833,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/features/2017/6/10/how-us-groups-spread-hate-via-the-islamophobia-industry,How US groups spread hate via the Islamophobia industry ...,"Jun 10, 2017 ... Al Jazeera spoke to Nathan Lean, author of The Islamophobia Industry: How the Right Manufactures Fear of Muslims, about ACT for America and the prevalence of ...",Last update 10 Jun 2017,2024-11-18 01:21:02.313559,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2017/8/9/when-anti-semitism-and-islamophobia-join-hands,When anti-Semitism and Islamophobia join hands | Islamophobia ...,"Aug 9, 2017 ... When anti-Semitism and Islamophobia join hands. The campaign against George Soros has fueled a dangerous symbiosis between anti-Semitism and ...",9 Aug 2017,2024-11-18 01:21:02.391667,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/news/2022/3/16/pakistan-pm-lauds-un-for-international-day-to-combat-islamophobia,Pakistan PM lauds UN for International Day to Combat Islamophobia ...,"Mar 16, 2022 ... Imran Khan welcomes UNGA's approval to a resolution setting March 15 as International Day to Combat Islamophobia.",16 Mar 2022,2024-11-18 01:21:02.469783,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/news/2020/10/29/pakistans-khan-calls-for-muslim-unity-against-islamophobia,Pakistan's Imran Khan urges Muslim unity against Islamophobia ...,"Oct 29, 2020 ... Pakistan's Imran Khan urges Muslim unity against Islamophobia. In letter to leaders of Muslim-majority countries, the Pakistani prime minister ...",29 Oct 2020,2024-11-18 01:21:02.547905,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/news/2022/4/3/france-election-muslims-islamophobia-macron,Islamophobia on the rise as French presidential election nears ...,"Apr 3, 2022 ... Muslims have increasingly been portrayed as a threat to French society under Macron's presidency, analysts say.",Last update 4 Apr 2022,2024-11-18 01:21:02.625987,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/features/2019/3/8/noura-bendali-the-muslim-dane-fighting-against-islamophobia,Noura Bendali: The Muslim Dane fighting against Islamophobia ...,"Mar 8, 2019 ... After her child was bullied, Noura Bendali is attempting to fight Islamophobia in Denmark by entering politics.",8 Mar 2019,2024-11-18 01:21:02.704095,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/features/2016/7/26/muslims-at-the-dnc-taking-a-stand-against-islamophobia,Muslims at the DNC: Taking a stand against Islamophobia ...,"Jul 26, 2016 ... Muslim leaders urge members of their community to use their vote to challenge rising Islamophobia and to 'defeat hate'.",Last update 26 Jul 2016,2024-11-18 01:21:02.782200,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/news/2017/11/16/how-has-islamophobia-changed-over-the-past-20-years,How has Islamophobia changed over the past 20 years ...,"Nov 16, 2017 ... 'Muslim penalty'. Elahi added that the proliferation of Islamophobia had stretched beyond influencing policy, leading to a “Muslim penalty” ...",Last update 16 Nov 2017,2024-11-18 01:21:02.969659,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/news/2017/3/24/canada-passes-m-103-motion-against-islamophobia,Canada passes M-103 motion against Islamophobia | Islamophobia ...,"Mar 24, 2017 ... The non-binding motion, which condemns “Islamophobia and all forms of systemic racism and religious discrimination”, passed on Thursday among a ...",24 Mar 2017,2024-11-18 01:21:03.047766,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2017/3/3/the-liberal-roots-of-islamophobia,The liberal roots of Islamophobia | Islamophobia | Al Jazeera,"Mar 3, 2017 ... These liberal Islamophobes, proverbially the enemy of that which they do not understand, pontificate their pathological fear of Islam and ...",Last update 3 Mar 2017,2024-11-18 01:21:03.125871,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2024/9/18/whats-behind-germanys-raging-islamophobia,What's behind Germany's raging Islamophobia? | Islamophobia | Al ...,"Sep 18, 2024 ... A general tendency in German politics to normalise and engage in the demonisation and scapegoating of Muslims.",Last update 19 Sep 2024,2024-11-18 01:21:08.347660,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2016/11/9/donald-trump-the-islamophobia-president,Donald Trump: The Islamophobia president | Elections | Al Jazeera,"Nov 9, 2016 ... Trump rose to power with an Islamophobic campaign and Islamophobia now will become his official policy.",Last update 9 Nov 2016,2024-11-18 01:21:08.425767,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2018/3/12/rethinking-islamophobia-2,Rethinking Islamophobia | Islamophobia | Al Jazeera,"Mar 12, 2018 ... Islamophobia is far more than merely 'dread or hatred of Muslims', or 'fear or dislike' of the faith and its followers.",Last update 12 Mar 2018,2024-11-18 01:21:08.503874,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/opinions/2019/11/17/why-the-french-left-has-a-problem-with-islamophobia,Why the French left has a problem with Islamophobia | Islamophobia ...,"Nov 17, 2019 ... A recent anti-Islamophobia march in Paris has exposed deep divisions among French leftists on Islam.",17 Nov 2019,2024-11-18 01:21:08.581981,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/features/2022/6/10/analysis-islamophobia-is-the-norm-in-modis-india,Analysis: Islamophobia is the norm in Modi's India | Islamophobia ...,"Jun 10, 2022 ... Islamophobic comments by two BJP staffers that recently caused a diplomatic storm should not be seen as an anomaly.",10 Jun 2022,2024-11-18 01:21:08.660088,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/features/2016/6/24/report-islamophobia-is-a-multimillion-dollar-industry,Report: Islamophobia is a multimillion-dollar industry | Human ...,"Jun 24, 2016 ... More than $200m spent on promoting fear and hatred of Muslims in US by various groups between 2008 and 2013.",24 Jun 2016,2024-11-18 01:21:08.738197,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/news/2023/12/21/seen-as-less-human-why-has-islamophobia-surged-amid-israels-gaza-war,'Seen as less human': Why has Islamophobia surged amid Israel's ...,"Dec 21, 2023 ... John Esposito: Israeli politics has used the Islamophobic rhetoric to create a devastating impact in portraying Muslims and Arabs as the enemy ...",Last update 21 Dec 2023,2024-11-18 01:21:08.847553,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/gallery/2023/4/18/history-illustrated-the-rise-of-islamophobia-in-india,The Rise and Rise of Islamophobia in India | Islamophobia | Al ...,"Apr 18, 2023 ... Muslims have been subjected to violence for decades, and Indian Prime Minister Narendra Modi has only made things worse.",Last update 19 Apr 2023,2024-11-18 01:21:08.956895,Islamophobia,Al Jazeera,International,
Al Jazeera,https://www.aljazeera.com/news/2022/9/11/decades-after-9-11-muslims-battle-islamophobia-in,"Decades after 9/11, Muslims battle Islamophobia in US | September ...","Sep 11, 2022 ... Decades after 9/11, Muslims battle Islamophobia in US. The September 11, 2001 attacks on the United States ushered in a new era of hate crimes, ...",11 Sep 2022,2024-11-18 01:21:09.034998,Islamophobia,Al Jazeera,International,
