Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
BBC,https://www.bbc.com/culture/article/20240927-10-of-the-best-films-about-us-presidential-elections,10 great films about US presidential elections,"The tension is building in the race for the White House – and that tension runs through Hollywood's most gripping political dramas, comedies and documentaries.",1 Oct 2024,2024-10-15 00:28:32.320738,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/videos/cp8e463n690o,Sparks fly in Question Time US election special,Politicians and pundits were quizzed by the BBC's Fiona Bruce and American voters in Pennsylvania.,4 days ago,2024-10-15 00:28:32.427471,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/c5yj98grr5lo,Can illegal immigrants really vote in the US election?,It is illegal for non-citizens to vote in the US election - but Donald Trump has repeatedly claimed immigrants are going to.,2 days ago,2024-10-15 00:28:32.533647,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/cd7x0pj5xzdo,Afghan man arrested in alleged US election day attack plot,The man allegedly plotted to carry out an attack in the US on behalf of the Islamic State,6 days ago,2024-10-15 00:28:32.636997,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/cn4zpy3zj7ro,Harris or Trump? What Chinese people want from US election,People in Beijing tell the BBC's Laura Bicker their hopes and fears about who will win the White House race.,18 hrs ago,2024-10-15 00:28:32.734768,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/cd0ze01r2zdo,First in-person votes cast in US presidential election,"Virginia is the first state to allow early in-person voting, a milestone moment six weeks before election day.",20 Sep 2024,2024-10-15 00:28:32.840220,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/c70w49w6pk2o,Suspicious packages sent to election officials across US,"Colorado's secretary of state says the poster of the letters called themselves the ""US Traitor Elimination Army"".",18 Sep 2024,2024-10-15 00:28:32.943813,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/cx20np62x88o,What insults tell us about the Trump-Harris election fight,Nine quotes reveal how the candidates talk about each other - and how the political messages have evolved.,22 Sep 2024,2024-10-15 00:28:33.041317,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/clylwy33ewxo,Trump-Harris debate sums up policy-light US election,"We learned little new from both sides on policy, a theme in a campaign that has been focused largely on character.",12 Sep 2024,2024-10-15 00:28:33.137156,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/c23l30748zdo,Congress will have Olympics-level security when it certifies US election,The last time Congress certified a presidential election - 6 January 2021 - an angry mob attacked the capitol.,12 Sep 2024,2024-10-15 00:28:46.250394,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/cj4x71znwxdo,US election polls: Who is ahead - Harris or Trump?,An in-depth look at the polls and what they can and can’t tell us about who will win the White House.,11 hrs ago,2024-10-15 00:28:46.365463,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/czj9ekdvxx2o,Trump says he will not run again if he loses election,For the second time in a week the Republican presidential candidate has acknowledged the prospect of defeat.,23 Sep 2024,2024-10-15 00:28:46.478966,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/crkdzyy6vz4o,'Chilling' abuse for politicians during election,Physical abuse and stalking are just some of the instances reported to the BBC.,8 days ago,2024-10-15 00:28:46.579041,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/videos/c9dy6nldv58o,US election: The view from Mexico,BBC Monitoring's Luis Fajardo looks at how the Mexican media has been reporting on US elections.,3 Oct 2024,2024-10-15 00:28:46.672662,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/videos/cje3de25nn9o,US election: The view from Mexico,BBC Monitoring's Luis Fajardo looks at how the Mexican media has been reporting on US elections.,2 Oct 2024,2024-10-15 00:28:46.795615,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/videos/c5ywky2y9ggo,JD Vance's journey from Trump critic to VP pick,The Ohio senator once said he would never vote for Donald Trump - but is now his running mate.,1 Oct 2024,2024-10-15 00:28:46.904421,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/c4gl013w4e8o,'It's non-stop': Swing state voters bombarded with ads - will they make a difference?,Record sums are being spent on advertising in the US election - but will that make a difference?,5 days ago,2024-10-15 00:28:47.004288,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/cr75mpkm7nro,Ex-county clerk jailed for tampering with voting machines,She helped breach Mesa County's election systems and gave an individual access voting equipment.,4 Oct 2024,2024-10-15 00:28:47.111778,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/c7v6jgj8q8vo,A quick guide to swing state Pennsylvania,Pennsylvania is one of seven states that will decide the 2024 US presidential election.,4 days ago,2024-10-15 00:28:56.353758,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/c8705wv99ryo,Harris and Trump gamble $200m on biggest prize,The Keystone State is the lynchpin of the swing-state electoral firewalls for both campaigns.,5 days ago,2024-10-15 00:28:56.457194,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/c9qv1nw302ro,Fresh faces in Mozambique's poll as independence era leaders bow out,A watershed poll will see a shift at the top with a new era of post-colonial leaders vying for power.,6 Oct 2024,2024-10-15 00:28:56.572937,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/reel/video/p0jvjglz/inside-the-high-security-facility-tackling-digital-threats,Inside the high-security facility tackling digital threats,BBC reporter Marc Cieslak explores a high-security hub monitoring digital threats ahead of the US election. ,5 Oct 2024,2024-10-15 00:28:56.679763,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/cwylnl02em1o,Why Georgia could again be centre of an election storm,A new Republican rule requiring a hand count of ballots turns the state election board into a political lightning rod.,26 Sep 2024,2024-10-15 00:28:56.798406,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/c981r3d460zo,Former council leader takes charge of group,"Mohammed Farooq is elected as Peterborough First group leader, taking over from Chris Harper.",3 days ago,2024-10-15 00:28:56.919532,US Presidential Elections,-,USA,-
BBC,https://www.bbc.com/news/articles/crm2egxkl4wo,People's views sought in council boundary review,A consultation is launched for residents to have their say on ward boundaries in North Yorkshire.,2 Oct 2024,2024-10-15 00:28:57.049729,US Presidential Elections,-,USA,-
