Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
BBC,https://www.bbc.com/news/articles/c3e923ggypjo,Police chief fears Ukraine war link to GPS thefts,Insurance claims for the thefts of GPS units increased by 137% in the year after Russia's invasion.,3 days ago,2024-10-14 18:25:43.299170,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c1e866ypp1zo,The world’s diamond polishing capital feels Ukraine war impact,Wars and recession in key Western markets have left India's diamond industry workers distraught and jobless.,30 Sep 2024,2024-10-14 18:25:43.389481,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c0lwk638zgyo,Six dead in market attack as Ukraine remembers war dead,The Russian attack on the southern city of Kherson took place during a 10-minute silence for Defenders Day.,1 Oct 2024,2024-10-14 18:25:43.510995,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c5y381n39nzo,Three more lions rescued from war-torn Ukraine,The lionesses are in Belgium until they are due to arrive at a Kent sanctuary in November.,23 Sep 2024,2024-10-14 18:25:43.600995,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c20mn1z3vm6o,'Our husbands didn't go to war for Ukraine so we can sit around crying',A group of Ukrainian women who have lost their husbands or sons describe seeking solace and closure in therapeutic painting classes.,20 Sep 2024,2024-10-14 18:25:43.692558,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c5yj5qepe4wo,UK sanctions Russian troops over chemical weapons use in Ukraine,Russia's Radiological Chemical and Biological Defence troops will be subject to an assets freeze and travel ban.,6 days ago,2024-10-14 18:25:43.787967,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cn4zvd7ldzko,Zelensky meets Starmer as he seeks more support for war,It comes as the Ukrainian army prepares for a third winter since Russia launched its full-scale invasion.,4 days ago,2024-10-14 18:25:43.883548,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cwywj71ywyeo,Ukraine approves large war-time cabinet reshuffle,"Parliament approves several new ministers, but some MPs accuse President Zelensky of centralising power.",5 Sep 2024,2024-10-14 18:25:43.984453,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c4g5y80dr5vo,Ukraine denounces Russia's reported execution of captured troops,"Kyiv's human rights ombudsman has written to the UN, after reports that Russia executed Ukrainian PoWs.",1 day ago,2024-10-14 18:25:44.081398,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/crr5n4nlg79o,Russia sentences 72-year-old American to jail on mercenary charges,Prosecutors said Stephen Hubbard was fighting on the Ukrainian side when he was captured by Russian forces in 2022.,7 days ago,2024-10-14 18:25:48.629276,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cy4d1xrep1ko,Russian strike kills eight in fresh attack on Ukrainian port,"Russian missiles hit a container ship - the third attack on a civilian vessel in four days, officials say.",4 days ago,2024-10-14 18:25:48.739604,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c981pv02vryo,Ukraine strikes oil depot in occupied Crimea,Officials in Kyiv say they hit an oil processing facility in the occupied peninsula overnight.,7 days ago,2024-10-14 18:25:48.851437,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c9qv3lnqy0vo,Mystery of Russia's secret weapon downed in Ukraine,Ukrainians watched intrigued as a Russian stealth combat drone was apparently shot down by a Russian jet.,3 days ago,2024-10-14 18:25:48.951270,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cq64qm2v7m9o,N Korea's Kim calls Putin 'closest comrade',Kim said relations between North Korea and Russia would be raised to a new level.,6 days ago,2024-10-14 18:25:49.050210,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cly8nxe3jy6o,Plea not to forget about Ukraine as donations drop,"Essex based UK-Aid says it has noticed a fall in donations possibly down to ""donor fatigue"".",3 Oct 2024,2024-10-14 18:25:49.158114,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cyvye9l43dgo,Oasis on the Adriatic where Ukrainians and Russians have gone to escape war,"Immigrants descended in large numbers on Montenegro, which has managed the influx despite its small size.",8 days ago,2024-10-14 18:25:49.262657,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c9dy492w390o,Council to buy homes for refugees fleeing conflict,The government is providing funds for the scheme which is aimed at Ukrainian and Afghan refugees.,4 days ago,2024-10-14 18:25:49.370327,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/ceqnwl49v43o,'Russians invaded my house and held a soldier captive there',"After Marina Perederii fled her home in Ukraine, it appeared in an online video of a Russian soldier looking through her photos.",3 days ago,2024-10-14 18:25:49.478548,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/crm2emgyv7lo,Taking aid to Ukraine 'is in my heart now',Kayleigh Jones says taking part in a Ukraine aid convoy was the most emotional thing she has done.,2 Oct 2024,2024-10-14 18:25:54.313358,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cgq843dg4geo,Stalker 2: 'We want to show Ukraine can make great games',How the Ukranian studio between an anticipated video game kept going when Russia invaded.,4 Oct 2024,2024-10-14 18:25:54.421948,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/clyzpnnwr3jo,Ukraine ports impossible to defend from attack - Odesa chief,A two-storey building was hit in the fourth such attack on the Black Sea coastal region in five days.,3 days ago,2024-10-14 18:25:54.538111,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c2lnerd17wyo,Zelensky gives his 'victory plan' a hard sell in the US - did the pitch fall flat?,"Ukraine's president met Donald Trump, Kamala Harris and Joe Biden as he bid for Western help to end the war.",28 Sep 2024,2024-10-14 18:25:54.645303,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cx2knzxn9x7o,Russians claim key city of Vuhledar in Ukraine's east,For more than two years Russia has been trying to take this city as it advances in eastern Ukraine.,2 Oct 2024,2024-10-14 18:25:54.761105,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c7810y11dyjo,Trump meets Zelensky and says it's time to end Russia's war,The last-minute meeting in New York comes amid Trump's increasing criticism of US funding for the war in Ukraine.,27 Sep 2024,2024-10-14 18:25:54.874346,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cp392q40dnxo,New funding scheme for Ukrainian refugees,"Funding of up to £2,000 is now available to community organisations to help Ukrainians resettle.",5 days ago,2024-10-14 18:25:54.996444,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/ckg9lk4pz7vo,Ukraine says nine killed in Russia strikes on hospital,"Officials say Sumy's hospital was hit in the morning, and was struck again as rescuers were evacuating people.",28 Sep 2024,2024-10-14 18:25:55.105700,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c80rjxl7le1o,Fighting Russia - and low morale - on Ukraine's ‘most dangerous front line’,The BBC visits a key city under attack by Russia and finds eroded morale among its few remaining residents.,16 hrs ago,2024-10-14 18:25:55.219522,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cp8e15yr1gwo,"Russia on mission to cause mayhem on UK streets, warns MI5","In a wide-ranging speech, Ken McCallum also revealed MI5 had responded to 20 plots backed by Iran since 2022.",6 days ago,2024-10-14 18:26:05.353459,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c8xevlyxpgxo,Ukrainian who fled alone at 16 focuses on degree,Yulianna Skakun starts her course this week at the University of Northampton.,29 Sep 2024,2024-10-14 18:26:05.463870,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cp9580kgp09o,"No imminent nuclear threat from Russia, says new Nato chief","Mark Rutte slammed the Kremlin's ""reckless and irresponsible"" rhetoric but downplayed Russia's nuclear threats.",1 Oct 2024,2024-10-14 18:26:05.571918,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/videos/cn5zypyv4gqo,Ros Atkins on... Why the US election is crucial to Ukraine,The BBC's analysis editor looks at why Volodymyr Zelensky is presenting his 'victory plan' to US political leaders.,27 Sep 2024,2024-10-14 18:26:05.681334,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cn4zpy3zj7ro,Harris or Trump? What Chinese people want from US election,People in Beijing tell the BBC's Laura Bicker their hopes and fears about who will win the White House race.,12 hrs ago,2024-10-14 18:26:05.792381,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c07n811zyp2o,Zelensky looks to Biden to back Ukraine 'victory plan',Kyiv is hoping for a strong show of support from the US leader before he leaves the White House.,25 Sep 2024,2024-10-14 18:26:05.911923,Ukraine War,-,Ukraine,-
