Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
BBC,https://www.bbc.com/news/articles/c2lnw2gvllxo,UN accuses Israel of war crimes over attacks on Gaza hospitals,UN investigators say Israel is deliberately targeting health facilities and killing medical workers in Gaza.,4 days ago,2024-10-14 18:26:02.988161,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cjr3zd4d8y5o,Macron calls to halt arms deliveries to Israel in Gaza war,The French president's call was swiftly criticised by Israel's PM Benjamin Netanyahu.,6 Oct 2024,2024-10-14 18:26:03.088544,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cq8xpqjqx7eo,Empty bars and bookshops: How Israeli strikes transformed Lebanon's buzzing capital,There's no music or dancing in central Beirut bars as fear spreads and displaced people fill the streets.,1 day ago,2024-10-14 18:26:03.190326,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c749rn1832do,Plaid Cymru backs calls for Israel boycott,At conference Plaid Cymru calls for economic and cultural boycott of Israel in vote over Gaza war.,2 days ago,2024-10-14 18:26:03.296559,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c8dj0nrdv1no,Hezbollah rockets hit northern Israeli city of Haifa,"The overnight rocket fire caused damage and injured eight people, Israeli authorities say.",7 days ago,2024-10-14 18:26:03.394587,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cly3x1w0595o,Netanyahu warns Lebanon of 'destruction like Gaza',Benjamin Netanyahu's appeal came as Israel expanded its ground invasion against Hezbollah.,5 days ago,2024-10-14 18:26:03.497909,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c80r9zyk89yo,Inside Israel's combat zone in southern Lebanon,The BBC's Lucy Williamson travels with the Israeli military to a village destroyed during its fighting with Hezbollah.,2 days ago,2024-10-14 18:26:03.593959,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c0r89qwwx2lo,The week that pushed the Middle East closer to all-out war,There have been many moments of extreme danger over the past year. This is the worst.,5 Oct 2024,2024-10-14 18:26:03.703309,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c4g57q20l1vo,Israel marks year since Hamas attack as fighting rages on multiple fronts,Vigils have been held across Israel including at the festival where hundreds were killed last October.,6 days ago,2024-10-14 18:26:03.802642,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c80r9zyk89yo,Inside Israel's combat zone in southern Lebanon,The BBC's Lucy Williamson travels with the Israeli military to a village destroyed during its fighting with Hezbollah.,2 days ago,2024-10-14 18:26:17.619254,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cwyv16lw1leo,Policewoman killed and 10 injured in shooting in Israel,"The gunman was shot dead at the scene in Beersheba after what police described as a ""suspected terror attack"".",8 days ago,2024-10-14 18:26:17.714188,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cx2lr0jd37xo,The two forces at work on Biden-Netanyahu phone call,"The US fears getting dragged into a war with Iran, while some Israelis want to deal it a body blow, Jeremy Bowen writes.",5 days ago,2024-10-14 18:26:17.813816,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c1m93l9krgro,Iran gambles with Israel attack after humiliating blows to allies,Iran's leaders brace for Israeli retaliation after firing about 200 ballistic missiles.,2 Oct 2024,2024-10-14 18:26:17.923094,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c1e82yy0wxno,Israeli attack on northern Gaza hints at retired general's 'surrender or starve' plan for war,Giora Eiland tells Jeremy Bowen that Israel should tell Palestinians to leave northern Gaza before sealing it off as a way of pressuring Hamas.,2 days ago,2024-10-14 18:26:18.077102,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cx254ydygjlo,Biden and Netanyahu speak as Israel mulls Iran response,It is believed to be the first time the two leaders have spoken directly in weeks.,5 days ago,2024-10-14 18:26:18.183597,Israel War,-,Middle East,-
