Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
CNN,https://www.cnn.com/2024/10/14/politics/michigan-tom-barrett-election-ad/index.html,Black lawmakers call for probe of GOP House candidate over campaign ad with wrong election date,"Black state lawmakers in Michigan have called on the state’s attorney general and a county prosecutor to investigate Tom Barrett, a GOP candidate for the US House, over a newspaper advertisement in a Black-owned newspaper that listed the ...","Oct 14, 2024",2024-10-15 00:33:52.140798,US Presidential Elections,-,USA,-
CNN,https://www.cnn.com/politics/live-news/trump-harris-election-10-14-24/index.html,Harris and Trump campaign in Pennsylvania in final sprint to election,"Election Day is less than a month away, and Vice President Kamala Harris and former President Donald Trump are hitting the campaign trail to deliver their final pitches to voters. Follow here for the latest live news updates.","Oct 14, 2024",2024-10-15 00:33:52.140798,US Presidential Elections,-,USA,-
CNN,https://www.cnn.com/2024/10/14/politics/crossover-incumbents-pacific-northwest/index.html,Two House incumbents seek to woo the other party’s voters in Pacific Northwest swing seats,Democrat Marie Gluesenkamp Perez of Washington and Republican Lori Chavez-DeRemer of Oregon are defending seats that could be key to deciding control of the House.,"Oct 14, 2024",2024-10-15 00:33:52.140798,US Presidential Elections,-,USA,-
CNN,https://www.cnn.com/2024/10/14/politics/election-officials-guard-against-disruptions-swing-states/index.html,Swing-state election officials move aggressively to guard against a repeat of 2020’s disruptions,"In Arizona’s third most-populous county, a Republican supervisor who is responsible for certifying November’s election results has argued that fellow county officials conspired to manufacture his lopsided defeat in the primary for ...","Oct 14, 2024",2024-10-15 00:33:52.140798,US Presidential Elections,-,USA,-
CNN,https://www.cnn.com/2024/10/13/politics/video/polls-republicans-pennsylvania-enten-ip-digvid,'Bad news for Democrats': Data reporter shows where GOP is making big gains,CNN senior data reporter Harry Enten shows where Republicans are making crucial gains in voter registration ahead of the 2024 election.,"Oct 14, 2024",2024-10-15 00:33:52.140798,US Presidential Elections,-,USA,-
CNN,https://www.cnn.com/2024/10/13/world/video/iran-us-election-choice-donald-trump-kamala-harris-pleitgen-digvid,‘I like Trump’: Iranian in Tehran speaks out on 2024 choice for US president,CNN’s Fred Pleitgen asks Iranians in Tehran about their choice for the next US president in an exceedingly close presidential race.,"Oct 14, 2024",2024-10-15 00:33:52.140798,US Presidential Elections,-,USA,-
CNN,https://www.cnn.com/2024/10/13/politics/breakthrough-polling-projects-hurricanes-trump-harris/index.html,How hurricane season is affecting the way Americans follow the Trump-Harris race,"With the election less than a month away, the public’s attention has shifted to the candidates’ responses to hurricane season, according to The Breakthrough, a CNN polling project that tracks what average Americans are actually hearing, ...","Oct 14, 2024",2024-10-15 00:33:52.140798,US Presidential Elections,-,USA,-
CNN,https://www.cnn.com/2024/10/13/politics/electoral-college-what-matters/index.html,Why do we still have the Electoral College?,The way Americans choose their president is wonky at best and antidemocratic at worst. Here’s what to know about the history of the Electoral College.,"Oct 14, 2024",2024-10-15 00:33:52.140798,US Presidential Elections,-,USA,-
CNN,https://www.cnn.com/2024/10/13/politics/video/sotu-warnock-georgia-ballot-rule-voter-suppression,'This is how voter suppression happens': Warnock criticizes GA rule requiring hand-counting of ballots,Georgia Sen. Raphael Warnock tells CNN’s Dana Bash Democrats will “continue to be vigilant in court” but encourages voters to “show up in robust numbers.”,"Oct 13, 2024",2024-10-15 00:33:52.140798,US Presidential Elections,-,USA,-
CNN,https://www.cnn.com/2024/10/13/politics/video/sotu-clyburn-absolutely-certify-election-trump-win,Clyburn: 'Absolutely' I will vote to certify the election if Trump wins,South Carolina Rep. James Clyburn tells CNN’s Dana Bash “I look forward to having a fair election” and says he will “absolutely” certify it if Trump wins.,"Oct 13, 2024",2024-10-15 00:33:52.140798,US Presidential Elections,-,USA,-
