Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
CNN,https://www.cnn.com/world/live-news/israel-war-iran-palestine-lebanon-10-13-24/index.html,The latest on the wars in the Middle East,"Israel bombards northern Gaza as clashes continue on the Lebanese border, and Iran issues a warning against any new Israeli attacks. Follow for live news updates.","Oct 13, 2024",2024-10-13 12:31:27.701089,Israel War,Kathleen Magramo,Middle East,
CNN,https://www.cnn.com/2024/10/12/world/video/iran-israel-pleitgen-digvid,Iran warns US that it will retaliate against any future Israel strike,"Iran has informed the United States that it will retaliate against any new attack by Israel, a source in Tehran told CNN. Iran’s government has also been engaging in urgent diplomatic efforts with countries in the Middle East to gauge whether it ...","Oct 12, 2024",2024-10-13 12:31:27.701089,Israel War,Unknown,Middle East,
CNN,https://www.cnn.com/2024/10/12/world/video/smr-iran-pushes-for-urgent-diplomacy,Iran pushes for urgent diplomacy to avert Israeli retaliation,Retired Admiral James Stavridis predicts the chances of a wider regional conflict in the Middle East and potential spike of global oil prices.,"Oct 12, 2024",2024-10-13 12:31:27.701089,Israel War,Unknown,Middle East,
CNN,https://www.cnn.com/world/live-news/israel-war-iran-palestine-lebanon-10-12-24/index.html,The latest on the wars in the Middle East,"Israel bombards northern Gaza as border clashes continue on the Lebanese border, and Iran issues a warning against any new Israeli attacks. Follow for live news updates.","Oct 13, 2024",2024-10-13 12:31:27.701089,Israel War,Chris Lau,Middle East,
CNN,https://www.cnn.com/2024/10/11/world/video/israeli-airstrike-gaza-school-shelter-robertson-ist-intl-digvid,Video shows injured bodies across hospital floor after strike on school,"An Israeli airstrike killed at least 28 people and wounded dozens more sheltering at a school-turned-shelter in Deir al-Balah, central Gaza, the Palestine Red Crescent Society said. CNN’s Nic Robertson reports.","Oct 12, 2024",2024-10-13 12:31:27.701089,Israel War,Nic Robertson,Middle East,
CNN,https://www.cnn.com/2024/10/11/world/video/us-politics-israel-biden-franklin-foer-atlantic-amanpour,"'No hope for a ceasefire before the election,' says Biden biographer","Franklin Foer, Staff Writer for “The Atlantic,” tells Bianna Golodryga how both American and Israeli leadership failed to avoid war in Gaza, leading to tens of thousands of deaths and no clear path to rescuing the over 100 hostages still ...","Oct 11, 2024",2024-10-13 12:31:27.701089,Israel War,Henry Hullah,Middle East,
CNN,https://www.cnn.com/2024/10/11/world/video/pleitgen-iran-warning-mos-israel-digvid,'They will definitely be destroyed': Iranian gives warning to Israel,CNN’s Fred Pleitgen spoke to three Iranians who attended the Friday morning prayer and they gave harsh warnings to Israel amid escalating conflict.,"Oct 11, 2024",2024-10-13 12:31:27.701089,Israel War,Unknown,Middle East,
CNN,https://www.cnn.com/world/live-news/israel-war-iran-palestine-lebanon-10-11-24/index.html,Israeli strikes kill at least 22 in central Beirut,"At least 22 people were killed and 117 injured in Israeli strikes in Beirut, the Lebanese health ministry said. A senior Hezbollah official, Wafiq Safa, survived the attack, according to a source in the militant group. Follow the latest news here.","Oct 12, 2024",2024-10-13 12:31:27.701089,Israel War,Lucas Lilieholm,Middle East,
CNN,https://www.cnn.com/2024/10/10/world/video/israel-strikes-beirut-lebanon-wedeman-lkl-digvid,Video shows aftermath of Israeli strikes in Beirut,"Two Israeli airstrikes hit central Beirut in an attack that leveled an entire residential building, a Lebanese security source told CNN. CNN’s Ben Wedeman has the details.","Oct 11, 2024",2024-10-13 12:31:27.701089,Israel War,Ben Wedeman,Middle East,
CNN,https://www.cnn.com/2024/10/11/world/video/migrant-workers-lebanon-israel-war-as-equals-ldn-digvid,‘We are suffocating': CNN speaks to migrant workers abandoned in Lebanon,"Migrant workers in Lebanon, of which the vast majority are women, have been made destitute by Israel’s bombardment. CNN speaks to women who are unable to turn to employers, the state or their own embassies for help and rely on the ...","Oct 11, 2024",2024-10-13 12:31:27.701089,Israel War,Unknown,Middle East,
CNN,https://www.cnn.com/2024/10/10/world/video/lebanon-beach-wedeman-walkandtalk-intldsk,CNN reports from deserted Lebanese beach,"Lebanon has been hit by Israeli strikes in recent weeks, as the war with Hezbollah ramps up, including in the south of the country. CNN’s Ben Wedeman reports from one deserted beach in a town on edge.","Oct 10, 2024",2024-10-13 12:31:27.701089,Israel War,Unknown,Middle East,
CNN,https://www.cnn.com/world/live-news/israel-gaza-lebanon-war-10-10-24/index.html,Deadly Israeli strikes in Beirut,"Dozens were killed and 117 injured in Israeli strikes in Beirut, the Lebanese health ministry said. A senior Hezbollah official, Wafiq Safa, survived the attack, according to a source in the militant group.","Oct 11, 2024",2024-10-13 12:31:27.701089,Israel War,Chris Lau,Middle East,
CNN,https://www.cnn.com/2024/10/09/Tv/video/amanpour-mortada,"Israel’s only strategy is forever war, says Lebanese ambassador to UK","Christiane Amanpour speaks with the Lebanese Ambassador to the UK, Rami Mortada, about the escalating war between Israel and Hezbollah.","Oct 9, 2024",2024-10-13 12:31:27.701089,Israel War,Unknown,Middle East,
CNN,https://www.cnn.com/world/live-news/israel-gaza-lebanon-war-10-09-24-intl-hnk/index.html,Netanyahu warns Lebanon of destruction ‘similar to what we see in Gaza’,"Israeli Prime Minister Benjamin Netanyahu warned the Lebanese people they face falling “into the abyss of a long war,” as his country escalates its offensive against Hezbollah. Follow the latest news here.","Oct 10, 2024",2024-10-13 12:31:27.701089,Israel War,Kathleen Magramo,Middle East,
CNN,https://www.cnn.com/2024/10/08/politics/video/trump-gaza-visit-claim-wallace-src-digvid,Trump campaign doubles down on his claim of visiting Gaza,"During an appearance on “The Hugh Hewitt Show,” former President Donald Trump claimed that he had been to Gaza, despite no evidence to prove his claim.","Oct 9, 2024",2024-10-13 12:31:27.701089,Israel War,Unknown,Middle East,
CNN,https://www.cnn.com/2024/10/08/world/video/lebanon-border-village-ruins-karadsheh-pkg-digvid,Lebanese border village turned to rubble after strikes,Residents of Alma al-Chaab in Lebanon mourn the loss of their beautiful village after the ongoing border conflict has reduced it to rubble. CNN International Correspondent Jomana Karadsheh reports. ,"Oct 9, 2024",2024-10-13 12:31:27.701089,Israel War,Jomana Karadsheh,Middle East,
CNN,https://www.cnn.com/2024/10/08/world/video/israel-hamas-war-gaza-1-year-bashir-digvid,"A year of war in Gaza: Thousands of deaths, malnutrition and lack of medical supplies",CNN’s Nada Bashir covers the devastating impact of the ongoing war in Gaza.,"Oct 8, 2024",2024-10-13 12:31:27.701089,Israel War,Unknown,Middle East,
CNN,https://www.cnn.com/2024/10/08/world/video/lebanon-destruction-israeli-airstrikes-digvid,Drone video shows destruction in southern Lebanon after Israeli airstrikes,"Israel has escalated its war against Hezbollah, most recently announcing an expansion of its ground operation into the country’s southwestern area. Drone footage geolocated by CNN shows the level of devastation in the village of ...","Oct 8, 2024",2024-10-13 12:31:27.701089,Israel War,Unknown,Middle East,
CNN,https://www.cnn.com/2024/10/08/world/video/gps1006-coates-on-the-plight-of-palestinians,'Never saw it burn so strange or so hot': Ta-Nehisi Coates says he witnessed racism in Israel and West Bank,"Writer Ta-Nehisi Coates joins Fareed Zakaria to talk about his new book “The Message.” He explains what he saw on a trip to Israel and the West Bank, and why he thinks Palestinians are living under apartheid.","Oct 8, 2024",2024-10-13 12:31:27.701089,Israel War,Fareed Zakaria,Middle East,
CNN,https://www.cnn.com/2024/10/08/world/video/ami-ayalon-israel-safer-oct-7-attack-diamond-digvid,Is Israel safer than it was a year ago? Hear what ex-domestic intel chief told CNN,"One year after launching its war in Gaza in retaliation for the October 7 Hamas attacks, CNN’s Jeremy Diamond speaks with Ami Ayalon, the former head of Israel’s domestic intelligence service, about whether Israel is safer than it was a ...","Oct 8, 2024",2024-10-13 12:31:27.701089,Israel War,Unknown,Middle East,
CNN,https://www.cnn.com/2024/10/08/world/video/israel-airstrikes-lebanon-targets-digvid,Massive Israeli airstrikes hit 120 targets in Lebanon. See video of explosion in Beirut,"Israel said it hit 120 targets in southern Lebanon within an hour, as its expands in operation in the country across multiple fronts including Beirut, where Hezbollah was targeted overnight.","Oct 8, 2024",2024-10-13 12:31:27.701089,Israel War,Unknown,Middle East,
CNN,https://www.cnn.com/world/live-news/israel-gaza-lebanon-war-10-08-24-intl-hnk/index.html,Israel expands ground offensive in Lebanon,"Israeli Prime Minister Benjamin Netanyahu warns the Lebanese people they face falling “into the abyss of a long war,” as his country escalates its offensive against Hezbollah","Oct 9, 2024",2024-10-13 12:31:27.701089,Israel War,Kathleen Magramo,Middle East,
