Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
DAWN.COM,https://www.dawn.com/news/1825879,"Six months of despair, desolation and death: A timeline of key ...","07-Apr-2024 ... The very next day of the attack, Prime Minister Benjamin Netanyahu said Israel is at “war”, called up thousands of military reservists, and ...",07-Apr-2024,2024-10-14 23:57:26.612648,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1830582,Is the Israel-Palestine conflict a religious war or struggle by the ...,"27-May-2024 ... Human pulsion toward sadism and destruction is as natural as our pulsion toward pleasure, and Gaza has become a museum of the death drive.",27-May-2024,2024-10-14 23:57:26.710178,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1828763,WHY WAR IN PALESTINE WILL CONTINUE - Newspaper - DAWN ...,21-Apr-2024 ... The recent military conflict between Iran and Israel only diverts attention from the real crux of the problem.,21-Apr-2024,2024-10-14 23:57:26.816371,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1779807,Surprise Hamas attack met with retaliatory air strikes from Israel ...,"07-Oct-2023 ... Israel launches retaliatory airstrikes in Gaza, killing 230 Palestinians; Israeli PM says “we are in a war and we will win it”; Saudi Arabia, ...",07-Oct-2023,2024-10-14 23:57:26.921715,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1863436,One year of Gaza war and impact of Pakistani 'boycott' on Israeli ...,"7 days ago ... The boycott, which reignited BDS movement, has no bearing whatsoever on Israel's actions in Palestine or elsewhere, but people are being ...",Unknown,2024-10-14 23:57:27.020003,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1781221,When mediaeval threats become war crimes: How Israel is breaking ...,"16-Oct-2023 ... At the same time, the Israeli war machine has begun its whirring in contorting international law to suit its needs. The Israeli point of view is ...",16-Oct-2023,2024-10-14 23:57:27.117889,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1820205,Gaza war impact - Newspaper - DAWN.COM,"09-Mar-2024 ... EVEN before the Israel-Hamas war began on Oct 7, the Palestinian territories were subject to horrible violations of international law and ...",09-Mar-2024,2024-10-14 23:57:27.215819,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1780645,'War cabinet' set up ahead of expected Gaza assault by Israel ...,"12-Oct-2023 ... The Israeli PM and centrist Benny Gantz, a former defence minister, agreed to form a government and war cabinet as both put aside bitter political divisions.",12-Oct-2023,2024-10-14 23:57:27.313745,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1780133,"Israel imposes total siege on Gaza, cuts off water supply as dozens ...","09-Oct-2023 ... Tehran's other main regional ally, Lebanon's Hezbollah, fought a war with Israel in 2006 and said its “guns and rockets” stand with Hamas. The ...",09-Oct-2023,2024-10-14 23:57:27.419660,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1828325,Tehran signals no retaliation against Israel after drones attack Iran ...,19-Apr-2024 ... targeting our air defence sites in the southern region” and causing material damage. The Syrian Observatory for Human Rights war monitor said ...,19-Apr-2024,2024-10-14 23:57:27.526543,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1780340,"Israel-Palestine war: Origin of conflict, peace efforts and proposed ...","10-Oct-2023 ... Palestinians who stayed put in the war today form the Arab Israeli community, making up about 20 per cent of Israel's population. What major ...",10-Oct-2023,2024-10-14 23:57:30.715824,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1780439,Israel's new war - Newspaper - DAWN.COM,"11-Oct-2023 ... Palestinian fighters are still battling inside Israeli territory. There is no sign of the war ending soon; in fact, there is a danger of its spreading to the ...",11-Oct-2023,2024-10-14 23:57:30.837760,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1833615,Unending genocidal war - World - DAWN.COM,15-May-2024 ... Israel has begun its long-threatened military assault in the southern Gaza city of Rafah. It is speeding up the ongoing genocide of the occupied population.,15-May-2024,2024-10-14 23:57:30.935693,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1862051,A dangerous moment - Newspaper - DAWN.COM,"30-Sept-2024 ... ... Israel's year-long, ongoing war on Gaza. The UN Charter was not invoked despite its countless violations by Israel. Biden mentioned the need ...",Unknown,2024-10-14 23:57:31.048941,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1781797,Covering the Gaza conflict: Western media and the imperfect search ...,"19-Oct-2023 ... For example, Western news organisations quickly seized on unconfirmed Israeli reports that Hamas had beheaded babies — a claim that became so ...",19-Oct-2023,2024-10-14 23:57:31.170917,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1826362,Defiance and devastation - Newspaper - DAWN.COM,"08-Apr-2024 ... SIX months on, Israel's genocidal war on Gaza shows no sign of abating. With over 33,000 Palestinians killed and more than 75,000 injured by ...",08-Apr-2024,2024-10-14 23:57:31.285496,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1834588,What's behind resurgent fighting in north Gaza? - World - DAWN.COM,"20-May-2024 ... It has also deployed cutting edge technology including AI in its war against Hamas, but experts said political infighting in Israel's war ...",20-May-2024,2024-10-14 23:57:31.392536,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1808129,Israel suffers biggest blow since start of war on Gaza - Newspaper ...,24-Jan-2024 ... Israel said on Tuesday 24 soldiers were killed in the biggest single-day losses since the start of its ground war in Gaza amid growing pressure on the ...,24-Jan-2024,2024-10-14 23:57:31.506302,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1841397,War drums - Newspaper - DAWN.COM,"23-Jun-2024 ... Israel is now preparing to turn its guns on Lebanon, specifically Hezbollah, the Iran-backed armed group it has clashed with multiple times.",23-Jun-2024,2024-10-14 23:57:31.620348,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1809232,Hungry Indians queue for Israel jobs as war on Gaza rages ...,"28-Jan-2024 ... Indian tile designer Deepak Kumar said it was a matter of “work for four days, eat for two days”. Mr Kumar said he followed the news and knew ...",28-Jan-2024,2024-10-14 23:57:31.742926,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1779938,Palestine at war - Newspaper - DAWN.COM,"08-Oct-2023 ... FIFTY years since the last Arab-Israeli war, hostilities have once again broken out in Palestine. Hamas, the Palestinian group which rules ...",08-Oct-2023,2024-10-14 23:57:34.943973,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/live/gaza-invasion,"Iran slams US obstruction of Security Council on Gaza, Lebanon ...","Israel's siege of Gaza Strip, sparked by Hamas' Oct 7 attack, nears a year. Gaza civilian infrastructure decimated in Israeli strikes.",Unknown,2024-10-14 23:57:35.074396,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1859254,Israel hit by hypersonic ballistic missile - World - DAWN.COM,16-Sept-2024 ... A senior Hamas official said that the United States was not doing enough to force concessions from Israel that could lead to a truce in the war ...,Unknown,2024-10-14 23:57:35.196732,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1840932,Israel-Hezbollah tensions drive fears of widening Gaza war ...,"21-Jun-2024 ... Hezbollah chief Hassan Nasrallah says ""no place” in Israel would “be spared our rockets” if war begins.",21-Jun-2024,2024-10-14 23:57:35.318989,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1812963,Israel conducts new strikes on Rafah amid warning of 'disaster ...,"10-Feb-2024 ... Israel committing war crime in Gaza, says UN rights chief Volker Turk.",10-Feb-2024,2024-10-14 23:57:35.449148,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1840765,Israel may have violated laws of war in Gaza: UN - World - DAWN ...,"20-Jun-2024 ... Israeli forces may have repeatedly violated the laws of war and failed to distinguish between civilians and fighters in the Gaza conflict, the UN human rights ...",20-Jun-2024,2024-10-14 23:57:35.571761,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1780296,Israel imposes blockade in bid to starve Palestinians - World ...,"10-Oct-2023 ... ... war crime,” Omar Shakir, Israel and Palestine Director at Human Rights Watch, said in a statement. Israel also bombed the headquarters of ...",10-Oct-2023,2024-10-14 23:57:35.693646,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1864893,THE DARK HEART OF ZIONISM - Newspaper - DAWN.COM,"2 days ago ... Most Western news, commentary and analyses will have everyone believe that this war and Israel's response began on October 7, 2023 with Hamas ...",Unknown,2024-10-14 23:57:35.824220,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1795462,It is America's war now - Newspaper - DAWN.COM,06-Dec-2023 ... It was not the only such incident where American weapons have been used by Israeli forces in Gaza. The Biden administration has massively ...,06-Dec-2023,2024-10-14 23:57:35.946162,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1828566,Isfahan strikes - Newspaper - DAWN.COM,"20-Apr-2024 ... THE Iran-Israel shadow war has very much come out into the open. Tel Aviv had been targeting Tehran's assets for over a decade, particularly ...",20-Apr-2024,2024-10-14 23:57:36.069362,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1789564,War of narratives: Why we must all speak up for Gaza - Prism ...,"17-Nov-2023 ... Media outlets such as BBC, CNN, and Fox News acted as unofficial spokespersons for Israel. Every Palestinian guest appearing on these channels ...",17-Nov-2023,2024-10-14 23:57:39.277215,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1843870,Hezbollah rains 200 rockets on Israeli military sites - World - DAWN ...,"05-Jul-2024 ... The Gaza war at the heart of the tensions has meanwhile raged on, and gun battles, air strikes and shelling rocked Gaza City for an eight day on ...",05-Jul-2024,2024-10-14 23:57:39.399125,Israel War,-,Middle East,-
DAWN.COM,https://www.dawn.com/news/1849072,Israeli and Palestinian athletes joust over Gaza war in Paris ...,"31-Jul-2024 ... As Israeli and Palestinian judoists hit the tatami mats at the Paris Olympics on Tuesday, the war raging in their homeland was at the front of their minds.",31-Jul-2024,2024-10-14 23:57:39.529519,Israel War,-,Middle East,-
