Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content,
DAWN.COM,https://www.dawn.com/news/1717916,Ukraine war: threats and opportunities for Pakistan - Newspaper ...,"31-Oct-2022 ... The Russia-Ukraine crisis has exposed new vulnerabilities on the climate change front, with western economies showing the limits of their ...",31-Oct-2022,2024-10-15 00:02:13.187948,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1841399,War in Ukraine - Newspaper - DAWN.COM,"23-Jun-2024 ... The write is a former foreign secretary and chairman of Sanober Institute Islamabad. Published in Dawn, June 23rd, 2024. Russia Ukraine War.",23-Jun-2024,2024-10-15 00:02:13.315867,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1850505/updates-russia-ukraine-war-dawn-news-english,Updates: Russia Ukraine War | Dawn News English - DAWN.COM,06-Aug-2024 ... Updates: Russia Ukraine War | Dawn News English.,06-Aug-2024,2024-10-15 00:02:13.436138,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1774982,G20 declaration on Ukraine — hype or reality? - World - DAWN.COM,"10-Sept-2023 ... The consensus text, also endorsed by Russia and China, expresses support for “sovereignty and territorial integrity” in the Ukraine war.",Unknown,2024-10-15 00:02:13.581745,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1684005,The Ukraine crisis - Newspaper - DAWN.COM,08-Apr-2022 ... THAT Russia would invade Ukraine on the very day that President Putin was hosting the Pakistani prime minister in Moscow came as a surprise ...,08-Apr-2022,2024-10-15 00:02:13.733964,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1739391,Macron seeks Beijing's help to end Ukraine war - World - DAWN.COM,"27-Feb-2023 ... ... war in Ukraine. China has sought to position itself as a neutral party in the conflict, even as it has maintained close ties with Russia and ...",27-Feb-2023,2024-10-15 00:02:13.870795,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1683055,Russian invasion of Ukraine must be stopped immediately: COAS ...,"02-Apr-2022 ... Speaking at the Islamabad Security Dialogue, Gen Bajwa expressed Pakistan's serious concern over the conflict, adding that ""despite legitimate ...",02-Apr-2022,2024-10-15 00:02:14.006870,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1833646,Putin hails China's 'genuine desire' to help resolve Ukraine war ...,"15-May-2024 ... “We commend China's approaches to resolving the crisis in Ukraine,” Putin told the Xinhua state news agency in a Moscow interview, which was ...",15-May-2024,2024-10-15 00:02:14.126790,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1853066,"Russia-Ukraine War Intensifies, Will There Be A Ceasefire ...","18-Aug-2024 ... Russia-Ukraine War Intensifies, Will There Be A Ceasefire? | Analysis | Dawn News English.",18-Aug-2024,2024-10-15 00:02:14.238716,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1759133,"Neutral on Ukraine war, seeking deeper ties with Russia: Bilawal ...",11-Jun-2023 ... Foreign Minister Bilawal Bhutto-Zardari has said Pakistan is committed to maintaining relations with all the countries and seeking enhanced engagement with the ...,11-Jun-2023,2024-10-15 00:02:14.375182,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1759133,"Neutral on Ukraine war, seeking deeper ties with Russia: Bilawal ...",11-Jun-2023 ... Foreign Minister Bilawal Bhutto-Zardari has said Pakistan is committed to maintaining relations with all the countries and seeking enhanced engagement with the ...,11-Jun-2023,2024-10-15 00:02:17.620145,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1854551,"Russia, Ukraine exchange 230 prisoners of war - World - DAWN.COM","25-Aug-2024 ... Russia and Ukraine announced on Saturday they had exchanged 115 prisoners of war each, just over two weeks after Kyiv launched a surprise incursion into Russia ...",25-Aug-2024,2024-10-15 00:02:17.759293,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1678353,US warns Pakistan of Ukraine war consequences - World - DAWN ...,05-Mar-2022 ... “We have briefed the government of Pakistan on the impact that Russia's unprovoked war against Ukraine could have on regional and global ...,05-Mar-2022,2024-10-15 00:02:17.915550,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1738833,Pakistan concerned over Ukraine war - Pakistan - DAWN.COM,24-Feb-2023 ... Pakistan on Thursday expressed concern over the continuing Ukraine war that is entering its second year and urged the parties to the conflict to seek its ...,24-Feb-2023,2024-10-15 00:02:18.037101,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1789255,Pakistan signed contracts with two US companies for arms sales to ...,14-Nov-2023 ... These weapons were allegedly sent to Ukraine for its war with Russia. The Russia-Ukraine crisis began last year when Russian President ...,14-Nov-2023,2024-10-15 00:02:18.175675,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1738992,Pakistan abstains from voting on Ukraine resolution - World - DAWN ...,"25-Feb-2023 ... Pakistan, he said, also hoped for the resumption of a dialogue for durable resolution of the conflict based on the principles of the UN Charter ...",25-Feb-2023,2024-10-15 00:02:18.307218,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1839772,'Neutral' Pakistan will skip Ukraine summit in Switzerland - World ...,"14-Jun-2024 ... Islamabad's decision to skip the conference is a diplomatic move to maintain neutrality in the conflict, especially since Russia is not ...",14-Jun-2024,2024-10-15 00:02:18.453463,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1827958,Scholz urges China to use Russia 'influence' to end Ukraine war ...,"17-Apr-2024 ... Scholz, whose country is Ukraine's second-biggest military backer after the United States, stressed at a news conference later that it was ...",17-Apr-2024,2024-10-15 00:02:18.584466,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1841348,Outrage in UK as Nigel Farage accuses West of provoking Ukraine ...,"23-Jun-2024 ... In an interview with the BBC on Friday, Farage said “We've provoked this war”, while adding that “of course” it was Russian president Vladimir ...",23-Jun-2024,2024-10-15 00:02:18.721968,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1834221,"Putin seeks Chinese support for trade, war in Ukraine - World ...","18-May-2024 ... At a news conference on Friday, Putin said the move had been made to stop cross-border shelling, but added there were no current plans to ...",18-May-2024,2024-10-15 00:02:18.885866,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1852254,"Ukraine is advancing deeper into Russia, Zelenskiy says - World ...",14-Aug-2024 ... And more than 100 Russian prisoners of war in the same period.” Russia's defence ministry said 117 Ukrainian drones had been shot down within ...,14-Aug-2024,2024-10-15 00:02:22.174238,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1781179,"War in Ukraine's eastern front 'significantly worsened', says general ...","15-Oct-2023 ... Oleksandr Syrskyi, who was visiting Ukrainian troops in the area, said Russian forces had regrouped after suffering losses and were attacking ...",15-Oct-2023,2024-10-15 00:02:22.327177,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1832471,Putin warns of global clash as Russia marks victory in World War ...,"09-May-2024 ... As Russian troops advance against Ukraine's Western-backed forces, Putin accused “arrogant” Western elites of forgetting the decisive role ...",09-May-2024,2024-10-15 00:02:22.497462,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1825821,From Cold War to the Ukraine war — Nato turns 75 - World - DAWN ...,05-Apr-2024 ... The Nato military alliance on Thursday marks the 75th anniversary of the signing of its founding treaty in Washington.,05-Apr-2024,2024-10-15 00:02:22.659822,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1680729,Neutrality in Ukraine war to safeguard Pakistan's interests: FO ...,"19-Mar-2022 ... We have underlined that Pakistan will only be a partner in peace, not in conflict,” says FO spokesperson Asim Iftikhar.",19-Mar-2022,2024-10-15 00:02:22.812992,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1694559,"Uncertainty, Ukraine war major risks to Pakistan's economic outlook ...","13-Jun-2022 ... Higher provincial deficits, significant losses and debts of SOEs may also lead to budget slippages, finance ministry says.",13-Jun-2022,2024-10-15 00:02:22.967020,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1738919,FATF suspends Russia's membership over Ukraine war - World ...,"24-Feb-2023 ... “This is the first time a member of FATF is suspended,” FATF President Raja Kumar told a news conference. “Russia is effectively sidelined from ...",24-Feb-2023,2024-10-15 00:02:23.121694,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1737577,Pakistan denies supplying ammunition to Ukraine - World - DAWN ...,17-Feb-2023 ... The Foreign Office on Thursday questioned the accuracy of reports claiming that Pakistan was providing ammunition to Ukraine in its war with Russia.,17-Feb-2023,2024-10-15 00:02:23.299037,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1691043,Pakistan among countries exposed to war in Ukraine - World ...,"23-May-2022 ... ... war in Ukraine than others. A policy brief on “the War in Ukraine: Impacts, Exposure and Policy Issues in Asia and the Pacific” — which was ...",23-May-2022,2024-10-15 00:02:23.475299,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1816803,Western leaders in Kyiv pledge support for Ukraine on war ...,"24-Feb-2024 ... Ukrainians hold services to commemorate the anniversary, laying flowers to honour their many dead, amid fears that the war will continue for ...",24-Feb-2024,2024-10-15 00:02:23.644995,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1858961,"Russia, Ukraine swap 206 POWs in UAE-brokered deal - World ...","14-Sept-2024 ... Moscow and Kyiv swapped 103 prisoners of war each on Saturday in a deal brokered by the United Arab Emirates, a rare moment of coordination between the two ...",Unknown,2024-10-15 00:02:26.917696,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1819893,Sweden joins Nato in shadow of Ukraine war - World - DAWN.COM,"08-Mar-2024 ... Sweden on Thursday became the 32nd member of Nato in the shadow of the war in Ukraine, ending two centuries of official non-alignment and capping two years of ...",08-Mar-2024,2024-10-15 00:02:27.117598,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1856192,Russia will change nuclear doctrine due to West's actions in Ukraine ...,"01-Sept-2024 ... Russia will make changes to its nuclear doctrine in response to the West's actions over the conflict in Ukraine, the TASS state news agency ...",Unknown,2024-10-15 00:02:27.288316,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1836572,PM invited to attend summit on Ukraine in Switzerland - Pakistan ...,30-May-2024 ... Prime Minister Shehbaz Sharif has been invited to attend a Global Peace Summit being held on Russia-Ukraine war in Switzerland from June 15.,30-May-2024,2024-10-15 00:02:27.457977,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1676939,Russia launches full-scale invasion of Ukraine - Newspaper - DAWN ...,"25-Feb-2022 ... Ukrainian President Volodymyr Zelensky said there was now a “new iron curtain” between Russia and the rest of the world, like in the Cold War.",25-Feb-2022,2024-10-15 00:02:27.635576,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1844836,Modi tells Putin at Kremlin 'war cannot solve problems' - World ...,09-Jul-2024 ... The Indian premier arrived in Moscow on Monday hours after strikes that hit cities across Ukraine killed at least 38 people. “I know that war ...,09-Jul-2024,2024-10-15 00:02:27.803666,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1687926,Modi seeks 'talks' to stop Ukraine war - World - DAWN.COM,02-May-2022 ... Bloomberg News had reported on Sunday citing unnamed sources that Scholz was concerned over Modi's refusal to condemn Russia and India's ...,02-May-2022,2024-10-15 00:02:27.974941,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1831328,"Russian, US troops at same base in Niger - World - DAWN.COM","04-May-2024 ... ... war in Ukraine. Asked about it at a news conference on Thursday, Austin said the Russian deployment did not pose a “significant issue… in ...",04-May-2024,2024-10-15 00:02:28.143888,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1706545,How the Ukraine-Russia war rattled global financial markets ...,"24-Aug-2022 ... Over six months since Russia invaded Ukraine in what Moscow calls its “special military operation” thousands have been killed, millions made ...",24-Aug-2022,2024-10-15 00:02:28.327767,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1833826,"Xi, Putin hail ties as 'stabilising' force in chaotic world - World ...","16-May-2024 ... China claims to be a neutral party in the Ukraine conflict, which it has never condemned and in which it has sought to frame itself as a ...",16-May-2024,2024-10-15 00:02:28.479667,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1859562,"Dispatch From Washington: US, UK on Russia - Ukraine War | Dawn ...","17-Sept-2024 ... Dispatch From Washington: US, UK on Russia - Ukraine War | Dawn News English.",Unknown,2024-10-15 00:02:31.772300,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1836372,World War III? - Newspaper - DAWN.COM,29-May-2024 ... THE president of Ukraine has lately devoted a great deal of his energy to soliciting international attendance at a supposed peace conference ...,29-May-2024,2024-10-15 00:02:31.956692,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1859093,"Biden, Starmer defer Ukraine missiles plan to UNGA session - World ...","15-Sept-2024 ... On Saturday, Moscow and Kyiv swapped 103 prisoners of war each in a deal brokered by the United Arab Emirates. UK PM Starmer told reporters at ...",Unknown,2024-10-15 00:02:32.125772,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1780111,Russia eyes return to UN rights body despite Ukraine war - World ...,"09-Oct-2023 ... Russia, which was ousted from the UN Human Rights Council after its forces invaded Ukraine, will attempt a return to the body on Tuesday.",09-Oct-2023,2024-10-15 00:02:32.303246,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1818602,Germany probes possible wiretapping of secret Ukraine war talks ...,"03-Mar-2024 ... In an audio recording, German army officers can be heard discussing strikes on Crimea.",03-Mar-2024,2024-10-15 00:02:32.496637,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1845034,NATO Accuses China of Supporting Russia's War in Ukraine | Dawn ...,11-Jul-2024 ... NATO Accuses China of Supporting Russia's War in Ukraine | Dawn News English.,11-Jul-2024,2024-10-15 00:02:32.666476,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1844618,"Russian missiles kill 24 in Ukraine, gut Kyiv children's hospital ...",08-Jul-2024 ... We are at the threshold of a rape crisis and the reason for it is our flimsy response, it aborts justice by perpetuating stigmatisation and ...,08-Jul-2024,2024-10-15 00:02:32.819857,Ukraine War,-,Ukraine,-
DAWN.COM,https://www.dawn.com/news/1823279,Russia admits 'state of war' amid massive strikes on Ukraine - World ...,"23-Mar-2024 ... ... Ukraine's side, for us it already became a war,” Peskov said. “De ... Moscow often accuses the West of direct participation in the conflict by ...",23-Mar-2024,2024-10-15 00:02:32.988893,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1840482,Kremlin derides outcome of Ukraine talks held without Russia ...,17-Jun-2024 ... Russia said on Monday that a Swiss-hosted conference on the Ukraine war had produced negligible results and showed the futility of holding talks without Moscow.,17-Jun-2024,2024-10-15 00:02:33.166068,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1719142,Russia-Ukraine war: threats and opportunities for Pakistan ...,05-Nov-2022 ... Russia-Ukraine war: threats and opportunities for Pakistan | MoneyCurve | Dawn News English.,05-Nov-2022,2024-10-15 00:02:33.350590,Ukraine War,-,Ukraine,-,
