Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
Fox News,https://www.foxnews.com/category/world/world-regions/israel,Israel | Fox News,Israel is at war with Hamas. Get the latest updates on Israel’s counteroffensive in Gaza following the massacre of Israeli civilians by Hamas terrorists.,5 hours ago,2024-10-15 12:50:18.293804,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/world/three-years-after-us-withdrawal-from-afghanistan-israel-looks-lessons-learned-from-war-terror,"3 years after US withdrawal from Afghanistan, Israel looks to lessons learned from War on Terror","Three years after the U.S. withdrawal from Afghanistan and the end to its War on Terror, questions remain over how Islamic extremism can be fought and what lessons can be applied to Israel's war in Gaza.",August 22,2024-10-15 12:50:18.376258,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/world/israel-launches-limited-ground-operations-lebanon-war-hezbollah-terrorist-groups-continue,"Israel launches limited ground operations in Lebanon as war against Hezbollah, terrorist groups continue","The Israel Defense Forces (IDF) began limited operations in Lebanon on Monday evening, continuing its battle against Hezbollah terrorists. The military killed several key figures of the group over the weekend.",September 30,2024-10-15 12:50:18.472223,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/world/hezbollah-x-factor-looming-israel-iran-war-nation-state-capabilities,"Hezbollah is the 'X-factor' in looming Israel, Iran war with 'nation state capabilities'","As the world waits to see if Iran will act out its threats against Israel, a former Israeli Defense Forces official is sounding the alarm that the bigger threat could be sitting on Israel's doorstep: Hezbollah.",August 8,2024-10-15 12:50:18.548080,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/world/israel-continues-weigh-options-timing-iran-strike-following-biden-netanyahu-call,"Israel continues to weigh options, timing on Iran strike following Biden-Netanyahu call","President Biden and Israeli Prime Minister Benjamin Netanyahu held a call that in part focused on Iran's recent missile attack on the Jewish state, and reportedly how Israel intends to retaliate.",5 days ago,2024-10-15 12:50:18.610784,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/world/israels-war-front-shifts-dramatically-north-against-iran-backed-hezbollah-terrorists,Israel’s war front shifts dramatically to north against Iran-backed Hezbollah terrorists,"War planners in Israel have accelerated their goal to return over as many as 100,000 displaced Israelis to the north because of Hezbollah terror attacks on the region.",September 20,2024-10-15 12:50:18.701849,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/world/israel-war-see-photos-video-attack-aftermath,"Israel at War: See the photos, video of the attack and aftermath","The attack started at around 6:30 a.m. on a religious holiday and the Jewish Sabbath, seemingly to catch the Israelis unprepared, but the IDF announced that it would take immediate action.","October 7, 2023",2024-10-15 12:50:18.783130,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/live-news/hamas-attack-israel-war,Deadline expired for Palestinians to flee Gaza as Israeli troops amass at border,"Prime Minister Benjamin Netanyahu declared war with Hamas terrorists following a violent attack on Israel October 7. Palestinian authorities say over 2,800 Palestinians were killed by Israel's relentless retaliatory strikes.","October 7, 2023",2024-10-15 12:50:18.871486,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/world/netanyahu-dissolves-israels-war-cabinet-government-shakeup-report-says,"Netanyahu dissolves Israel's war cabinet after government shakeup, report says",Israeli Prime Minister Benjamin Netanyahu has dissolved his war cabinet that was responsible for key decisions in the Israel-Hamas war in Gaza.,June 17,2024-10-15 12:50:18.951167,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/politics/state-dept-officials-hinted-israeli-war-crimes-pushed-gaza-aid-days-after-oct-7-hamas-attack-report,"State Dept. officials hinted at Israeli 'war crimes,' pushed Gaza aid days after Oct. 7 Hamas attack: report",Emails between senior officials show some high-ranking Biden administration figures believed Israel could be committing war crimes with the U.S. complicit from inaction.,October 4,2024-10-15 12:50:19.037103,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/politics/senate-republicans-mark-oct-7-attack-one-year-out-israel-hamas-war-continues,Senate Republicans mark Oct 7 attack 1 year out as Israel-Hamas war continues,"Senate Republicans issued a renewed condemnation of the Oct. 7, 2023, terrorist attacks perpetrated by Hamas in Israel one year after they occurred.",October 6,2024-10-15 12:50:23.179188,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/us/anti-israel-agitator-defaces-harvard-statute-day-after-oct-7-anniversary-bringing-war-home,Anti-Israel agitators deface Harvard statute day after Oct. 7 anniversary: ‘Bring the war home’,"Just after the one­-year anniversary of the Oct. 7 massacre in Israel, demonstrators vandalized Harvard's campus in ""an act of solidarity with the Palestinian resistance.""",6 days ago,2024-10-15 12:50:23.267099,Israel War,-,Middle East,-
Fox News,https://www.foxnews.com/world/israel-war-how-president-nixon-saved-jewish-state-ingenious-plan,Israel at War: How President Nixon saved the Jewish state with an ingenious plan,"Then-President Nixon created an ingenious plan to help Israel successfully fight off the Arab armies some 50 years ago. The plan was known as ""Operation Nickel Grass.""","October 13, 2023",2024-10-15 12:50:23.348663,Israel War,-,Middle East,-
