Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
Fox News,https://www.foxnews.com/world/china-surrounds-taiwan-military-exercise-against-independence,China surrounds Taiwan in military exercise against independence,China has launched massive military exercises surrounding Taiwan in response to the island refusing to follow the rule of the Communist Party.,21 hours ago,2024-10-15,China News,Fox News,China,"Chinese state TV broadcast captures purported military activity surrounding Taiwan. (Credit: Reuters)Chinalaunched a record-breaking number of military aircraft Monday in exercises surrounding Taiwan serving as a warning against independence, officials say.Taiwan’s Ministry of National Defense says the 125 Chinese military aircraft are the most that it has counted in a single day. The Ministry added that 90 of the aircraft, including warplanes, helicopters and drones, were spotted within Taiwan’s air defense identification zone.China’s Defense Ministry said the drills were a response to theTaiwanese president’srefusal to accept Beijing’s demand that self-governed Taiwan acknowledge itself as a part of the People’s Republic of China under the rule of the Communist Party.The military operation comes four days after Taiwan celebrated the founding of its government on its National Day, with Taiwanese President Lai Ching-te saying in a speech that China has no right to represent Taiwan and declaring his commitment to ""resist annexation or encroachment.""CHINESE UNIVERSITY OF MICHIGAN STUDENTS CHARGED AFTER ALLEGEDLY SPYING ON MILITARY BASEA China Coast Guard boat passes near the coast of Matsu islands of  Taiwan on Monday, Oct. 14.(Taiwan Coast Guard/AP)""The United States is seriously concerned by the People’s Liberation Army joint military drills in the Taiwan Strait and around Taiwan,""State DepartmentSpokesperson Matthew Miller said in a statement. ""The PRC response with military provocations to a routine annual speech is unwarranted and risks escalation.""We call on the PRC to act with restraint and to avoid any further actions that may undermine peace and stability across the Taiwan Strait and in the broader region, which is essential to regional peace and prosperity and a matter of international concern,"" he added. ""We continue to monitor PRC activities and coordinate with allies and partners regarding our shared concerns.""A procession of Taiwanese armed military vehicles patrols outside the Songshan Airport in Taipei, Taiwan during China's military exercises encircling Taiwan on Monday, Oct. 14.(Daniel Ceng/Anadolu via Getty Images)Chinese Foreign Ministry spokesperson Mao Ning slammed Taiwanese independence during a briefing last Friday, saying, ""I would like to stress that ‘Taiwan independence’ is as incompatible with peace of the Taiwan Strait as fire with water.""""The Lai Ching-te authorities’ attempt to reject reunification through the use of force is futile. No matter how many weapons they buy, they cannot stop the historical trend toward China’s reunification,"" she also said.TAIWANESE PEOPLE READY TO FIGHT AS CHINA RAMPS UP AGGRESSION, AMBASSADOR SAYSA Taiwanese navy Kuang Hua VI-class missile boat moves within the harbor of Keelung, Taiwan, on Monday, Oct. 14.(Reuters/Tyrone Siu)A map aired on China’s state broadcaster CCTV showed six large blocks encircling Taiwan indicating where the military drills were being held, along with circles drawn around Taiwan’s outlying islands. China's Defense Ministry has not said how long the drills will last.China deployed its Liaoning aircraft carrier for the drills, and CCTV showed a J-15 fighter jet taking off from the deck of the carrier, though the exact location of the ship is unclear.China's People's Liberation Army's Eastern Theater Command spokesperson Senior Captain Li Xi said the navy, army air force and missile corps were all mobilized for the drills, which were an integrated operation, according to the Associated Press.Taiwan's Defense Ministry said it deployed warships to designated spots in the ocean to carry out surveillance and stand ready. It also deployed mobile missile and radar groups on land to track the vessels at sea.A member of the Taiwan Coast Guard monitors a China Coast Guard boat as it passes near the coast of the Matsu islands governed by Taiwan on Monday, Oct. 14.(Taiwan Coast Guard/AP)CLICK HERE TO GET THE FOX NEWS APP""Our military will definitely deal with the threat from China appropriately,"" Joseph Wu, secretary-general of Taiwan's security council, said Monday at a forum in Taipei, according to the AP. ""Threatening other countries with force violates the basic spirit of the United Nations Charter to resolve disputes through peaceful means.""The Associated Press contributed to this report.Greg Norman is a reporter at Fox News Digital.Fox News' Antisemitism Exposed"" newsletter brings you stories on the rising anti-Jewish prejudice across the U.S. and the world.""By entering your email and clicking the Subscribe button, you agree to the Fox NewsPrivacy PolicyandTerms of Use, and        agree to receive content and promotional communications from Fox News. You understand that you can        opt-out at any time.SubscribedYou've successfully subscribed to this newsletter!"
Fox News,https://www.foxnews.com/us/chinese-university-michigan-students-charged-after-allegedly-spying-military-base,Chinese University of Michigan students charged after allegedly spying on military base,Five former University of Michigan students have been charged after they allegedly covered up spying on a National Guard training center in Michigan for China.,2 days ago,2024-10-15,China News,Fox News,China,"Former CIA station chief Dan Hoffman joins ‘Cavuto Live’ with his take on the war in Ukraine and the Middle East.Five former University of Michigan students have been charged after they were caught allegedly covering up spying on a National Guard training centerin Michiganfor the People's Republic of China (PRC) while a training operation with the Taiwanese military was taking place.The former students, all Chinese nationals, were confronted by a sergeant major of theUtah National Guardin August 2023 after midnight near a lake at Camp Grayling, according to a criminal complaint filed in federal court Oct. 1.They told the sergeant major they were with the media photographing a meteor shower and believed they were in a campground. They then took their belongings and left.JOHN MOOLENAAR: WE DON’T WANT A COMPANY THAT IS AFFILIATED WITH THE CHINESE COMMUNIST PARTYThe former students, all Chinese nationals, were confronted by a sergeant major with the Utah National Guard in August 2023 near a lake at Camp Grayling, according to a criminal complaint filed in federal court.(Paul Welitzkin/Gaylord Herald Times/USA Today Network)But four months later, one of the men, Renxiang Guan, was interviewed by Customs and Border Patrol (CBP) officers at the Detroit Metropolitan Airport before traveling to South Korea and China.He told investigators he and others had taken a trip to northern Michigan to see shooting stars, but he was unable to recall where they went.CBP officers then searched his electronic devices and found images of the Grayling Military Installation, including military vehicles and other equipment. The data from an external hard drive showed the photographs had been taken during the time that live firing exercises were taking place, around two hours before the sergeant major encountered the students.The other four men were interviewed in March after arriving in Chicago on a flight from Iceland. They told investigators they too were in northern Michigan in August 2023, but it was to see a meteor shower, according to court documents citingthe FBI.FIRST-EVER 'CHINA WEEK' TAKES AIM AT AMERICA’S DEPENDENCE ON BEIJINGThe Guard of Honor of the Chinese People's Liberation Army performs a flag-raising ceremony at Bayi Square to celebrate the 97th anniversary of China's Army Day Aug. 1, 2024, in Nanchang, Jiangxi Province of China.(Ma Yue/VCG via Getty Images)WeChat messages in a group chat among the Chinese nationals discussed clearing photos from their cameras and phones.They have been charged with giving false statements to investigators, conspiracy and the destruction and falsification of records as they tried to cover their tracks by deleting data.The Chinese nationals remain at large and are understood to have returned to China, according to local reports. The other four individuals are named as Zhekai Xu, Haoming Zhu, Jingzhe Tao and Yi Liang.The students attended the university as part of a joint program with Shanghai Jiao Tong University in China. They graduated in May, according to the complaint.Rep. John Moolenaar, R-Mich., says the case exposes the serious threat the nation faces from Chinese spies.CLICK HERE TO GET THE FOX NEWS APPA University of Michigan North Campus sign in Ann Arbor, Mich., July 30, 2019.(Raymond Boyd/Getty Images)""This case shows once again that CCP espionage can happen anywhere in America, and we must be vigilant,"" Moolenaar said in a statement. ""The CCP obviously has an interest in Camp Grayling, and this is further evidence it would be a mistake for Michigan leaders to allow Gotion to build in our state.""Gotion, a Chinese company, plans to manufacture electric vehicle batteries at a plant in Green Charter Township in Mecosta County.""State funding for Gotion’s plan to bring Chinese nationals to Mecosta County is an open invitation for further spying onCamp Grayling. For national security reasons, Gov. Whitmer and the legislature must revoke state funding for Gotion immediately,"" said Moolenaar, chair of the Select Committee on China.""Additionally … my committee recently issued a report onresearch securityat our nation’s universities. All of our nation’s universities must shut down their joint institutes with Chinese universities and enact stricter guardrails on emerging technology research. American universities must realize they are a target for espionage and protect the critical taxpayer-funded research they do.""Michael Dorgan is a writer for Fox News Digital and Fox Business.You can send tips to michael.dorgan@fox.com and follow him on Twitter @M_Dorgan.The hottest stories ripped from the headlines, from crime to courts, legal and scandal.By entering your email and clicking the Subscribe button, you agree to the Fox NewsPrivacy PolicyandTerms of Use, and        agree to receive content and promotional communications from Fox News. You understand that you can        opt-out at any time.SubscribedYou've successfully subscribed to this newsletter!"
Fox News,https://www.foxnews.com/video/6363206160112,"Trump: We've been 'screwed' by Mexico, China, European Union | Fox News Video",Former President Trump details his foreign policy and trade policies on ‘Sunday Morning Futures.’,1 day ago,2024-10-15,China News,Fox News,China,Former President Trump details his foreign policy and trade policies on ‘Sunday Morning Futures.’
Fox News,https://www.foxnews.com/category/world/world-regions/china,China | Fox News,"The People’s Republic of China is the world’s most populous country, with a population of around 1.4billion. One of the world’s earliest civilizations, its political system was based on dynasties, eventually ending in 1912. In 1949, the Communist Party established the PRC. Since the introduction of economic reforms in 1978, China’s economy has been one of the world’s fastest-growing. It is a permanent member of the United Nations Security Council.",6 hours ago,2024-10-15,China News,Fox News,China,"Located in East Asia, China, also known as thePeople’s Republic of China, is the most populous country in the world, with a population exceeding 1.4 billion. China's largest cities are Shanghai, its financial center, and Beijing, the national capital. The current president isXi Jinping, who has served in office since 2013. China borders 14 countries, has five time zones, and is made up of 23 provinces. The eastern power is also the world's largest economy by GDP at purchasing power, the second-wealthiest country, and the world's largest manufacturer and exporter. Along with having nuclear capabilities, China is considered a rising superpower and potential global rival to the United States.The modern Chinese government emerged after the fall of its last monarch in 1912, giving way to the emergence of the Republic of China. During the Second Sino-Japanese War, China's ruling nationalists united theChinese Communist Partyto defeat the invading Japanese army. From 1945 to 1949, the country was in a civil war between the nationalists and communists that ended with the CCP claiming victory over modern-day mainland China and the nationalists fleeing to the island of modern-day Taiwan.Currently, China is ruled by the Chinese Communist Party as a one-party socialist Republic. China has economic and political influence over various international organizations, including the United Nations, where it sits on the Security Council as a permanent member with the power to veto measures. China holds membership in the G20, APEC, RBICS, and the East Asia Summit.The Chinese military has the largest standing army by individual military personnel and the second largest defense budget behind the U.S. The government of China has faced criticism for its repression of political dissidents and ethnic and religious minorities. One of China's closest allies is the neighboring eastern power of Russia.China has launched massive military exercises surrounding Taiwan in response to the island refusing to follow the rule of the Communist Party.Some critics have claimed the revenues do not paint an accurate picture due to the fluctuation of prices and lack of reliable sources, but an expert argued that other reports confirm an export surge.Sen. JD Vance sounded the alarm on U.S. manufacturing on Sunday, telling Fox News that America has relied too long on Chinese ""slave labor.""Five former University of Michigan students have been charged after they allegedly covered up spying on a National Guard training center in Michigan for China.NBA Commissioner Adam Silver said Thursday in New York he believes the league's relationship with China has mended to the point games will be played there again.Dallas Mavericks minority owner Mark Cuban doubled down on his public approval for the NBA's partnership with China after previously defending and embracing it.Taiwan's representative to the U.S., Alexander Yui, is vowing that the island's people are ready to fight if China invades the island.Taiwan's new representative in the U.S. is warning about the alliance among China, Russia, Iran and North Korea.Sanxingdui Ruins is an archaeological site in Guanghan City. Official archaeological excavations have been conducted since 1934 at the site after its discovery in 1929.Politico writers observed that Minnesota Gov. Tim Walz has a history of embellishing or lying about his political and military record, an issue that even his own staff acknowledges."
Fox News,https://www.foxnews.com/politics/jd-vance-warns-consequences-america-we-continue-rely-chinese-slave-labor,JD Vance warns of consequences for America if we continue to rely on 'Chinese slave labor',"Sen. JD Vance sounded the alarm on U.S. manufacturing on Sunday, telling Fox News that America has relied too long on Chinese ""slave labor.""",1 day ago,2024-10-15,China News,Fox News,China,"Republican vice presidential candidate JD Vance joins 'Fox News Sunday' and addresses the gender gap in voter support, tariffs, and tickets stance on abortion bans.Sen. JD Vance warned that America would face dire consequences in coming decades if the nation continues to rely on Chinese ""slave labor"" for manufacturing.Vance made the statement during an appearance on ""Fox News Sunday"" with host Shannon Bream. Bream pressed Vance to explainformer President Trump'ssupport for extensive tariffs on foreign-manufactured products, questioning whether it could result in major price hikes for Americans.""William McKinley and Teddy Roosevelt built the American industrial powerhouse we know today using tariffs to ensure that American workers got a fair deal and foreign competitors weren't able to undercut the wages of our workers,"" Vance said.‘AUTO WORKERS FOR TRUMP’ LEADER SAYS THOUSANDS POISED TO BREAK FROM DEMS OVER GREEN POLICIES, JOB KILLING REGSJD Vance defended Donald Trump's tariff policies, saying the U.S. has for too long relied on Chinese ""slave labor.""(AP Photo/Alex Brandon)""If you're a foreign competitor working in China, [you're] using literal Chinese slave labor at $3 a day. An American middle class worker is never going to be able to compete on cost alone – we can compete on quality – with those foreign slave laborers in China,"" he continued.""So if you're going to use slave labor in China, what a tariff says is that you are going to pay a fat penalty before bringing those products back into the United States. That's really the only way to ensure that America has a viable industrial base,"" he said.TRUMP: IF KAMALA BECOMES PRESIDENT, THERE WILL BE NO AUTO INDUSTRYVance went on to warn that current policies could lead to a future where the U.S. relies on foreign countries to manufacture virtually all of its goods.Former President Trump has argued in favor of major tariffs against foreign competitors.(AP Photo/Alex Gallardo)He argued the U.S. mustexert economic pressureon foreign competitors or else ""we're going to wake up in a country 20-30 years from now where everything that we need, the pharmaceuticals we put into the bodies of our children, the weapons of war that our troops use, are made by foreign countries that don't like us very much.""""We've tried the experiment of shipping our jobs to China and building our prosperity off that. It's a failed experiment,"" he said.Vance warned that current policies could lead to American weapons of war being produced in other countries.(AP Photo/Matt Rourke)Earlier this year, Trump rolled out a plan to eliminateChina's most favored nation trade statusand impose universal baseline 10% tariffs on imports. In private, Trump has even floated tariffs as high as 60% on Chinese goods, according to the Washington Post.CLICK HERE TO GET THE FOX NEWS APPEconomists have warned that increasing tariffs would also cause an increase in prices for everyday goods due to American companies relying on cheap raw materials from China.Fox New's Chris Pandolfo contributed to this report.Anders Hagstrom is a reporter with Fox News Digital covering national politics and major breaking news events. Send tips to Anders.Hagstrom@Fox.com, or on Twitter: @Hagstrom_Anders.Get the latest updates from the 2024 campaign trail, exclusive interviews and more Fox News politics content.By entering your email and clicking the Subscribe button, you agree to the Fox NewsPrivacy PolicyandTerms of Use, and        agree to receive content and promotional communications from Fox News. You understand that you can        opt-out at any time.SubscribedYou've successfully subscribed to this newsletter!"
Fox News,https://www.foxnews.com/us/navy-prepares-china-conflict-newly-announced-strategy,Navy prepares for China conflict with newly announced strategy,"The United States Navy released its ""Navigation Plan for America’s Warfighting Navy"" on Thursday, outlining how the U.S. will meet the growing threat of Chinese military aggression against Taiwan by 2027.",September 19,2024-10-15,China News,Fox News,China,"Former U.S. Ambassador to NATO Kurt Volker discusses growing threats from Russia and China on ‘Fox & Friends Weekend.’The United States Navy has released documents outlining its goals for meeting the growing threat ofChinese military powerin the coming years.TheNavigation Plan for America’s Warfighting Navy, published Thursday, is designed to bring the Navy into a stronger position against the People's Liberation Army (PLA) by 2027 via bolstered recruitment and strategic technological advancement.""This Navigation Plan drives toward two strategic ends: readiness for the possibility of war with the People’s Republic of China by 2027 and enhancing the Navy’s long-term advantage,"" the report states.RUSSO-CHINESE ARTIC WAR GAMES SPUR US RESPONSE AS ALASKA OFFICIALS WARN ONLY STRENGTH CAN DETER CRISISTourists visit the People's Liberation Army Navy aircraft carrier Kyiv in Tianjin, China.(Costfoto/NurPhoto via Getty Images)It continues, ""We will work towards these ends through two mutually reinforcing ways: implementing Project 33 and expanding the Navy’s contribution to the Joint warfighting ecosystem.""The 2027 deadline for Navy modernization relates toChinese President Xi Jinping'sstated goal of preparing the PLA for an invasion of Taiwan by 2030.The Department of Defense noted last year in its document ""The Ambitious Dragon"" that ""if President Xi continues to pursue annexation of Taiwan, the PLA will be prepared by 2027, and he will likely take steps to realize these ambitions by 2030 as China’s population ages, while pursuing unification to solidify his historic legacy in his lifetime.""FBI DIRECTOR WRAY SAYS BUREAU STOPPED SECOND CHINESE HACKING GROUPChief of Naval Operations Adm. Lisa Franchetti said in a statement that the plan ""continues where my predecessor’s Navigation Plan left off and sets our course to raise our Fleet’s baseline level of readiness and put more ready Players on the Field – platforms that are ready with the requisite capabilities, weapons, and sustainment and people that are ready with the right mindset, skills, tools, and training.""""The challenge posed by the PRC to our Navy now goes well beyond just the size of the PLA Navy fleet. Ships matter greatly but gone are the days when we assessed threats based purely on the number of battle force ships or tonnage,"" the Navy said in its Thursday report. It continued, ""Through operational concepts like multi-domain precision warfare, grey zone and economic campaigns, expansion of dual use infrastructure (e.g., airfields) and dual use forces (e.g., Chinese maritime militia), and a growing nuclear arsenal, the PRC presents a complex multi-domain and multi-axis threat.""The new plan also notesRussia's continued relevancein the East Asian sphere, noting that though ""wounded and isolated"" by the ongoing conflict with Ukraine, Russia remains a technological and operational threat.CLICK HERE TO GET THE FOX NEWS APPA brigade of the army under the Eastern Theater Command and a department of the Navy carry out a multi-subject combat training in a sea area in Zhangzhou, Fujian province, China.Taiwan, also known as the Republic of China,is an island off the coast of the Asian mainland. Taiwan was maintained as a hold-out by the Republican government in the 1940s, declaring itself independent of the rising People's Republic of China and claiming continuation of governance from the pre-revolutionary Chinese state.The People's Republic of China — ruled by theChinese Communist Party— has long claimed sovereignty over Taiwan and the Taiwan Strait.Timothy Nerozzi is a writer for Fox News Digital. You can follow him on Twitter @timothynerozzi and can email him at timothy.nerozzi@fox.comThe hottest stories ripped from the headlines, from crime to courts, legal and scandal.By entering your email and clicking the Subscribe button, you agree to the Fox NewsPrivacy PolicyandTerms of Use, and        agree to receive content and promotional communications from Fox News. You understand that you can        opt-out at any time.SubscribedYou've successfully subscribed to this newsletter!"
Fox News,https://www.foxnews.com/media/donald-trump-weve-been-screwed-trade-mexico-china-european-union,"Donald Trump: We've been 'screwed' on trade by Mexico, China, European Union","Former President Trump proposes a re-negotiation of the U.S.–Mexico–Canada Agreement while claiming America has been ""screwed"" by trade partners over the past four years on ""Sunday Morning Futures.""",1 day ago,2024-10-15,China News,Fox News,China,"Former President Trump details his foreign policy and trade policies on ‘Sunday Morning Futures.’One of former President Trump’s top-of-mind plans if he wins in November includes re-negotiations of international trade deals, which he detailed on ""Sunday Morning Futures,"" adding that America has been ""screwed"" by Mexico, China, Canada and the European Union.""There are always things that you can do better. I got a clause that gives me the right to re-negotiate [the USMCA]. Who else would think of that except a business person? A good one — I'm a really good business person,"" Trumptold host Maria Bartiromoin an exclusive interview on Sunday.""We've been screwed by Mexico and by China and by Canada and by the European Union,"" he continued.The former president proposed a new U.S.-Mexico-Canada Agreement as part of his larger initiative for a domestic jobs boom and revitalized auto industry.‘REAGAN’ STAR DENNIS QUAID RALLIES FOR TRUMP IN COACHELLA, CALIFORNIA: ‘TIME TO PICK A SIDE’Previously on the 2024 campaign trail, Trump said he wouldimplement a 200% tariffon all Chinese auto imports from Mexico, which would make them ""un-sellable"" in the United States.Former President Donald Trump talks his trade plan in an exclusive interview with Maria Bartiromo on ""Sunday Mornings Futures.""Mexico is the largest export market for U.S. automotive parts, and the fourth-largest producer of automotive parts worldwide, according to theInternational Trade Administration.Meanwhile, multiple Latin American business news outlets reported this year that Mexico's share of the U.S. auto parts imports market increased from 38% in 2017 to 42.5% in 2023, according to a previous Fox News Digital article.""I want to make it a much better deal. I want to take advantage now of the car industry… So I put a clause in, the hardest clause I had with them was, I want to be able to see how it's working, and I want to re-negotiate,"" the former president expanded on Sunday.GET THE FOX NEWS APP BY CLICKING HERE""That's the way it is. Either you do that, or I'm not going to make a deal, or… I didn't mind not making a deal, by the way. The problemwe had is NAFTA. We had to get rid of it. It had to get out. It was the worst deal,"" Trump said. ""Do you know, when they signed NAFTA many years ago, they made typos, and they made mistakes in the agreement that normally you would just sit back and change the following day. Nobody went back to change it. And it was things like numbers, you know, they put wrong numbers in… and nobody changed it for 30 years.""He also touted his previous trade record while in office: ""I made a great deal with Japan. I made a great deal with South Korea. I said to them, 'We've got 40,000 soldiers over there'…""""When I left, Iran was broke,"" Trump added. ""I said to China, 'You can't buy oil, and if you buy one barrel of oil, I'm not doing any business with you in the U.S. You're shut out. We're going to go cold turkey.'""Fox News Digital's Alec Schemmel contributed to this report.Kristen Altus is an associate editor with Fox News Digital. Story tips and ideas can be sent tokristen.altus@fox.comor on Twitter:@kristenaltusGet all the stories you need-to-know from the most powerful name in news delivered first thing every morning to your inbox.By entering your email and clicking the Subscribe button, you agree to the Fox NewsPrivacy PolicyandTerms of Use, and        agree to receive content and promotional communications from Fox News. You understand that you can        opt-out at any time.SubscribedYou've successfully subscribed to this newsletter!"
Fox News,https://www.foxnews.com/video/6363235850112,China launches military drills surrounding Taiwan | Fox News Video,Chinese state TV broadcast captures purported military activity surrounding Taiwan. (Credit: Reuters),20 hours ago,2024-10-15,China News,Fox News,China,Chinese state TV broadcast captures purported military activity surrounding Taiwan. (Credit: Reuters)
Fox News,https://www.foxnews.com/politics/taiwan-official-warns-china-russia-iran-forming-alliance-after-blinken-says-no-axis-exists,"Taiwan official warns China, Russia, Iran 'working together' ","Taiwan's new representative in the U.S. is warning about the alliance among China, Russia, Iran and North Korea.",October 4,2024-10-15,China News,Fox News,China,"Fox News' Aishah Hasnie speaks exclusively with Taiwan Amb. Alexander Yui on the impact of the U.S. election.Taiwan’s de facto U.S. ambassador is warning that China, Iran and Russia are forming an ""alliance"" that the rest of the world should be ready for.It comes days after Secretary of State Antony Blinken said the three autocratic countries were working together but not an ""axis,"" as they have so often recently been called.""They're working together, that's for sure, whether that’s an axis or an alliance"" Alexander Yui,Taiwan’s representativeto the U.S., told Fox News this week.""And as you know, it's up to anyone to define it. But there were certainly there are symptoms, signs that they're working together.""BIDEN ADDRESSES UN GENERAL ASSEMBLY FOR LAST TIME AS DICTATORS, DESPOTS COME TO NEW YORKChinese President Xi Jinping, right, and Russian President Vladimir Putin look toward each other as they shake hands prior to their talks in Beijing, China, Thursday, May 16, 2024(Sergei Bobylev, Sputnik, Kremlin Pool Photo via AP, File)During the interview, Yui also suggested that Taiwan’s government was in touch with both Vice President Harris and former President Trump’s circles to be prepared for whatever comes next in U.S. relations.""The whole world is watching, and I'm sure the diplomatic community here in Washington, D.C., is also watching closely and [trying] to reach out to both candidates or to the people around the candidates,"" Yui said.Blinken penned an op-ed inForeign Affairs Magazineon Oct. 1 that said world powers were in competition to set the stage for a ""new age"" of international relations.HUNDREDS OF MILLIONS OF US RESEARCH DOLLARS MAY HAVE AIDED CHINESE MILITARY TECHNOLOGY, GOP-LED REPORT SAYSSecretary of State Antony Blinken recently penned an op-ed saying Iran, Russia, North Korea and China were working together but not an ""axis.""(Reuters/Elizabeth Frantz/Pool/File Photo)""A small number of countries — principally Russia, with the partnership of Iran and North Korea, as wellas China— are determined to alter the foundational principles of the international system. While their forms of governance, ideologies, interests, and capabilities differ, these revisionist powers all want to entrench autocratic rule at home and assert spheres of influence abroad,"" the Biden administration official wrote.""While these countries are not an axis, and the administration has been clear that it does not seek bloc confrontation, choices these revisionist powers are making mean we need to act decisively to prevent that outcome.""Meanwhile, national security hawks on the right and left have warned that those four regimes were forging an unholy alliance not seen since WWII.Iran has increased its aggression in the Middle East.(Atta Kenare/AFP via Getty Images)CLICK HERE TO GET THE FOX NEWS APPBoth House Speaker Mike Johnson, R-La., and Senate Minority Leader Mitch McConnell, R-Ky., called them a new ""axis of evil.""Rep. Steny Hoyer, D-Md., House Democrats’ former majority leader, said after President Biden’s address on Israel and Ukraine in October 2023, ""We face a new axis of evil today. The dictators, despots, and dealers of destruction leading Russia, North Korea, Iran, and Iranian proxies like Hamas and Hezbollah stand together in their assault on democracy.""Aishah Hasnie currently serves as a Fox News Channel (FNC) Congressional correspondent.Get the latest updates from the 2024 campaign trail, exclusive interviews and more Fox News politics content.By entering your email and clicking the Subscribe button, you agree to the Fox NewsPrivacy PolicyandTerms of Use, and        agree to receive content and promotional communications from Fox News. You understand that you can        opt-out at any time.SubscribedYou've successfully subscribed to this newsletter!"
Fox News,https://www.foxnews.com/politics/walz-forced-correct-record-whether-he-china-tiananmen-square-protests,Walz forced to correct record on whether he was in China for the Tiananmen Square protests,"Minnesota Gov. Tim Walz, the Democratic vice presidential nominee, had to answer questions about his controversial travel to China and misstatements about those trips during the debate.",October 1,2024-10-15,China News,Fox News,China,"Minnesota Gov. Tim Walz attempts to clarify remarks he made about being in Tiananmen Square during the 1989 pro-democracy protests during the CBS News Vice Presidential Debate. (Courtesy: CBS News)Democratic vice presidential nominee Tim Walz, the governor of Minnesota, was forced to answer questions about hiscontroversial travel to Chinaand misstatements about those trips during Tuesday night’s debate.Walz has said he was in Hong Kong during the deadlyTiananmen Squareprotests in the spring of 1989. But Minnesota Public Radio and other media outlets are now reporting that Walz actually did not travel to China until August of that year.CBS News moderator Margaret Brennanasked Walzto explain the discrepancy.COMER SUBPOENAS DHS FOR RECORDS RELATING TO WALZ'S ALLEGED TIES TO CHINESE COMMUNIST PARTY""Look, I grew up in a small rural Nebraska town, a town that you rode your bike with your buddies till the streetlights come on, and I’m proud of that service,"" a visibly shaky Walz said. ""I joined the National Guard at 17, worked on family farms and then I used the GI bill to become a teacher.""Walz said that, as a ""passionate young teacher,"" he had ""the opportunity in the summer of ’89 totravel to China— 35 years ago.Minnesota Gov. Tim Walz baffled the internet Tuesday when he accidentally declared he has ""become friends with school shooters"" during the CBS News Vice Presidential Debate against Sen. JD Vance.(Getty Images)""I came back home and then started a program to take young people there. We would take basketball teams. We would take baseball teams. We would take dancers. And we would go back and forth to China,"" Walz said, noting the trips were ""to try and learn.""""Look, my community knows who I am. They saw where I was at. I will be the first to tell you I have poured my heart into my community, and I’ve tried to do the best I can, but I’ve not been perfect,"" Walz continued.""And I’m a knucklehead at times.""Walz said his commitment ""from the beginning"" has been to ""make sure that I’m there for the people.""""Many times, I will talk a lot. I will get caught up in rhetoric. But being there, the impact it made, the difference it made in my life, I learned a lot about China,"" Walz said. ""I hear the critiques of this.""Walz said he would ""make the case that Donald Trump should have come on one of those trips with us.""""I guarantee you he wouldn't be praising XI Jinping about COVID. And I guarantee you he wouldn't start a trade war that he ends up losing,"" Walz said. ""So, this is about trying to understand the world. It's about trying to do the best you can for your community, and then it's putting yourself out there and letting your folks understand what it is.""My commitment, whether it be through teaching, which I was good at, or whether it was being a good soldier or was being a good member of Congress. Those are the things that I think are the values that people care about.""Sen. JD Vance, R-Ohio, the Republican vice presidential candidate, debates Tim Walz at the CBS Broadcast Center Oct. 1, 2024, in New York City.(Chip Somodevilla/Getty Images)But Brennan pushed back, reminding Walz of the question and again asking him to explain the discrepancy.""All I said on this was, as I got there that summer and misspoke on this,"" Walz said. ""So, I will just — that's what I've said. So, I was in Hong Kong and China during the democracy protests, went in and, from that, I learned a lot of what needed to be in in governance.""Walz's ties to China have come under the microscope since he became Vice President Kamala Harris' running mate.HOUSE OVERSIGHT INVESTIGATING WALZ OVER 'LONGSTANDING CONNECTIONS' TO CHINAHouse Oversight Committee Chairman James Comer, R-Ky., launched an investigation into Walz's alleged ties to the Chinese Communist Party.Comer revealed that Walz has ""engaged and partnered with"" Chinese entities, making him ""susceptible"" to the CCP’s strategy of ""elite capture,"" which seeks to co-opt influential figures in elite political, cultural and academic circles to ""influence the United States to the benefit of the communist regime and the detriment of Americans.""Comer has pointed to reports that Walz, while working as a teacher in the 1990s, organized a trip to China for Alliance High School students. The costs were reportedly ""paid by the Chinese government.""Minnesota Gov. Tim Walz, the Democratic vice presidential nominee, speaks during a vice presidential debate hosted by CBS News with Republican vice presidential nominee Sen. JD Vance, R-Ohio, Tuesday, Oct. 1, 2024, in New York.(AP Photo/Matt Rourke)TIM WALZ SAID HE WENT TO CHINA 'DOZENS' OF TIMES, NOW HIS CAMPAIGN SAYS ITS 'CLOSER TO 15'Comer is investigating Educational Travel Adventures, Inc., a private company Walz created in 1994 that was led by Walz and coordinated annual student trips to China until 2003.The company reportedly ""dissolved four days after he took congressional office in 2007.""Comer said Walz has traveled to China an estimated ""30 times.""Comer has issued a subpoena to Homeland Security Secretary Alejandro Mayorkas, compelling him to produce DHS records related to Walz's alleged ties to the CCP.CLICK HERE TO GET THE FOX NEWS APPWalz, meanwhile, during a congressional hearing in 2016, said he had ""been to China dozens of times.""""I've been there about 30 times,"" Walz told an agriculture-focused publication in 2016.However, a Harris-Walz campaign spokesperson recently told Minnesota Public Radio the number was ""closer to 15 times.""Brooke Singman is a political correspondent and reporter for Fox News Digital, Fox News Channel and FOX Business.Get the latest updates from the 2024 campaign trail, exclusive interviews and more Fox News politics content.By entering your email and clicking the Subscribe button, you agree to the Fox NewsPrivacy PolicyandTerms of Use, and        agree to receive content and promotional communications from Fox News. You understand that you can        opt-out at any time.SubscribedYou've successfully subscribed to this newsletter!"
