Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
BBC,https://www.bbc.com/news/articles/c9qve471ydqo,Two men deny spying for China,Christopher Berry and former parliamentary researcher Christopher Cash appeared at the Old Bailey on Friday.,4 Oct 2024,2024-10-15 10:31:11.138367,China News,BBC,China,"Two men accused of spying for China pleaded not guilty at the Old Bailey on Friday.  Christopher Berry, 32, and Christopher Cash, a 29-year-old former parliamentary researcher, have been charged under the Official Secrets Act. Mr Cash, from Whitechapel, east London, and Mr Berry, of Witney, Oxfordshire, are alleged to have ""for a purpose prejudicial to the safety or interests of the state, obtained, collected, recorded, published or communicated to any other person articles, notes, documents or information which were calculated to be, might be, or were intended to be, directly or indirectly, useful to an enemy"". Beijing has previously called the allegations ""malicious slander"". The prosecution says the alleged spying took place between between 28 December 2021 and 3 February 2023. The Sunday Times previously reported that Mr Cash had access to Conservative leadership candidate Tom Tugendhat and the former foreign affairs committee chairwoman Alicia Kearns, among others. A further case management hearing will be scheduled in January or February next year.  That will come ahead of a trial, which is expected to last between five and seven weeks, at Woolwich Crown Court.  A provisional date of 6 October next year has been set for the trial. "
BBC,https://www.bbc.com/news/articles/cn8jz39xl19o,China hits back at EU with brandy tax,The tax on brandy imports is being seen by critics as a retaliatory move for recent EU tariffs on Chinese-made electric cars.,7 days ago,2024-10-15 10:31:11.226971,China News,BBC,China,"China has imposed taxes on imports of European brandy in a move that France has said is retaliation for recent big tariffs the EU announced on Chinese electric vehicles. The European Commission said it would challenge China's tax at the World Trade Organization (WTO), calling it an ""abuse"" of trade defence measures. But China said the move was an ""anti-dumping"" measure that would protect its domestic producers.  French brandy producers said the duties, which will hit big brands including Hennessy and Remy Martin, would be ""catastrophic"" for the industry. Shares in brandy companies dropped after the announcement. China announced new restrictions on European brandy just days after EU countries approved steep tariffs on Chinese-made electric vehicles. China's commerce ministry said brandy imports threaten ""substantial damage"" to its own producers. Importers will have to pay ""security deposits"" on European brandy. China is also considering new tariffs on other EU imports including cars, pork, and dairy. It has said EU tariffs on its electric vehicles are a breach of global trade rules. French Trade Minister Sophie Primas said the brandy tax ""seems to be a retaliatory measure"" after the European Union decision to raise tariffs on Chinese electric cars. She said that kind of retaliation would be ""unacceptable"", and a ""total contradiction"" of international trade rules, adding that France would work with the European Union to take action at the WTO. France accounts for 99% of brandy exported to China, and French cognac lobby group BNIC said the move would be ""catastrophic"" for the industry. ""The French authorities cannot abandon us and leave us alone to deal with Chinese retaliation that has nothing to do with us,"" BNIC said, adding that the taxes ""must be suspended before it's too late"". Shares in companies that sell spirits took a battering after the Chinese announcement. Luxury firm LVMH, which produces Hennessy, fell more than 3%, while Remy Cointreau, which makes Remy Martin, fell more than 8%. Analysts at Jefferies estimate that the tariffs could translate into a 20% price increase for consumers, which would probably lead to volumes and supplier sales falling by a fifth. Shares in German carmakers, which could also be hit by tariff moves from China, also slid. Volkswagen, Porsche, Mercedes-Benz and BMW were all down after the announcement."
BBC,https://www.bbc.com/news/articles/cqjrplrvpvpo,China detains iPhone maker workers in 'strange' case,"The Taiwanese government suggested the detentions may be a case of ""abuse of power"" by Chinese police.",4 days ago,2024-10-15 10:31:11.309471,China News,BBC,China,"Chinese police have detained four workers of the Taiwanese iPhone maker, Foxconn, in circumstances Taipei has described as ""strange"". The employees were arrested in Zhengzhou in Henan province on ""breach of trust"" charges, Taiwan's Mainland Affairs Council said in a statement. The BBC has contacted Foxconn for comment. The company is the biggest maker of iPhones for US technology giant Apple and is one of the largest employers in the world, with major manufacturing facilities in China. Taiwanese authorities suggested the detentions may be a case of ""abuse of power"" by Chinese police officers and said the case undermines the confidence of businesses operating in China. A Chinese Foreign Ministry spokesperson said they were not aware of the matter. In October last year, China's tax and land authorities launched an investigation into the company. At that time, Foxconn's founder Terry Gou was running as an independent candidate in Taiwan's presidential election. Taiwan has urged its citizens to ""avoid non-essential travel"" to the mainland as well as Hong Kong and Macau after China unveiled guidelines in June detailing criminal punishments for what Beijing described as diehard ""Taiwan independence"" separatists. Foxconn's facility in Zhengzhou is the world's largest iPhone factory which is widely known as ""iPhone City"". Despite a long-standing geopolitical rift between Beijing and Taipei, Foxconn is among many Taiwanese businesses that have built factories in China. Beijing sees the island as a breakaway province that will, eventually, be part of the country, and has not ruled out the use of force to achieve this. But many Taiwanese consider themselves to be part of a separate nation - although most are in favour of maintaining the status quo where Taiwan neither declares independence from China nor unites with it."
BBC,https://www.bbc.com/news/articles/cvgd4yn45qlo,China 'punishes' Taiwan president remarks with new drills,Beijing says the exercise involved all parts of the military and simulates a full-scale attack on its neighbour.,19 hrs ago,2024-10-15 10:31:11.413047,China News,BBC,China,"China on Monday launched new military drills off the coast of Taiwan in what it described as ""punishment"" for a speech given by its president William Lai, when he vowed to ""resist annexation"" or ""encroachment upon our sovereignty"". China claims the self-governing island of Taiwan as its own and its president Xi Jinping has vowed to retake it by force if necessary.  Taiwan said it detected 34 naval vessels and 125 aircraft in formation around the island on Monday. Maps published by Chinese state media indicated its forces were positioned around the whole island. It said later that the drills had been successfully concluded.  The Chinese military, known as the People's Liberation Army (PLA) said the drills involved all wings of the army and were designed to simulate attacking Taiwan by land, sea and air. Senior Captain Li Xi, spokesperson of the PLA Eastern Theater Command said the drills ""fully tested the integrated joint operation capabilities"" of its troops. Taiwan's airports and ports continued functioning as normal. An earlier statement from the Taiwanese defence ministry condemned the Chinese move and said its priority was to avoid direct clashes which could escalate the stand-off further. Outlying islands were put on high alert, it added.  China's foreign ministry confirmed it had simulated military assaults and port blockades, and described Taiwanese independence as being ""incompatible"" with peace in the region. A post by the Chinese coast guard on its Weibo account later depicted the route of the patrol in the shape of a heart.  China has held several major military drills off the coast of Taiwan since 2022 and its fighter jets regularly enter Taiwanese airspace.  The latest exercise has been dubbed Joint Sword 2024-B by Beijing and had been widely expected since May, when drills bearing the same name and officially labelled as part A were staged. That exercise, which China described as its largest yet, were timed to coincide with the inauguration of President Lai, who Beijing has long seen as a ""troublemaker"" advocating for Taiwan's independence.  His latest comments, made on Taiwan's national day, were condemned by China, which said he was escalating tensions with ""sinister intentions"".  But while these drills were widely expected, the deployment and how close Chinese ships and aircraft were to Taiwan - as well as the fiery rhetoric - could be seen as very aggressive behaviour. In any other context, it would have been seen as a dramatic escalation - but it came against the backdrop of tensions that were already very high. The US reacted by saying that there was no justification for the drills after Lai's ""routine"" speech, and that China should avoid further actions which may jeopardise peace and stability in the region. The recent history of China’s military intimidation of Taiwan goes back to 1996, after Taiwan held its first direct presidential elections. China declared several areas around Taiwan off limits, and fired short-range ballistic missiles into those areas off the north and south coasts.  US President Bill Clinton quietly moved US Navy forces into the Taiwan strait to demonstrate to Beijing that the US would prevent an attack on the island. Tensions eased considerably between 2008 and 2016 - until the leader of Taiwan's Democratic Progressive Party (DPP) Tsai Ing-wen was elected as president. China considers the DPP to be a hard line pro-independence party, and responded by cutting off all direct contacts with the government in Taipei. That situation has remained ever since. In August 2022 US house speaker Nancy Pelosi flew into Taipei – the first time a sitting house speaker had visited the island since 1997. Pelosi’s visit and her open support for Taiwan was seen by Beijing as a huge provocation – coming close to a formal recognition of the government here by a very senior US politician. It reacted with fury – holding two days of exercises and for the first time ever flying ballistic missiles over the island and in to the Pacific Ocean."
BBC,https://www.bbc.com/news/articles/c8elgd52x4wo,China stock rally fizzles as stimulus news disappoints,Shares fell back after a news conference by economic planners gave little in the way of details.,7 days ago,2024-10-15 10:31:11.505920,China News,BBC,China,"A stock market rally in China has fizzled out as a highly-anticipated announcement on plans to boost the country's ailing economy disappointed investors. Shares had jumped by over 10% as trading restarted after the Golden Week holiday but fell back after a news conference by the country's economic planners. After a volatile day of trading, the Shanghai Composite Index in mainland China closed 4.6% higher, while the Hang Seng in Hong Kong slumped by 9.4%. Investors had been hoping for more information about how the government plans to support economic growth but the announcement gave little in the way of details. The chairman of China's National Development and Reform Commission Zheng Shanjie said he is ""fully confident"" the country will achieve its full-year economic and social goals. But he added: ""The downward pressures on China's economy is also increasing"". Mr Zheng's comments came as he announced that China will issue 200 billion yuan ($28bn; £21.5bn) for spending and investment projects by the end of this year. ""The market really expected more. The correction will be even stronger if the data on the Golden Week in terms of consumption is weak,"" said Alicia Garcia-Herrero, chief economist for the Asia Pacific region at investment bank Natixis. ""The market is reacting to the lack of a real fiscal stimulus. I would not have organised a press conference not to announce anything new.""  The Chinese government has been trying to boost confidence in the world's second largest economy as concerns increase that it may miss its own 5% annual growth target. Investors have been pouring into Chinese stocks since officials began rolling out a raft of measures aimed at boosting the economy. The plans included help for the country's crisis-hit property industry, support for the stock market, cash handouts for the poor and more government spending. But some economists have questioned whether the policies will be enough to fix China's economic problems. They say deep reforms might be needed in order to set the country on a more sustainable growth path. Growth has been slowing in the world's second largest economy as it continues to face a property market slump, falling prices and other challenges."
BBC,https://www.bbc.com/sport/tennis/articles/c1jd97g25z8o,Gauff fights back to reach China Open final,Fourth seed Coco Gauff comes from a set and a break down to beat Paula Badosa and reach her first China Open final.,5 Oct 2024,2024-10-15 10:31:11.593632,China News,BBC,China,"Coco Gauff lost to Iga Swiatek in the semi-finals in Beijing last year Fourth seed Coco Gauff came from a set and a break down to beat Paula Badosa to reach her first China Open final. The 20-year-old American dug deep to come through 4-6 6-4 6-2. Spaniard Badosa, ranked 19th in the world but a former world number two, had looked in a good position when she served at 4-3 up in the second set. But Gauff broke and rattled off the next four games to set up a decider, eventually wrapping up victory in two hours and 21 minutes. She will face Karolina Muchova in Sunday's decider after the Czech player defeated home favourite and fifth seed Qinwen Zheng 6-3 6-4. Zheng, the Olympic champion, needed medical treatment for a hand injury after taking a tumble during the opening set. Although both players had their opportunities, it was Muchova, who reached last year's French Open final but is now ranked 49 in the world after wrist surgery, who took advantage. The win saw her avenge defeat by Zheng in the final in Palermo in July and reach a second career WTA 1000 final after Cincinnati last year, where she lost to Gauff. Badosa, who was as low as 140th in the rankings in May, was on a good run of form in Beijing which included victory over second seed and US Open finalist Jessica Pegula in the last 16. And she took advantage of Gauff's inconsistencies, particularly on her serve which produced 11 double faults, to win the opening set and break in the first game of the second. Gauff is working with new coach Matt Daly after ending her partnership with Brad Gilbert last month following her fourth-round exit at the US Open, where she was defending her title. She saved four break points to avoid going 4-1 down in the second set and from then the momentum was with the American, who regained her composure as Badosa dropped her first set of the week. Gauff broke three times in the decider to seal the win to reach her first final since she triumphed in Auckland in January. ""I tried to stay focused, it was tough but mentally I just tried to reset,"" she said. Live scores, results and order of play Get tennis news sent straight to your phone"
BBC,https://www.bbc.com/sport/tennis/articles/c8ely9n1e61o,Gauff overcomes setback to reach China Open semis,Coco Gauff fought back from a set down to beat Yuliia Starodubtseva.,3 Oct 2024,2024-10-15 10:31:11.685752,China News,BBC,China,"Coco Gauff is looking to reach a final for the first time since January Coco Gauff is through to the semi-finals of the China Open for a second consecutive year after coming from behind to beat Yuliia Starodubtseva. Fourth seed Gauff lost the first set of the quarter-final on Thursday but fought back to beat the Ukrainian qualifier 2-6 6-2 6-2. The American - ranked sixth in the world - has had a difficult year having failed to reach a Grand Slam final and losing in the third round of the Paris Olympics. Gauff, 20, will face 15th seed Paula Badosa in Saturday's semi-final for a spot in her first final since winning in Auckland in January. Badosa reached the last four by defeating China's Zhang Shuai in straight sets. The Spaniard saw off the wildcard 6-1 7-6 (7-4) in one hour 23 minutes, although she had to fight back from 1-3 down in the second set. Badosa was ranked 140 in the world earlier this year, but has risen to 19th after 28 wins in 35 matches since May. The remaining quarter-finals will take place on Friday with top seed Aryna Sabalenka facing Karolina Muchova, and Mirra Andreeva taking on fifth seed Qinwen Zheng. Meanwhile, Britain's Billy Harris exited the Shanghai Masters in the opening round, losing 6-3 6-4 to Italy's Mattia Bellucci."
BBC,https://www.bbc.com/sport/tennis/articles/ce8v6560lnro,Alcaraz beats Sinner in dramatic China Open final,Carlos Alcaraz comes from a set down to edge out world number one Jannik Sinner in a dramatic China Open final.,2 Oct 2024,2024-10-15 10:31:11.769928,China News,BBC,China,"Carlos Alcaraz won silver at the 2024 Paris Olympics Carlos Alcaraz came from a set down to edge out world number one Jannik Sinner in a dramatic China Open final. Alcaraz, 21, continued his fine run of form against the Italian and has now won each of their last three encounters after coming through 6-7 (6-8) 6-4 7-6 (7-3). It is the Spaniard's fourth ATP Tour title this year and 16th of his career. ""Jannik once again showed he's the best player in the world, he's unbelievable and plays such a high level of tennis,"" Alcaraz said. ""I had my chances in the first set and didn't take it. In general, I'm proud of the way I dealt with the match and managed everything. ""I never lose hope but I know he has great stats. I knew I had to give everything I had to give myself the opportunity."" Elsewhere, Great Britain's Dan Evans was knocked out in the first round at the Shanghai Masters, having come through qualifying. Evans, 34, forced a deciding set, which he led 4-2, but eventually lost out in a tie-break against Brazil's Thiago Seyboth Wild, who won 6-2 4-6 7-6 (7-3) to set up a meeting with Russian world number five Daniil Medvedev. Since suffering a shock second-round exit at the US Open, Alcaraz has bounced back to win nine matches in a row, including helping Team Europe win the Laver Cup last month. Alcaraz appeared to be on track for the perfect start when he moved into a 5-2 lead in the opening set, however, Sinner saved two set points to force a tie-break, which he went on to win. The pivotal moment in the second arrived in the ninth game, when Alcaraz seized his opportunity to secure a break before serving out for the set to take it to a decider. There has been little to separate the pair in the early stages of their careers, with their head-to-head record now 6-4 in Alcaraz's favour, and it was another fine example of what the future of tennis has to offer in Beijing. Sinner has made a habit of winning big games over the course of 2024, prevailing in all six of his previous finals - including the Australian Open and US Open - and he found an extra gear to mount another fightback in the final set. Trailing 4-2 in the third, Sinner won three successive games to wrestle back momentum and send the encounter to a match-deciding tie-break. Sinner looked firmly in control after opening up a 3-0 advantage, but Alcaraz would not be denied. He rattled off seven successive points to claim victory and make it three wins on the bounce against the two-time Grand Slam champion. ""During the whole week I've been playing great tennis, some luck went to my side but I felt great on the court too,"" Alcaraz said.  The win means he is the first player to win an ATP 500 title on all three surfaces. Live scores, results and order of play Get tennis news sent straight to your phone This video can not be played Djokovic on drug system not working and Sinner Sinner was competing in Beijing after the World Anti-Doping Agency (Wada) announced on Saturday that it was appealing the decision to clear him of blame after he twice tested positive for a banned substance in March. The 23-year-old returned positive for low levels of a metabolite of clostebol - a steroid that can be used to build muscle mass - during Indian Wells. Wada said last month's ruling by an independent tribunal to find Sinner had no fault or negligence was ""not correct under the applicable rules"". It has appealed to the Court of Arbitration for Sport (Cas) and said the player should be banned for ""between one and two years"". Sinner's defence said he was inadvertently contaminated by the banned substance by his physiotherapist, Giacomo Naldi, and when Wada's decision was announced, Sinner said he was ""surprised"" by the decision to appeal. World number four Novak Djokovic, speaking at a news conference for the Shanghai Masters, called for the issue to be ""resolved as soon as possible"" and criticised the tennis anti-doping system's ""inconsistencies"". ""I think it's quite obvious that we have a system that is not working well,"" Djokovic said.  ""There's way too many inconsistencies, way too many governing bodies involved and this whole case is not helping our sport at all. ""Whatever is going to happen at the end of the day, just I wish for it to be resolved as soon as possible."""
BBC,https://www.bbc.com/sport/tennis/articles/c2kdnvnz0qpo,Gauff through after Osaka withdraws at China Open,Fourth seed Coco Gauff is through to the quarter-finals of the China Open after Japan's Naomi Osaka is forced to retire injured in their last-16 match.,1 Oct 2024,2024-10-15 10:31:16.840097,China News,BBC,China,"Coco Gauff has slipped to sixth in the WTA rankings after losing in the US Open fourth round Fourth seed Coco Gauff is through to the quarter-finals of the China Open after Japan's Naomi Osaka was forced to retire injured in their last-16 match. The match was level at one set all when Osaka, who appeared to be struggling throughout, had to withdraw because of a lower back injury. ""It was a good match up to this point,"" Gauff said. ""I wish Naomi a speedy recovery. Nobody wants to win a match like this, especially at one set all."" Four-time Grand Slam champion Osaka had to call for the physio during the first set but battled through, breaking Gauff for a third time before serving out to take it 6-3. But American Gauff, who won her first major at last year's US Open, hit back and broke at the first opportunity in the second. Osaka responded immediately and even earned a break advantage, only for Gauff to come storming back and break twice in winning three straight games to secure a fiercely contested set 6-4. There was to be no deciding set as Osaka had to retire but there was a moment of great sportsmanship at the end as Gauff carried her ailing opponent's bag off court for her. Gauff will face Ukraine's Yulia Starodubtsewa in the last eight. Paula Badosa is seeded 15th at the China Open US Open finalist Jessica Pegula is out after a last-16 defeat by Spain's Paula Badosa. The American world number three, seeded second in Beijing, lost 6-4 6-0 in just over an hour. An early break saw Badosa go 3-1 down in the opening set, but the Spaniard won 11 of the next 12 games - including eight in a row - to secure her first win over a top-five player since 2022. ""She's one the of the players I never want to face,"" said world number 19 Badosa.  ""She's very solid, hits very flat, changes direction very well, so I knew it was going to be tough. ""Yesterday I prepared myself for a battle, but I think today everything worked pretty well."" She will meet Zhang Shuai in the quarter-finals after the world number 595 continued her remarkable run at the tournament with a 6-4 6-2 win over Poland's Magdalena Frech. Zhang went into her home event on the back of 24 successive defeats spanning more than 600 days, the second-longest run on the WTA Tour in the open era, which began in 1968 when professionals were finally allowed to play in Grand Slam tournaments. The two-time Grand Slam quarter-finalist, whose career has been plagued by injuries, is also the lowest-ranked player to ever compete in the main draw of the China Open - a WTA 1000 event. But the 35-year-old has now won four matches in Beijing without dropping a set, including a second-round win over US Open semi-finalist Emma Navarro. Live scores, results and order of play Get tennis news sent straight to your phone From winless in 603 days to making history in China"
BBC,https://www.bbc.com/sport/tennis/articles/c2lngkzl8yyo,Gauff beats Muchova in China for eighth WTA title,American fourth seed Coco Gauff beats Karolina Muchova 6-1 6-3 in the China Open final to claim her eighth WTA title.,6 Oct 2024,2024-10-15 10:31:17.007811,China News,BBC,China,"Coco Gauff's win at the China Open was her eighth victory in nine WTA finals  World number six Coco Gauff dominated unseeded Czech player Karolina Muchova to win the China Open - the eighth WTA title of her career and first since January.  The American fourth seed had struggled with her serve earlier in the week and was forced to battle back from a set down in her three previous matches en route to her first final since winning in Auckland at the start of the year. But the 2023 US Open champion showed little sign of that fragility as she claimed a 6-1 6-3 win in one hour and 17 minutes. Gauff jokingly put her improved form down to a visit to Beijing's Forbidden City with men's winner Carlos Alcaraz. ""I guess the Imperial Palace brought us luck, so maybe I will pay a visit next year to get the same luck,"" she told an appreciative Chinese audience. There was nothing lucky about the way the 20-year-old star rattled through the opening set in just 30 minutes, harrying her opponent into a series of unforced errors to claim two breaks of serve. World number 49 Muchova, who was ranked as high as eighth before a lengthy lay-off with a wrist injury picked up at the 2023 US Open, had beaten top seed Aryna Sabalenka and Olympic champion Zheng Qinwen in previous rounds but was unable to match Gauff's power and athleticism. The 28-year-old had lost her two previous matches against the young American, including the final of last year's Cincinnati Open, and suffered defeats in four of her previous five WTA finals.  However, Muchova started the second set more positively, opening a 2-0 lead after Gauff's problems with her serve briefly resurfaced as she sent down two double faults to hand her opponent the early break.  But Gauff broke back immediately to start a run of four consecutive games.  Muchova eventually gifted her opponent victory by firing a backhand long with her 24th unforced error which, when compared to Gauff's 24 winners, told the story of the match. ""I want to say congratulations to you, Karolina, it's great to see you back on tour,"" said Gauff in her post-match interview. ""I think you're such an amazing player - you deserve everything and hopefully you play many more finals."" Gauff also thanked her new coach Matt Daly, adding that ""obviously things are going well"", after winning her first tournament under his guidance. She ended her partnership with Brad Gilbert last month following her fourth-round exit at the US Open, where she failed to defend her crown.  Victory in the WTA 1,000 event in Beijing moved Gauff up to fourth place in the Race to the Finals, with the top seven qualifying for the season-ending tournament in Riyadh in November. She now moves on to the Wuhan Open, which starts on Monday.  Live scores, results and order of play Get tennis news sent straight to your phone"
