Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
BBC,https://www.bbc.com/news/articles/c0kjrr44mvdo,"Religious hate crime at record high, figures show","The Israel-Hamas war has led to an increase in antisemitic and Islamophobic incidents, the Home Office says.",5 days ago,2024-10-15,Islamophobia,BBC,International,"Religious hate crime recorded by police in England and Wales has risen by 25% over the past year, driven by a rise in offences against Jews and Muslims since the beginning of the Israel-Hamas conflict, Home Office figures show. The vast majority of the 140,561 hate crime offences recorded - about seven in 10 - are shown to have been motivated by race, according to the data. But the increase in religious hate crimes is mainly driven by a rise in antisemitic offences, the department said. Hate crimes targeted at Jewish people more than doubled, while incidents against Muslims were up 13% on the previous 12 months, according to data. The Home Office said this is the highest annual count in religious hate crime offences since the department began collecting data in the year ending March 2012. More recent figures, recorded by community organisations rather than police, have shown record highs in antisemitism and Islamophobia up to the end of September. Publishing the statistics on Thursday, the Home Office said the 25% increase ""was driven by a rise in hate crimes against Jewish people and to a lesser extent Muslims and has occurred since the beginning of the Israel-Hamas conflict"". The hate crimes figures, supplied to the Home Office by the 43 territorial police forces across England and Wales and British Transport Police, showed a 5% decline in the overall number of hate crimes. But over the year ending March 2024 there were 3,282 religious hate crimes targeting Jews, more than double the previous year (1,543). The spike in such incidents coincided with the start of the conflict in the Middle East, and though the number decreased, by the spring it had not returned to levels identified before the conflict. The data corresponds to what has been reported by Jewish charities over the past year, with the highest number of offences reported in Greater London. Jewish charity the Community Security Trust (CST) said the 5,583 incidents recorded across the UK between 7 October 2023 and 30 September is the highest total of any 12-month period and was three times that of the previous 12-month period, which saw 1,830 incidents recorded. The figures also show there were 3,866 religious hate crimes targeting Muslims, up 13% from 3,432 recorded the previous year. It means 38% of recorded religious hate crimes were targeted against Muslims, and the figures do not yet include the unrest following events in Southport in the summer. Tell Mama - which records anti-Muslim incidents - said it had recorded 4,971 incidents of hate and discrimination across the UK in the year since the 7 October 2023 attacks, the highest total it had noted in more than a decade. ""The appalling levels of antisemitic and Islamophobic hate crimes outlined in today’s figures are a stain on our society, and this government will work tirelessly to tackle this toxic hatred wherever it is found,"" said Home Secretary Yvette Cooper. ""We must not allow events unfolding in the Middle East to play out in increased hatred and tension here on our streets and those who push this poison - offline or online - must face the full force of the law,"" she said. The police numbers do show that there were decreases in recorded disability hate crimes (down 18%) and those targeting people for their sexual orientation (down 8%), and a 2% fall in transgender hate crimes. But they also show that while there was a 5% fall in race hate crimes, 98,799 were still recorded over 12 months, and it remains by far the most common motivation in such offenses. Hate crimes motivated by sexual orientation have fallen for the second year in a row to 22,839 reported incidents. It means that these types of hate crime have fallen a total of 13% since March 2022 - which was the highest number on record. The Home Office says these decreases have been driven by falls in malicious communications offences, as well as reports of incidents causing public fear, alarm or distress. Simon Blake, CEO of LGBT campaigning charity Stonewall, told BBC News that hate crime reported to police ""is only part of the picture"". He said: ""It’s vital that all those affected have access to support. The fight against hatred is shared, so we must work together to build a society where everyone is safe and respected and free from harm."" Danielle St James, chief executive of trans charity Not A Phase, told the BBC that trans people are often reluctant to report hate crimes. She said: ""After many years in which hate crimes against trans people have soared, the news that these are down by 2% is certainly welcome. ""That being said, we know all too well that there is a reluctance to report these crimes on the part of the community, so it’s always worth taking stats such as these with a pinch of salt."""
BBC,https://www.bbc.com/news/articles/cdxrv2200veo,'We couldn't leave our home for a week after riots',Community groups come together to support better cohesion in the wake of far right riots.,19 Sep 2024,2024-10-15,Islamophobia,BBC,International,"Outside the mosque he manages in Stoke-on-Trent, Farouk Farage is reflecting on a ""horrifying"" few days in August, when riots unfolded in the streets. “It was very hard...with my daughters, my son and my wife, we effectively stayed inside our house for a week.   ""For some kids it must have felt like jail,"" he said. The scenes they witnessed on 3 August were terrifying, with riot police deployed when hundreds of people protested in the wake of the deaths of three young girls in Southport. Missiles were thrown at officers and Islamophobic chants directed towards the mosque, Sallahuddin Masjid. Children in a dance show were locked inside a theatre for their safety. Mr Farag said those who targeted them – yelling abuse and throwing stones at cars - have left a fear that is still being felt, an anxiety that can’t easily be shaken off. “There are around 3,000 Kurdish people in our community in Stoke-on-Trent who felt they couldn’t leave their homes for days”, he said. More than £1.5m had been raised for a community centre and, when news of the disorder spread on social media, dozens of worshippers came to surround the mosque. A rapid response security team was brought into Sallahuddin Masjid to guard the site day and night. “We hope it won’t happen again and know that the police will do their best to prevent disorder,"" Mr Farage said. ""We are grateful to Staffordshire Police.  Ever since we came here in 2016, we have had no trouble.  We are all in this together, we love Stoke and try to build the city up."" BBC Midlands Today spoke to community groups about the impact of the riots, which followed the fatal stabbings of three girls in Southport on 29 July.  Eight more children and two adults were also injured.  Anecdotally, they said they were aware of a rise in reports of hate crime offences, targeting Muslims in particular. The Crown Prosecution Service reported that in the year to December 2023, 12,737 hate crime offences were prosecuted, of which 9,245 were on grounds of racial abuse.  “It needs to be taken more seriously, Islamophobia is increasing since the riots”, said Shazia Nasreen, a Hate Crime Ambassador in Walsall. She said she suffered verbal abuse just days after the riots while walking past a bus stop. “A lot of people don’t have the confidence [to report it], first of all they feel it’s not a hate crime and secondly they think nothing is going to be done about it”. She credited the police for their response to the riots but said she remained anxious leaving home for work.  Her experience is helping to shape a new hate crime strategy in Walsall. She works with Black Country Innovate, a social enterprise, who have helped to form a ‘hate crime pledge’. Signed by the Leader of Walsall Council, senior police officers and multiple faith organisations, it promises an integrated approach to helping vulnerable people, who may be experiencing hate crime on grounds of race, religion, disability and sexual orientation. “To protect the vulnerable we need to build trust with authorities and victims need to see justice”, said founder Nasar Iqbal. “The fact that events occurred elsewhere but we felt an impact in Walsall is very common.  A lot of people were suffering from anxiety – people we spoke to had cancelled their travel plans and holidays as a result of the summer disorder”. After conducting research on hate crime with De Montfort University, Black Country Innovate will start free trauma coaching sessions for hate crime victims. It must be the start of a new approach, recognising that people are experiencing abuse in person and online, Mr Iqbal said. “The narratives have changed from 20 years ago.  It’s become more complicated, and more people may be impacted."" Follow BBC Stoke & Staffordshire on BBC Sounds, Facebook, X and Instagram."
BBC,https://www.bbc.com/news/articles/cly311el04go,"Hate crime rise abhorrent, Sadiq Khan says","The mayor is urging Londoners to be united against hate, as the conflict in the Middle East deepens.",1 Oct 2024,2024-10-15,Islamophobia,BBC,International,"Sadiq Khan has urged Londoners to remain united “against all forms of hate” as the conflict in the Middle East deepens. The mayor has announced a further £875,000 investment in grass-roots community projects working to tackle hate, extremism and radicalisation. The funding comes just ahead of the first anniversary of the outbreak of war in Gaza on 7 October. “We know that an escalation in conflict in the Middle East often leads to an increase in hate crime here in London,” Mr Khan said at an event bringing together organisations that work to combat hate crime and extremism. “With the appalling further escalation of the conflict in Lebanon, Israel, Gaza and the region, I’m appealing to Londoners to continue to look out for their friends and neighbours, whatever their faith and backgrounds, and stand united against all forms of hate. “We have seen an abhorrent and completely unacceptable rise in hate crime over the last year – particularly antisemitism and Islamophobia – which has profoundly impacted our Jewish and Muslim communities in London. ""I’m determined to continue to work in partnership with community, faith and police leaders to ensure everyone in the capital feels safe and is safe.” The Met Police recorded a 286% rise in antisemitic hate crime from September 2023 to August, compared to the same period in the 12 months before, and a 67% increase in anti-Muslim hate crime. The need for early intervention to prevent radicalisation was highlighted earlier this month, when Home Office data revealed that a record number of children were arrested as terror suspects in the year to June. Police detained 242 people on suspicion of terror offences during the 12-month period, of whom 40 were aged 17 or under.  According to City Hall, the £875,000 investment will support 20 groups, among them the Anne Frank Trust UK, to deliver workshops that challenge anti-Jewish and anti-Muslim hate. Another recipient of funding is Exit Hate, which works with people aged 14-18 to help them understand the dangers posed by extreme ideologies. The latest funding package forms part of the mayor’s Shared Endeavour Fund, and is expected to benefit about 50,000 Londoners. Met Police Assistant Commissioner Matt Twist said: “Our work, which is underpinned by engagement with community representatives and with our key partners, will continue.  ""Together, we are determined to demonstrate that there will be no tolerance for hate crime in London.” Listen to the best of BBC Radio London on Sounds and follow BBC London on Facebook, X and Instagram. Send your story ideas to hello.bbclondon@bbc.co.uk"
BBC,https://www.bbc.com/news/articles/cjd52kjdz00o,Community's 'restrained' response to riots praised,"Burnley Council leader thanks residents for rejecting ""hate and Islamophobia""",27 Sep 2024,2024-10-15,Islamophobia,BBC,International,"People in Burnley have been praised for rejecting ""hate and Islamophobia"" when  violence erupted across much of England this summer. Public disorder broke out in several towns and cities following the fatal stabbing of three young girls at a Taylor Swift-themed dance class in Southport, Merseyside, on 29 July. Burnley Council Leader Afrasiab Anwar said he was ""proud with how our communities came together... to send a clear message that there is no place for such racism and anarchy in our borough"". Mr Anwar said he was pleased the government had invited members of council staff to contribute to a review of the summer's events and help shape any subsequent reforms. At Wednesday's full council meeting, he said: ""The violence we witnessed across the UK last month was deeply concerning. ""Although we escaped violence locally, we witnessed a lot of fear and anxiety as well as several heinous provocations, including the desecration of Muslim graves at Burnley cemetery and the mural at Valley Street Community Centre."" Mr Anwar said he wanted to ""put on record my gratitude to all the police officers who kept us safe during those difficult times"", adding: ""Sadly, some officers were injured and I wish them a speedy recovery."" He also thanked police and council staff for keeping residents informed about what was happening and providing them with reassurance. Listen to the best of BBC Radio Lancashire on Sounds and follow BBC Lancashire on Facebook, X and Instagram. You can also send story ideas to northwest.newsonline@bbc.co.uk"
BBC,https://www.bbc.com/news/articles/c0e1q5w0q9po,Baroness Warsi quits Conservatives in the Lords,She accuses the party of “hypocrisy and double standards in its treatment of different communities”.,27 Sep 2024,2024-10-15,Islamophobia,BBC,International,"Former Conservative Party chairwoman Baroness Warsi has resigned from the party in the House of Lords, claiming it has moved to the “far right”. The peer, who was Britain's first Muslim cabinet minister during David Cameron's premiership, accused the party of “hypocrisy and double standards in its treatment of different communities”. But the Conservatives say she was about to be investigated for allegedly using ""divisive language"". “Baroness Warsi was informed an investigation was about to begin earlier this week,” a party spokesperson said.  “We have a responsibility to ensure that all complaints are investigated without prejudice.” The BBC has been told the complaints were in relation to a post about Marieha Hussain. Ms Hussain was found not guilty of a racially aggravated public order offence after holding a placard at a pro-Palestine protest depicting Conservative leader Rishi Sunak and former Home Secretary Suella Braverman as coconuts. In one post on X, Baroness Warsi congratulated Ms Hussain on her acquittal. On Thursday, after announcing her resignation, Baroness Warsi wrote: ""It was the right decision and I rightly congratulated Marieha on her acquittal. ""I was subsequently asked to delete my public support for Marieha - I refused to do so. ""That is the basis of the complaint. No other comments or language is the basis of the complaint."" She said the case was ""due to be conducted in private behind closed doors"" and so she ""felt it appropriate in the circumstances to resign my whip and look forward to dealing with these issues openly and transparently"". Her resignation comes on the eve of the Conservative Party conference in Birmingham. Baroness Warsi has previously criticised Tory leadership contenders Robert Jenrick and Kemi Badenoch. She has also been a vocal critic of the party’s approach to allegations of Islamophobia and language used by Conservative politicians, including Ms Braverman. She wrote on X: “It is with a heavy heart that I have today informed my whip and decided for now to no longer take the Conservative whip. “This is a sad day for me. I am a Conservative and remain so but sadly the current party are far removed from the party I joined and served in cabinet.” She added: “My decision is a reflection of how far right my party has moved and the hypocrisy and double standards in its treatment of different communities.” Baroness Warsi suggested she would raise some of these issues in her new book, Muslims Don’t Matter. Responding on social media, Tory leadership candidate James Cleverly said: ""'You’re not properly black if you’re a Tory' is a particularly pernicious attack. ""I’ve been called a coconut too many times to laugh it off.  ""It hasn’t held me back or brought me down, but a Conservative peer not recognising the abuse of other black colleagues is unacceptable."" After the 2010 general election, Baroness Warsi made history by becoming the first Muslim woman in the cabinet as co-chair of the Conservative Party. A former solicitor with the Crown Prosecution Service, she then served as a minister in David Cameron’s government. But she quit as the minister for faith and communities in 2014 over the government’s policy on the Israel-Gaza conflict. She has since criticised the party's inquiry into Islamophobia inquiry and called it “institutionally xenophobic and racist”. Resigning the Conservative whip means she will no longer be affiliated with the party in the House of Lords, where she has sat as a peer since 2007. The party is still choosing its next leader, with the final four candidates set to make speeches at the conference in Birmingham. An intensive round of hustings and multiple votes will follow the conference from 8 October, lasting three days, until only two candidates are left. Conservative Party members will then choose which of the final two candidates they want as the new leader, with the result announced on 2 November."
BBC,https://www.bbc.com/news/articles/c0lw0081e1yo,Sweden blames Iran for cyber-attack after Quran burnings,"Sweden's security service says 15,000 messages were sent after several Quran-burning incidents.",24 Sep 2024,2024-10-15,Islamophobia,BBC,International,"Sweden's security service Sapo has accused Iranian intelligence of hacking into a text messaging service to send 15,000 messages to Swedes. Sapo said the data breach in summer last year involved SMS messages calling for ""revenge against Quran-burners"", after several anti-Islam activists set fire to copies of the Islamic holy book. Iran's embassy in Stockholm has rejected the accusations, calling them ""baseless"" and harmful to the two countries' relations. But Sweden says investigators found a cyber group called Anzu, acting for Iran's Revolutionary Guards (IRGC), that had sought to create division in society and paint Sweden as an Islamophobic country. Sweden's government condemned the Quran burnings at the time and police tried to ban them, but they were allowed by the courts under freedom of expression laws. The incidents led to outrage in several Muslim-majority countries, and Sweden's embassy in Iraq was set alight by protesters. Last month, Swedish prosecutors charged an Iraqi activist and an accomplice with incitement against an ethnic group in connection with the book-burnings. Both men deny wrongdoing. According to a preliminary investigation led by prosecutors, the Anzu group were said to have hacked into a Swedish company's SMS-service and taken over passwords, usernames and other tools at the end of July 2023, before sending a message to private individuals on 1 August that ""those who insulted the Quran must be punished for their work"". Fredrik Hallstrom of Sapo told the Dagens Nyheter website that a number of people involved in the operation were linked to the Revolutionary Guards and that the text messages had partially succeeded in adding further fuel to the threat against Sweden. Prosecutor Mats Ljungqvist said that investigators had succeeded in identifying the Iranian hackers' identities, but that there was no way they could be extradited and their preliminary inquiry had been shelved. The security service warned that foreign powers such as Iran were seizing on opportunities to create division and bolster their own regimes. Justice Minister Gunnar Strommer said in a statement that it was very serious that a state actor such as Iran was aiming to ""destabilise Sweden or increase polarisation in our country"". This is not the first time that Sweden's security service has accused Iran's government of carrying out hostile acts on its territory. Last May Sapo said Tehran had used criminal networks in Sweden to carry out violent acts against other states, groups or individuals in Sweden that Iran considered a threat. It identified Iran, alongside Russia and China, as posing the greatest security threats to Sweden."
BBC,https://www.bbc.com/news/articles/cvglk3md4e3o,"Iran may be behind attacks on Israeli embassies, Sweden says",Blasts and gunfire were reported near the Israeli embassies in Copenhagen and Stockholm earlier this week.,3 Oct 2024,2024-10-15,Islamophobia,BBC,International,"Sweden's security service Sapo has said that Iran may have been involved in the explosions and gunfire that took place near the Israeli embassies in Stockholm and Copenhagen earlier this week. Fredrik Hallstrom of Sapo said that choice of targets and methods pointed in the direction of Iran, but added this was an “assumption rather than pure knowledge”. On Monday evening, shots were fired at the Israeli embassy in Stockholm. Nobody was injured. Two explosions were then reported near the Israeli embassy in central Copenhagen in the early hours of Wednesday.  Two Swedish teenagers aged 16 and 19 were arrested at the Copenhagen train station later that afternoon. One of them had reportedly bought tickets to Amsterdam. On Thursday, the two were charged with possessing hand grenades and denotating them near the embassy.  They have pleaded not guilty and have been remanded in custody until 30 October. A third Swedish national who was arrested near the embassy was later released. Danish police have not confirmed whether the Israeli embassy was the target of the explosions. There are other embassies close to the road junction were the blasts were heard. This is not the first time that incidents of this kind take place near Israeli embassies in a Nordic capital. In January, a ""dangerous object"" was found outside the Israeli embassy in Stockholm and destroyed in what the Israeli ambassador called an ""attempted attack"". At the time, Swedish Prime Minister Ulf Kristersson said the situation was ""very serious"" and promised to tighten the surveillance of the embassy and of Jewish institutions. And in May, gunshots were heard around the same embassy. A number of teenagers were investigated in connection with the shooting, although several were later released. After that incident, Sapo warned that the Iranian government was recruiting Swedish gang members to carry out violent acts against other groups and individuals in Sweden. Last month, Sapo also accused Iranian intelligence of hacking into a text messaging service to send 15,000 messages to Swedes aimed at creating divisions in society and painting Sweden as an Islamophobic country.  The messages were sent around the time that Swedish anti-Islam activists set fire to copies of the Islamic holy book. Iran's embassy in Stockholm rejected the accusations, calling them ""baseless"" and harmful to the two countries' relations."
BBC,https://www.bbc.com/news/articles/ced0vp2z38jo,Ex-minister suggests Welsh Tory leader should go,Ex-Welsh secretary says his party in the Senedd needs a refresh and suggests its leader should go.,30 Sep 2024,2024-10-15,Islamophobia,BBC,International,"A Conservative former cabinet minister has cast doubt on whether Andrew RT Davies should lead the Tories into the next Senedd election. Stephen Crabb warned that the 2026 vote would be ""tough"" for the party, and that it ""probably"" needed a leadership ""refresh"". ""If the party needs to change in order to survive, it's harder to do that when you always have the same personalities in place,"" said Crabb, who was in the cabinet as Welsh secretary and also work and pensions secretary. The Senedd Tory leader rejected Crabb's comments, saying he was ""up for the fight in 2026"". Davies is currently on his second stint as leader of the Welsh Conservatives in the Senedd: his first ran from 2012 to 2018, and he returned in 2021. He has been under pressure in recent months after he was accused of ""Islamophobic race-baiting"" by a Muslim group, and over inappropriate language from one of his politicians. Speaking to James Williams on BBC Radio Wales Breakfast, Crabb warned that the Conservatives were not well positioned for the next Senedd election in 2026. ""I think it's going to be a tough Senedd election. Reform will be looking to build on the gains they've made electorally... there was an awful lot of people voting for Reform in July."" He said the party had not been ""good enough at providing alternative policies"". Asked if Davies was the right leader for the next Senedd election, Crabb said: ""I don't like making it about personalities."" But he added: ""If you're asking me do I think there needs to be refresh of the Welsh party and the Welsh leadership, probably yes. ""If the party needs to change in order to survive, it's harder to do that when you always have the same personalities in place."" He ruled himself out of standing in the 2026 Senedd election: ""I spent the last couple of months pursuing other options. ""I think to do that, you've got to do it with a single mind and not with one foot stuck in the past."" Andrew RT Davies told BBC Wales he is still the right person to lead the Welsh Conservatives into the next Senedd election. He refuted Stephen Crabb’s comments and said he was “up for the fight in 2026”. Asked if he was the right man for the election, he said: “Very much so. I’m up for making that change agenda resonating in communities across the whole of Wales.” He added: “I never need to look over my shoulder because I’ve got a mirror to look in all the time [to see] whose behind me. “Because politics is always about making sure that no one gets too close to you, otherwise the knife might go in.” One former MP said it was ""not a time for further turmoil and infighting"" in the party. Asked if she agreed with the suggestion from former Welsh Secretary Stephen Crabb that Andrew RT Davies should go, the former Tory MP for Wrexham Sarah Atherton said: ""We need to prove to the country that we are unified and cohesive going forward."" The Welsh Conservatives' Senedd group chairman, Sam Kurtz, said he and the Senedd group had ""full confidence"" in Davies. ""I think we're working tirelessly to come forward with a plethora of policies that will be attractive to all voters in Wales in 2026,"" the Member of the Senedd for Carmarthen West and South Pembrokeshire added. The discussion comes after former Downing Street PR chief Guto Harri said the Conservatives in the Senedd needed ""new leadership"" . He said they were not just ""there to draw a pay cheque"". Crabb was MP for Preseli Pembrokeshire until the summer general election, when he lost his seat, as did all other Welsh Conservatives. He had served as chairman of the Commons' Welsh Affairs Select Committee, and in frontbench roles under David Cameron and Theresa May. The former MP spoke as his party met in Birmingham for its annual UK party conference, amid a leadership contest to replace former Prime Minister Rishi Sunak. Crabb said it had been clear the party was going to suffer a ""massive defeat  in July"" because of a ""huge loss of trust in the Conservative government"". He hoped the next Tory leader would ""occupy the centre ground"". ""Culture wars, the war on woke,"" he said, ""isn't the thing that's going to persuade somebody languishing on a hospital waiting list that they'll see public services improve."" Separately on Monday, UK Tory leadership contender Tom Tugendhat promised that he would include a Conservative Senedd member in his shadow cabinet, alongside others from the Scottish Parliament and councils in England, if he was to win."
BBC,https://www.bbc.com/news/articles/c9wkxv9d99vo,Antisemitic incidents in US surge to record high - report,"The Anti-Defamation League identified 10,000 antisemitic incidents in the year after the 7 October attacks.",7 Oct 2024,2024-10-15,Islamophobia,BBC,International,"Reports of antisemitic incidents in the US have reached a record high since last year's Hamas attack in Israel, according to a preliminary report from the Anti-Defamation League Center for Extremism (ADL). The group found more than 10,000 incidents from 7 October 2023 to 24 September of this year, more than a 200% increase compared to the same period a year earlier.  It is the highest ever since the ADL began tracking such incidents in 1979.  The report comes just days after the FBI and Department of Homeland Security issued a joint statement warning of possible violent threats amid the ongoing turmoil in the Middle East.  Since last October’s Hamas attack on Israel which saw around 1,200 people killed ""Jewish Americans haven’t had a single moment of respite,” ADL CEO Jonathan Greenblatt said in a statement.  “Instead, we’ve faced a shocking number of antisemitic threats and experienced calls for more violence against Israelis and Jews everywhere.” The more than 10,000 episodes of antisemitism reported by the ADL included roughly 8,015 incidents of verbal or written harassment, 1,840 incidents of vandalism and 150 incidents of physical assault. The states with the highest number of recorded cases in the report were California, with 1,266 incidents, New York with 1,218, New Jersey with 830, and Florida with 463.  The ADL said that it expected its preliminary numbers to increase as it receives more data. The final report for 2024 will be published in the spring of 2025. Part of the overall increase comes from a change in methodology to include ""expressions of opposition to Zionism, as well as support for resistance against Israel or Zionists that could be perceived as supporting terrorism"", the ADL said.  The ADL's preliminary report tallied more than 3,000 of incidents that took place during anti-Israel rallies ""which featured regular explicit expressions of support for terrorist groups"", including Hamas and Hezbollah.  Excluding these incidents, the ADL counted 7,523 episodes of antisemitism, a 103% increase from 2022.  Following the 7 October attack, Israel launched a massive military operation in the Gaza Strip with the stated aim of eliminating Hamas.  Since then, 41,870 Palestinians have been killed and more than 97,000 injured in Gaza, most of them women and children, the Hamas-run health ministry says.  The war inspired a wave of demonstrations across the US, particularly at college campuses, with many protesting against the growing humanitarian toll.  In Lebanon, more than 1,000 people have been killed while up to a million people may have been displaced since Israel launched its attack against Iran-backed Hezbollah.  The continued violence in the region has led to a surge in anti-Muslim and Islamophobic incidents as well across the US.  Anti-Muslim incidents reached 8,061 in 2023, according to a report from the Council on American-Islamic Relations (CAIR) released in April. The report marked the highest level since CAIR began tallying nearly 30 years ago, with nearly half coming after the 7 October attack."
BBC,https://www.bbc.com/news/articles/cgj47p4lnepo,ITV says Balls interview with wife Cooper was fair,"Ofcom will not investigate 16,000 complaints made about a Good Morning Britain episode in August.",18 Sep 2024,2024-10-15,Islamophobia,BBC,International,"ITV's chief executive has defended Ed Balls' interview with his wife, Home Secretary Yvette Cooper, on Good Morning Britain - but said they would not do it again. Dame Carolyn McCall was speaking after media regulator Ofcom announced it will not investigate more than 16,000 complaints about an episode of the ITV breakfast show on 5 August. That morning, Balls and co-host Kate Garraway interviewed Cooper about the government's response to violent unrest in parts of the UK. ""It was a very, very tricky morning, there was a national emergency almost being called, and so we got very short notice that the home secretary was coming on the show,"" Dame Carolyn said. ""She was doing a whole round [of interviews], but it was unexpected, and we believe that it was fair and impartial,"" she told the Royal Television Society London Conference on Tuesday. ""And actually Ofcom just ruled, but amazingly no-one has picked up on the fact, that Ofcom are not pursuing these complaints, because they believe it's fair, balanced and impartial. ""So would we do it again? No. Was it impartial, fair and balanced? And did they behave professionally? Yes. ""I mean, he asked her a few questions, but I think Kate was leading on that wasn't she? And so I do think you've just got to say, if Ofcom have looked at it and they're not pursuing this any further because they thought it was fair balanced and impartial, you know, that's it."" Balls, a former Labour minister, is now a regular GMB presenter; Cooper, his wife, was appointed home secretary following the general election in July. They have been married since 1998. Ofcom said it carefully considered the complaints of a conflict of interest. But a spokesperson said: ""Taking into account that their relationship was made clear twice, that a range of views about Labour's handling of the riots were included in the programme as a whole, and given the vast majority of the interview was conducted by co-presenter, Kate Garraway, we will not be pursuing further."" Ofcom added that it had issued guidance warning ITV to ""take particular care over the compliance of such interviews in future to ensure due impartiality"". Some of the complaints about the episode related to how Balls and Garraway questioned Coventry South MP Zarah Sultana in a separate interview. In response, Ofcom said: ""In our view, Ms Sultana was given ample opportunity to express her views and respond to the questions put to her, while we consider the robust line of questioning would be consistent with regular viewers' expectations of interviews with political figures on this programme."" In the item, Sultana, who previously sat as a Labour MP before she had the whip suspended in July, said the government should describe the riots as Islamophobic as well as racist, and challenged Balls on an article he had previously written about immigration. Writing afterwards on X, she said: ""The sneering contempt of 'journalists' will never stop me from calling out racism and Islamophobic hate."""
