Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
BBC,https://www.bbc.com/news/articles/c9qve471ydqo,Two men deny spying for China,Christopher Berry and former parliamentary researcher Christopher Cash appeared at the Old Bailey on Friday.,4 Oct 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/cn8jz39xl19o,China hits back at EU with brandy tax,The tax on brandy imports is being seen by critics as a retaliatory move for recent EU tariffs on Chinese-made electric cars.,7 days ago,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/cqjrplrvpvpo,China detains iPhone maker workers in 'strange' case,"The Taiwanese government suggested the detentions may be a case of ""abuse of power"" by Chinese police.",4 days ago,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/cvgd4yn45qlo,China 'punishes' Taiwan president remarks with new drills,Beijing says the exercise involved all parts of the military and simulates a full-scale attack on its neighbour.,19 hrs ago,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/c8elgd52x4wo,China stock rally fizzles as stimulus news disappoints,Shares fell back after a news conference by economic planners gave little in the way of details.,7 days ago,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/sport/tennis/articles/c1jd97g25z8o,Gauff fights back to reach China Open final,Fourth seed Coco Gauff comes from a set and a break down to beat Paula Badosa and reach her first China Open final.,5 Oct 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/sport/tennis/articles/c8ely9n1e61o,Gauff overcomes setback to reach China Open semis,Coco Gauff fought back from a set down to beat Yuliia Starodubtseva.,3 Oct 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/sport/tennis/articles/ce8v6560lnro,Alcaraz beats Sinner in dramatic China Open final,Carlos Alcaraz comes from a set down to edge out world number one Jannik Sinner in a dramatic China Open final.,2 Oct 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/sport/tennis/articles/c2kdnvnz0qpo,Gauff through after Osaka withdraws at China Open,Fourth seed Coco Gauff is through to the quarter-finals of the China Open after Japan's Naomi Osaka is forced to retire injured in their last-16 match.,1 Oct 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/sport/tennis/articles/c2lngkzl8yyo,Gauff beats Muchova in China for eighth WTA title,American fourth seed Coco Gauff beats Karolina Muchova 6-1 6-3 in the China Open final to claim her eighth WTA title.,6 Oct 2024,2024-10-15,China News,-,China,-
