Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
TRT World,https://www.trtworld.com/turkiye/turkey-will-not-turn-its-back-on-palestinian-cause-erdogan-12713807,Turkey will not 'turn its back' on Palestinian cause – Erdogan,President Recep Tayyip Erdogan made the statement in his meeting with the visiting Palestinian members of the Israeli parliament in Istanbul.,6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/turkiye/turkey-condemns-israels-shutting-down-of-hebron-observers-12713818,Turkey condemns Israel's shutting down of Hebron observers,"Turkey's Foreign Ministry ""decisively"" rejected Israel's claims that the group was working against Israel and accused Israel of using these claims as rationalisation for its decision.",6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/middle-east/israeli-fire-wounds-32-palestinians-gaza-health-ministry-12713826,Israeli fire wounds 32 Palestinians - Gaza health ministry,"The Palestinians were shot during protests along the border, but none were reported to be in a life-threatening condition, Gaza ministry spokesman Ashraf al Qudra said.",6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/middle-east/israel-accuses-amnesty-of-anti-semitism-over-palestine-report-12713857,Israel accuses Amnesty of anti-Semitism over Palestine report,"Amnesty International’s recent report, entitled Destination: Occupation has riled an Israeli minister, who accused the organisation of having become “a leader in the anti-Semitic BDS campaign”.",6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/middle-east/british-creatives-urge-bbc-to-oppose-israel-hosting-eurovision-12713872,British creatives urge BBC to oppose Israel hosting Eurovision,"A 50-strong coalition of Britain's creative industries says the broadcaster should ""act on its principles"" and call for the annual competition to be moved over Israel's ""systematic violation of Palestinian human rights.""",6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/opinion/even-in-peace-a-war-of-wits-continues-between-israel-and-hamas-12713878,"Even in peace, a war of wits continues between Israel and Hamas",Israeli attempts to gather intelligence and recruit informants in Gaza is a constant challenge for Hamas and vulnerable Palestinians.,6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/opinion/palestinians-arent-spared-the-horrors-of-occupation-for-the-sake-of-sport-12713900,Palestinians aren't spared the horrors of occupation for the sake of sport,Malaysia has been stripped of holding a sporting event because it would not allow Israel to participate in the competition. Is the decision fair - and is Israel held to the same standard?,6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/magazine/saudis-and-emiratis-foiled-arab-spring-dreams-tunisias-ex-president-12713902,Saudis and Emiratis foiled Arab Spring dreams – Tunisia's ex-president,Moncef Marzouki tells TRT World that the Saudi and UAE governments coordinated with Israel to counter the uprisings that swept the region eight years ago.,6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/business/intel-to-expand-operations-in-israel-12713913,Intel to expand operations in Israel,"The Silicon Valley giant informed the government of its decision to invest $10 billion in a new plant, Israel's finance ministry says. Intel currently employs 11,700 people in its Kiryat Gat site.",6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/middle-east/israel-blocks-qatari-aid-funds-to-gaza-after-fence-flare-up-12714055,Israel blocks Qatari aid funds to Gaza after fence flare-up,"Israeli PM Benjamin Netanyahu obstructs millions in Qatari payment after a skirmish wounded one Israeli soldier and killed one Hamas member, breaking an informal truce between blockaded Gaza and Israel.",6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/middle-east/israeli-troops-killed-290-palestinians-in-2018-report-12714168,Israeli troops killed 290 Palestinians in 2018 – report,"A tally by Israeli human rights group B'Tselem says 254 Palestinians were killed in Gaza and 34 others in the West Bank, and most had been ""unarmed [at the time of their death] and posed no danger to anyone.""",6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/opinion/israel-and-hamas-agree-on-one-thing-mahmoud-abbas-12714244,Israel and Hamas agree on one thing: Mahmoud Abbas,An Israeli minister's comments seeking to exile Abbas and blaming him for unrest in Gaza is an indication that not only is Hamas fed up with Mahmoud Abbas - but Israeli leadership is fast losing any trust it had in him.,6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/middle-east/arab-intelligence-meets-with-mossad-to-restore-assad-and-counter-turkey-12714741,Arab intelligence meets with Mossad to restore Assad and counter Turkey,A 'secret' meeting with Israeli intelligence to normalise ties with Bashar al-Assad to undermine Turkish regional influence and enhance ties with Israel - is this just the tip of the iceberg?,6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/middle-east/israeli-ex-minister-pleads-guilty-to-spying-for-iran-12714754,Israeli ex-minister pleads guilty to spying for Iran,"Gonen Segev, energy minister from 1995 to 1996, made contact with Iranian officials at the Iranian embassy in Nigeria in 2012 and he also visited Iran twice for meetings with his handlers.",6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/opinion/israels-stranglehold-over-us-civil-and-political-life-12714793,Israel's stranglehold over US civil and political life,Subservience to Israeli interests is stifling Americans' freedom of speech. For a country that proclaims to deeply value individual freedoms - how has it reached this point?,6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
TRT World,https://www.trtworld.com/middle-east/jewish-teens-who-killed-palestinian-mother-finally-arrested-12714823,Jewish teens who killed Palestinian mother finally arrested,"Israel's domestic intelligence agency Shin Bet, said the teens ""are suspected of grave terrorist offences including murder.""",6 YEARS AGO,2024-10-13 17:18:05.960069,Israel War,-,Middle East,-
