Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
TRT World,https://www.trtworld.com/turkiye/turkish-students-found-dead-in-ukraine-building-12714875,Turkish students found dead in Ukraine building,"Bodies of two women, aged 20 and 22, were found in their rented apartment in northeastern Kharkiv city, media report.",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,TRT World,Ukraine,"Bodies of two women, aged 20 and 22, were found in their rented apartment in northeastern Kharkiv city, media report. The Ukrainian media said the two women were medical students at the National University of Kharkiv. Two Turkish students in Ukraine were found dead in their apartment in the northeast city of Kharkiv, Turkish and Ukrainian media reported on Thursday. The women, aged 20 and 22, couldn't be contacted by their friends for three days, Daily Sabah reported, adding police found their bodies in their rented apartment. Police have launched a probe into the suspected murder. The Ukrainian media said the two women were medical students at the National University of Kharkiv."
TRT World,https://www.trtworld.com/europe/putin-says-no-talks-with-ukraine-about-release-of-sailors-12711742,Putin says no talks with Ukraine about release of sailors,Russia is resisting international calls to release three Ukrainian naval ships that its border patrols fired upon and seized in the strait near Russian-annexed Crimea last weekend.,6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,TRT World,Ukraine,"Russia is resisting international calls to release three Ukrainian naval ships that its border patrols fired upon and seized in the strait near Russian-annexed Crimea last weekend. Russia's President Vladimir Putin arrives for a meeting with Argentina's President Mauricio Macri at the Casa Rosada Presidential Palace in Buenos Aires, Argentina December 1, 2018. Russian President Vladimir
Putin said on Saturday there had been no discussion with Ukraine
about the possible release of the Ukrainian sailors who were
seized along with their ships by Russia last month. Putin spoke with reporters on the sidelines of a G20 summit
in Buenos Aires.  Russia is resisting international calls to
release three Ukrainian naval ships that its border patrols
fired upon and seized in the strait near Russian-annexed Crimea
last weekend. Moscow accused the 24 sailors of illegally crossing the
Russian border. Ukrainian President Petro Poroshenko said on Saturday his country had stepped up security at vital infrastructure sites such as nuclear power stations and Black Sea ports in the face of what he called a Russian test of the world order. ""(Russia) has deployed land forces of around 80,000 Russian troops, about 1,400 artillery and missile systems, 900 tanks, 2,300 armoured vehicles, about 500 planes and 300 helicopters,"" Poroshenko wrote on Twitter. Putin said he would not introduce tit-for-tat restrictions
on the entry of Ukrainians into Russia after Kiev imposed a ban on Russian males aged 16 to 60 from entering its territory. After US President Donald Trump canceled a planned meeting
with Putin at the G20 summit, citing the military tensions with
Ukraine, the Russian leader said there were no pre-conditions
for future bilateral talks. ""It is regrettable that we can't succeed in holding a
full-scale meeting, which is long due,"" Putin said, adding that
issues of strategic stability would be of paramount importance. Putin and Trump had a brief meeting on the sidelines of the
G20 summit on Friday, Kremlin aide Yuri Ushakov said. Trump's administration has accused Russia of non-compliance
with the 31-year-old Intermediate-Range Nuclear Forces (INF)
treaty and has said it will pull out of the deal as a result.
The Kremlin denies violating the pact. ""This is related to the issues of strategic stability,
especially after the president declared his desire to withdraw
from the INF missile treaty,"" Putin added."
TRT World,https://www.trtworld.com/europe/ukraine-calls-up-reservists-amid-tensions-with-russia-12711762,Ukraine calls up reservists amid tensions with Russia,"Kremlin dismisses Ukrainian leader's statement that the country needs to beef up its defenses to counter the threat of a Russian invasion, as an ""absurd"" attempt to inflame tensions.",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,TRT World,Ukraine,"Page Not Found Unfortunately, we couldn't find what you are looking for. You will be redirected to the home page in 10 seconds."
TRT World,https://www.trtworld.com/europe/ukraines-orthodox-bishops-establish-new-church-12712452,Ukraine's Orthodox bishops establish new church,Ukrainian Orthodox leaders say they have approved the creation of a unified church independent of the Moscow Patriarchate and elected a leader to head the new church.,6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,TRT World,Ukraine,"Ukrainian Orthodox leaders say they have approved the creation of a unified church independent of the Moscow Patriarchate and elected a leader to head the new church. Ukrainian believers gather at the front of the Saint Sophia's Cathedral during church council to convene to create an independent Ukrainian Orthodox church in Kiev, Ukraine on December 15, 2018. Ukraine chose the leader of a new national church on Saturday, marking an historic split from Russia which its leaders see as vital to the country's security and independence. Ukrainian President Petro Poroshenko said Metropolitan Epifaniy, of the Kiev Patriarchate church, had been chosen as head of the new church. ""This day will go into history as a sacred day ... the day of the final independence from Russia,"" Poroshenko told thousands of supporters, who shouted ""glory, glory, glory"". Split from Russia Relations between Ukraine and Russia collapsed following Moscow's seizure of Crimea in 2014. Ukraine imposed martial law in November, citing the threat of a full-scale invasion after Russia captured three of its vessels in the Kerch Strait. The Ukrainian Orthodox church has been beholden to Moscow for hundreds of years, and Ukraine's leaders see church independence as vital to tackling Russian meddling. Kiev says Moscow-backed churches on its soil are a Kremlin tool to spread propaganda and support fighters in the Donbass region in a conflict that has killed more than 10,000 people. The churches strongly deny this. New church leader The leader of the new church was chosen by a council that met at the St Sophia Cathedral in Kiev, built by the son of Prince Volodymyr whose baptism in 988 led to the spread of Christianity in the region. ""The question of autocephaly is a question of Ukrainian national security,"" Poroshenko had told the council earlier. ""This is a question of Ukrainian statehood. We acquire spiritual independence, which can be compared to the achievement of political independence. Break off the shackles, which bind us to the empire."" "
TRT World,https://www.trtworld.com/business/imf-approves-dollar39b-credit-line-for-ukraine-releases-dollar14b-immediately-12712534,"IMF approves $3.9B credit line for Ukraine, releases $1.4B immediately","A $3.9 billion stand-by aid agreement for Ukraine has been approved by the IMF, ahead of a turbulent election period. The World Bank has also announced a $750 billion loan guarantee.",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,TRT World,Ukraine,"A $3.9 billion stand-by aid agreement for Ukraine has been approved by the IMF, ahead of a turbulent election period. The World Bank has also announced a $750 billion loan guarantee. File photo of the Managing Director of the International Monetary Fund (IMF) Christine Lagarde talking to Ukrainian President Petro Poroshenko during their meeting at the IMF headquarters in Washington, US, June 20, 2017 The International Monetary Fund approved a new $3.9 billion stand-by aid agreement for Ukraine on Tuesday, intended to help the country maintain stability and the trust of investors as it heads into a choppy election period. The Finance Ministry said a first tranche of $1.4 billion should arrive by Dec. 25, and decisions on the next two tranches would come in May and November next year. Separately, the World Bank on Tuesday announced a $750 billion loan guarantee to help Ukraine raise an estimated $1 billion in debt on international markets. IMF aid had effectively been frozen since April 2017 due to Ukraine's stop-start efforts to implement reforms and tackle corruption as required by the IMF and other donors. The government reluctantly raised household gas tariffs in October, a potential vote-loser that was seized on by the opposition. Ukraine holds what are likely to be tight presidential and parliamentary elections next year, while fighting a conflict in eastern Ukraine that has killed more than 10,000 people since 2014. The authorities imposed martial law in some parts of the country in November, citing the threat of a Russian invasion. The new IMF agreement spans 14 months and replaces a $17.5 billion programme that has propped up Ukraine since it plunged into turmoil following the 2014 Crimea annexation. ""The Fund's decision stands as an important display of recognition of our undeniable progress in macroeconomic stabilisation and confirmation of success in reforms,"" Ukrainian President Petro Poroshenko said. The IMF said the programme would focus on four priorities, including fiscal consolidation, reducing inflation, strengthening the financial sector and pushing reforms. The prospect of securing more IMF loans has allowed the government, which must service a rising debt burden next year, to go to the market to issue new debt, and paved the way for the European Union and other foreign donors also to disburse aid. The World Bank approved a loan guarantee geared at pushing reforms and tackling corruption. ""Overall, the reform programme ... addresses structural bottlenecks and sends a signal to investors about Ukraine's ability to sustain reforms and address macroeconomic vulnerabilities ahead of the 2019 elections,"" said Satu Kahkonen, World Bank Country Director for Ukraine."
TRT World,https://www.trtworld.com/opinion/its-been-five-years-since-russia-annexed-crimea-12715248,It's been five years since Russia annexed Crimea,It is in everyone’s interest that Ukraine remains independent and sovereign and maintains the ability to choose its destiny without outside interference.,6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,TRT World,Ukraine,"Page Not Found Unfortunately, we couldn't find what you are looking for. You will be redirected to the home page in 10 seconds."
TRT World,https://www.trtworld.com/europe/kiev-and-west-slam-elections-in-separatist-ruled-ukraine-cities-12710453,Kiev and West slam elections in separatist-ruled Ukraine cities,"US embassy in Kiev calls on residents of two self-proclaimed republics Donetsk and Lugansk to boycott ""the elections which are not in line with either the Minsk agreements or Ukrainian law.""",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,TRT World,Ukraine,"US embassy in Kiev calls on residents of two self-proclaimed republics Donetsk and Lugansk to boycott ""the elections which are not in line with either the Minsk agreements or Ukrainian law."" A pro-Russian separatist stands guard during the self-proclaimed Donetsk People's Republic leadership and local parliamentary elections at a polling station in the settlement of Telmanovo, south from Donetsk on November 2, 2014. Russian-backed separatists in eastern Ukraine are set to hold elections in two self-proclaimed republics on Sunday, in an apparent bid to cement their split from the rest of the country. The elections in the Donetsk and Lugansk ""People's Republics,"" which have been outside of Kiev's control since 2014, have been strongly condemned by Kiev and the West. Kiev called on residents of eastern Ukraine to boycott the polls. While Ukraine takes positive steps to promote peace, Russia is stoking conflict by staging sham “elections.” Residents of eastern Ukraine should boycott these “elections,” which are not in line with either the Minsk agreements or Ukrainian law. 'Illegitimate election' Brussels earlier said the so-called presidential and parliamentary polls were contrary to a 2015 agreement aimed at settling the conflict. ""We expect Russia in particular to make full use of its influence on the separatists in this regard,"" the EU said in a statement in September. Eight European countries also condemned the ""illegitimate"" elections in a declaration at the United Nations last month, urging Russia to prevent them from going ahead. But Moscow has rejected the appeals, insisting the vote has ""nothing to do"" with the 2015 Minsk peace accord. 'Power vacuum' Residents of the region decided unilaterally to hold the elections, Russian foreign ministry spokeswoman Maria Zakharova said in October. She said people there were living with ""permanent threats of the use of force by Ukrainian authorities."" ""The November 11 elections are dictated by the need to fill the power vacuum after the death of Alexander Zakharchenko,"" she said, referring to a separatist leader who was killed in a bombing at a Donetsk cafe in August. Denis Pushilin, a former negotiator with Kiev, is now acting leader of the self-proclaimed Donetsk republic. Meanwhile, Leonid Pasechnik, the 48-year-old former regional chief of the Ukrainian security service, is acting leader of the neighbouring republic of Lugansk, also unrecognised internationally. ""Moscow has decided that the legitimisation of new leaders outweighs criticism by the West,"" Alexei Makarkin of the Moscow-based Center for Political Technologies said. Separatists strengthen grip? The conflict between Ukrainian government forces and the separatists broke out in April 2014, shortly after Russia's annexation of the Crimean peninsula, and has since claimed more than 10,000 lives. Ukraine and the West accuse Moscow of militarily supporting separatists, claims that Russia denies despite overwhelming evidence. The polls are also a way for the separatists to strengthen their grip on nearly three percent of the Ukrainian mainland, political analyst Volodymyr Fesenko said. ""If the elections were postponed, one could imagine these territories could come back under the control of the Ukrainian authorities one day,"" but that is far from being the case, Ukraine-based Fesenko said.  Russia behind election campaign  While several candidates are running in each of the two regions, the current acting leaders are almost certain to prevail. Pushilin was last month received in Moscow by President Vladimir Putin's influential advisor Vladislav Surkov, a Kremlin negotiator on Ukraine, Russian media reported. ""Moscow does not even bother to conceal that it is behind the election campaign in Donbass and that its winner is determined in advance,"" the Moscow-based Carnegie centre said in a note. ""Zakharchenko was not a totally independent figure, but Pushilin is being controlled even more"" by the Kremlin, it added. Unlike his predecessor, who was known for his belligerent remarks and loved strutting in camouflage uniform, Pushilin wears a formal suit in public rather than military attire. His election posters in Donetsk promise ""a peaceful republic for peaceful citizens."" Other posters encourage residents to vote for a region ""with a Russian heart,"" though the campaign has largely focused on social rather than military issues. The last separatist elections were held in late 2014 despite protests from the West and Kiev, which did not recognise their results."
TRT World,https://www.trtworld.com/europe/ukraine-separatists-hold-polls-in-defiance-of-west-12710483,Ukraine separatists hold polls in defiance of West,"EU foreign policy chief Federica Mogherini says the bloc considered the polls in Donetsk and Lugansk to be ""illegal and illegitimate and will not recognise them.""",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,TRT World,Ukraine,"EU foreign policy chief Federica Mogherini says the bloc considered the polls in Donetsk and Lugansk to be ""illegal and illegitimate and will not recognise them."" A man rides a bicycle past the campaign board of Leonid Pasechnik, acting head of the self-proclaimed separatist Luhansk People's Republic (LNR), ahead of the upcoming vote for a new leader in Lugansk, Ukraine on November 9, 2018. Kremlin-backed separatists in eastern Ukraine on Sunday hold elections after the assassination of a top rebel leader despite Western calls on Moscow not to sabotage peace talks. Washington and Brussels say the polls in the Donetsk and Lugansk ""People's Republics"" in Ukraine's industrial east will further hamper efforts to end a conflict that has killed more than 10,000 people since 2014. EU foreign policy chief Federica Mogherini said on Saturday the bloc considered polls ""illegal and illegitimate and will not recognise them."" ""These particular elections are a mockery,"" added the US special envoy to Ukraine, Kurt Volker. ""It is something that we call on Russia to halt and not go forward with,"" he said this week, adding the vote contradicted Western-brokered peace agreements. The Kremlin has rejected the appeals, saying the vote has ""nothing to do"" with the accords. Moscow says the elections are necessary to fill the power vacuum after the leader of the Donetsk republic Alexander Zakharchenko was killed in a bombing at a Donetsk café in August. ""People simply need to live, get on with their lives and ensure order in the region under a blockade and permanent threats of the use of force by Ukrainian authorities,"" said Russian foreign ministry spokeswoman Maria Zakharova. In 2014, Russia annexed Crimea and supported the outbreak of an insurgency in eastern Ukraine in what Kiev sees as punishment for its pivot to the West. While heavy fighting is over, the simmering conflict regularly claims the lives of soldiers and civilians. But negotiations are deadlocked and Western-backed peace accords agreed in 2015 are largely moribund. 'Hope has died' After Zakharchenko's killing Denis Pushilin, a 37-year-old former operator of the notorious Russian Ponzi scheme MMM, has become acting leader of the Donetsk republic and is expected to win polls there. Leonid Pasechnik, the 48-year-old former regional chief of the Ukrainian security service and acting leader of the neighbouring republic of Lugansk, is also expected to sail to victory. Both have promised to seek tighter ties with Moscow. Election posters around Donetsk urged people to vote ""with Russia in your heart."" But some locals say they have been disheartened, adding their opinions did not matter. ""Two global masters - the United States and Russia - are dividing territories,"" said Yury, a 50-year-old Donetsk resident, declining to release his surname. ""Hope has died, as they say,"" he told AFP. Lydia Bondar, a 76-year-old pensioner, said she was a fan of Zakharchenko and would vote for his successor Pushilin. Many analysts say the polls are a way for Moscow to strengthen its grip on around three percent of Ukrainian territory where around 3.7 million people live. Compared to Zakharchenko, Pushilin is considered by many observers to be a more convenient figure for Moscow. 'Ponzi scheme president' The first results of the polls are expected on Monday. The last separatist elections were held in 2014 despite protests from the West and Kiev, which did not recognise their results. Some pro-Kiev residents said they would not vote. ""This is ridiculous,"" said 34-year-old Tatyana, refusing to give her last name for fear of reprisals. ""The man who was involved in Ponzi schemes has been chosen to be our president. I am not going to vote, I would rather spend the day with my child."" Kiev's Western backers say that in order to help settle the bloodiest European conflict since the Balkans in the 1990s Russia should withdraw troops from eastern Ukraine and agree to a UN peacekeeping mission there. The Kremlin has denied funnelling troops and arms across the border."
TRT World,https://www.trtworld.com/europe/ukraine-separatists-elect-leaders-in-defiance-of-west-12710499,Ukraine separatists elect leaders in defiance of West,Kremlin-backed separatists choose their new leaders despite Western calls on Moscow not to sabotage peace talks.,6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,TRT World,Ukraine,"Kremlin-backed separatists choose their new leaders despite Western calls on Moscow not to sabotage peace talks. The election commission members count ballots at polling station in Donetsk, in the rebel-held area of eastern Ukraine on November 11, 2018. Separatist leaders in Russian-backed areas of eastern Ukraine on Monday looked set for an expected victory according to preliminary results in polls condemned as illegal by Kiev and Western countries. Elections in the Donetsk and Lugansk ""People's Republics"", controlled by separatists since breaking away from Ukraine's pro-Western government in 2014, took place after the killing of the rebel Donetsk ""president"" in a bomb attack in August. Security was tight with gun-toting, camouflage-clad guards deployed to ensure order. ""Today we have proved to the world that we can not only fight, not only win on the battlefield but also build a state based on real democratic principles,"" Denis Pushilin, the 37-year-old acting Donetsk leader who is expected to win, told a crowd during a concert at the main square. In partial results that matched expectations, Pushilin and Leonid Pasechnik, the acting Lugansk leader, were largely ahead with 57 percent and 70 percent respectively, with around a third of votes counted. Reactions to the vote French President Emmanuel Macron and German Chancellor Angela Merkel branded the vote ""illegal and illegitimate"" following a meeting with Ukraine President Petro Poroshenko on the sidelines of World War I commemorations also attended by Russian leader Vladimir Putin. ""These so-called elections undermine the territorial integrity and sovereignty of Ukraine,"" the pair said in a joint statement. Washington and Brussels had asked Russia not to allow the polls to go ahead, arguing they would further hamper efforts to end a conflict that has killed more than 10,000 people since 2014. The people in eastern Ukraine will be better off within a unified Ukraine at peace rather than in a second-rate police state run by crooks and thugs, all subsidized by Russian taxpayers. ""The people in eastern Ukraine will be better off within a unified Ukraine at peace rather than in a second-rate police state run by crooks and thugs, all subsidised by Russian taxpayers,"" tweeted Kurt Volker, the US special envoy to Ukraine. Kiev urged the West to punish Russia for violating a 2015 peace agreement, while Poroshenko earlier called on east Ukrainians to snub the vote ""at gunpoint"". ""Russia is conducting fake elections in Donbass,"" Poroshenko said, referring to war-torn eastern Ukraine. Peace talks deadlocked  But Russia and local authorities rejected the criticism, saying residents in eastern Ukraine deserved a chance at a normal life and stressing that the turnout was high. ""There was mortar shelling again yesterday. I was even afraid of going to vote,"" Natalya, who declined to give her last name, told AFP at a polling station on the outskirts of Donetsk, a few kilometres from the frontlines. The 61-year-old retiree, who lives in a building with boarded-up windows, said all she wanted was peace and a better pension. Another voter, Lyudmila Sharakhina, said she wanted her rebel region to join Russia. ""Of course, we would like to become (part of) Russia, like Crimea did,"" the 60-year-old said at a polling station at a school that doubles as a bomb shelter. In 2014, Russia annexed Crimea and supported the outbreak of the insurgency in eastern Ukraine in what Kiev sees as punishment for its pivot to the West. While heavy fighting is over, the conflict regularly claims the lives of soldiers and civilians. Four Ukrainian soldiers died in recent days, Kiev said on Saturday. Peace negotiations have hit deadlock and Western-backed accords agreed in 2015 are largely moribund. Many analysts say the polls are a way for Moscow to strengthen its grip on around three percent of Ukrainian territory where 3.7 million people live. 'Russia has chosen'  Moscow, which denies funnelling troops and arms across the border, says the polls are necessary to fill the power vacuum after the assassination of rebel Donetsk leader Alexander Zakharchenko. While several candidates ran in each of the two regions, Pushilin and Leonid Pasechnik were expected to win. Officials pulled out all the stops to encourage a high turnout, setting up food stalls near polling stations and offering lottery tickets to those who voted. Officials said more than 80 percent of eligible voters had cast their ballots in the Donetsk stronghold, while turnout stood at 77 percent in the Lugansk region at the close of polls. People also cast votes for local councillors but some voters said their opinions did not matter. ""Two global masters - the United States and Russia - are dividing territories,"" said Yury, a 50-year-old Donetsk resident, declining to give his surname. Vladimir, a 36-year-old customs broker, said he did not vote, adding that Pushilin would likely win in Donetsk. ""It appears that Russia has already chosen him,"" he told AFP, also declining to provide his surname. Kiev's Western backers say that in order to settle the conflict, Russia should withdraw troops from eastern Ukraine and agree to a UN peacekeeping mission. The last separatist elections were held in 2014 despite protests from the West and Kiev."
TRT World,https://www.trtworld.com/opinion/orthodox-independence-in-ukraine-whats-next-12711119,Orthodox independence in Ukraine: What's Next?,"The Ukraine Orthodox Church has a historic opportunity to gain independence from Moscow, whether it can grasp this opportunity is anyone's guess.",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,TRT World,Ukraine,"The Ukraine Orthodox Church has a historic opportunity to gain independence from Moscow, whether it can grasp this opportunity is anyone's guess.  From recent media coverage of current developments in Ukrainian Orthodoxy, one might assume that the Moscow Patriarchate's affiliate in Ukraine is at the centre of the controversy around autocephaly. To be sure, it is implicated to a degree and it does run the risk of losing some members, who may choose to defect. But it is not the main driver towards autocephaly. Though some of the Russian Church's members may support more independent governance or even autonomy, Nikolay Mitrokhin of Bremen University has correctly observed that their numbers are not that large. Indeed, Ground Zero is found elsewhere. The key initiators of the current autocephalous movement are the two other Orthodox Churches in Ukraine. One is the Ukrainian Orthodox Church under Kyiv Patriarch Filaret (Denysenko), who broke ties with Moscow in 1992, took the helm of the new church in 1995, and was excommunicated by Moscow two years later. The other is the Ukrainian Autocephalous Orthodox Church, established in 1920-21 through the controversial consecration of bishops by priests and a unilateral declaration of autocephaly. Excluded from communion with a patriarchal Church and worldwide Orthodoxy, both churches were isolated and operated in a kind of twilight zone. Legally registered in Ukraine, they were founding members of the country's Interreligious Council, but outcasts in the eyes of world Orthodoxy because Moscow considered their baptism invalid and shunned their members like heretics of a bygone age.   That changed on October 11, when, to the horror of the Moscow Patriarchate, Patriarch Bartholomew and his synod stood up to Patriarch Kirill and recognised these estimated ten million Orthodox Christians as legitimate. On the ground, it was business as usual for the Ukrainian and Russian Orthodox believers, who never gave a hoot about Moscow's canonical histrionics. But the symbolism of this step and the way it set the stage for autocephaly marks a historic shift inside Ukraine and far beyond its borders. The two churches now have canonical recognition, a regularisation of their status as Orthodox institutions. Their next goal is full-fledged autocephaly, and Patriarch Bartholomew spelled out the path: once they unite to form one church, their request will be granted. The Russian Orthodox Church Reacts The Russian Orthodox Church took this as an affront – interference in the internal affairs of its ""canonical territory."" But the Russian-Ukrainian conflict has severely eroded the credibility of that claim for both Ukrainians and Russian citizens of Ukraine. Over the past two decades, the Moscow Patriarchate invested much time and resources to construct the vision of a ""Russian world,"" a thinly-veiled restoration of the USSR, with Ukraine coming to its senses and returning to fold of the one, big, ""happy family."" But now, with autocephaly putting a monkey-wrench in that plan, it appears that the Russian Church had no Plan B. In announcing the Moscow Patriarchate's rupture with Constantinople on October 15, its head of external relations Metropolitan Hilarion (Alfeyev) admitted that it had ""no other choice"". That was very telling. Closely aligned with the Putin regime, and with its liberal faction totally neutralised, the church was in no position to articulate a vision for the future apart from the larger geopolitical agenda. Since the beginning of the war in 2014, its discourse on Ukraine has consistently centred on the hegemonic power of the ""Russian world"" and the tacit hope that the land grabs that began in Ukrainian Crimea and Donbas would soon overtake the entire country. Then Russian Orthodox harmony and solidarity could be imposed, yet again, by force. But when the regime paused in its expansionist advance, the church was caught flat-footed, its discourse locked in the paradigm of geopolitical escapades. What can be expected next from the Russian Church?  In the foreseeable future, especially if the autocephalist project comes to fruition, the venting and raging will continue as long as there is ""no other choice"". Ultimately, time will tell who else will align with Moscow in its bid to force Patriarch Bartholomew to undo what he has done. Now the propaganda machine will have him in its sights, and fake news and media spin cannot be far behind. In fact, they may have already scored some points. Though Ukrainian autocephaly is not yet a fait accompli, international media have taken to equating the very notion of a unified Ukrainian Church with schism, which Christians consider to be one of the lowest forms of hubris. Now, since it is a basic principle of the neo-Soviet agenda to use religion to undermine Ukraine's independence, there can be little doubt that the formula ""Ukrainian autocephaly = schism"" comes from only one source – Moscow. The Promise and Challenges of Autocephaly in Ukraine   First of all, it is clear that time is of the essence. Historic opportunities for fundamental change present themselves only rarely. While ecclesiastical independence has been discussed frequently since Ukraine's independence in 1991, this is the first instance of the political will and the resolve of churches to pursue the goal.  The whole process that found its way to Constantinople was only possible because of an unprecedented convergence of circumstances and an alignment of political and religious priorities in Ukraine. All participants in this initiative are keenly aware that the window will not remain open indefinitely. The stakes are high and the die is cast. What difference can autocephaly make in Ukraine?  It would certainly put to rest numerous issues for Orthodox Christians in Ukraine. The canonical legitimacy that was declared in October would be confirmed and entrenched. It would enable the normalisation of relations with other Orthodox churches – except, predictably, for one hold-out to the north and any other satellites (Belarus, no doubt, and then perhaps the Church of Serbia), that might want to echo Moscow's protestations.  The crowning jewel of canonicity and autocephaly – the act of unification – would be an uplifting precedent at the very birth of a new church, hailed by Orthodox communities throughout the world, and no doubt by other Christians too. That said, autocephaly cannot realistically be expected to answer all questions and solve all problems. If a successful process of unification now depends on exemplary wisdom, selfless courage, and fortitude, those same virtues will have to go into overdrive once autocephaly becomes a fact. For one thing, the organisational, relational, and diplomatic challenges of constituting and consolidating the new institution will be staggering. For another, the temptation to pursue the pattern of a ""symphonic"" partnership with the state may prove irresistible, but it would have grave consequences for democratic and pluralist values. Autocephaly will raise as many, or perhaps even more questions than it answers. In itself, the new ecclesiastical status would not be a panacea in Ukraine. Even if all remaining hurdles are negotiated and the goal is achieved, the new Church will face formidable challenges.  Having won the title, it will need to become an authentic, autocephalous Orthodox Church in all its practical operations; having struggled for a path distinct from that of Russian Orthodoxy, it will need to resist the urge to replicate Soviet habits, such as the model of a state church; and having stood up for European integration and values, it will need to show resolve and not succumb to half-way measures. The new Church will have to face those challenges with wisdom. No less urgently, the present state of emergency, conflict, and crisis cry out for moral leadership with the courage to cut through all obstacles, to build bridges, and to bring peace. The new Church can be a constructive participant in that mission if it chooses. Very shortly after its establishment, the Orthodox Church of Ukraine will define its fundamental options, its vision, and long-term strategy – for better, or worse."
