Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
TRT World,https://www.trtworld.com/turkiye/turkish-students-found-dead-in-ukraine-building-12714875,Turkish students found dead in Ukraine building,"Bodies of two women, aged 20 and 22, were found in their rented apartment in northeastern Kharkiv city, media report.",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/putin-says-no-talks-with-ukraine-about-release-of-sailors-12711742,Putin says no talks with Ukraine about release of sailors,Russia is resisting international calls to release three Ukrainian naval ships that its border patrols fired upon and seized in the strait near Russian-annexed Crimea last weekend.,6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/ukraine-calls-up-reservists-amid-tensions-with-russia-12711762,Ukraine calls up reservists amid tensions with Russia,"Kremlin dismisses Ukrainian leader's statement that the country needs to beef up its defenses to counter the threat of a Russian invasion, as an ""absurd"" attempt to inflame tensions.",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/ukraines-orthodox-bishops-establish-new-church-12712452,Ukraine's Orthodox bishops establish new church,Ukrainian Orthodox leaders say they have approved the creation of a unified church independent of the Moscow Patriarchate and elected a leader to head the new church.,6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/business/imf-approves-dollar39b-credit-line-for-ukraine-releases-dollar14b-immediately-12712534,"IMF approves $3.9B credit line for Ukraine, releases $1.4B immediately","A $3.9 billion stand-by aid agreement for Ukraine has been approved by the IMF, ahead of a turbulent election period. The World Bank has also announced a $750 billion loan guarantee.",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/opinion/its-been-five-years-since-russia-annexed-crimea-12715248,It's been five years since Russia annexed Crimea,It is in everyone’s interest that Ukraine remains independent and sovereign and maintains the ability to choose its destiny without outside interference.,6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/kiev-and-west-slam-elections-in-separatist-ruled-ukraine-cities-12710453,Kiev and West slam elections in separatist-ruled Ukraine cities,"US embassy in Kiev calls on residents of two self-proclaimed republics Donetsk and Lugansk to boycott ""the elections which are not in line with either the Minsk agreements or Ukrainian law.""",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/ukraine-separatists-hold-polls-in-defiance-of-west-12710483,Ukraine separatists hold polls in defiance of West,"EU foreign policy chief Federica Mogherini says the bloc considered the polls in Donetsk and Lugansk to be ""illegal and illegitimate and will not recognise them.""",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/ukraine-separatists-elect-leaders-in-defiance-of-west-12710499,Ukraine separatists elect leaders in defiance of West,Kremlin-backed separatists choose their new leaders despite Western calls on Moscow not to sabotage peace talks.,6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/opinion/orthodox-independence-in-ukraine-whats-next-12711119,Orthodox independence in Ukraine: What's Next?,"The Ukraine Orthodox Church has a historic opportunity to gain independence from Moscow, whether it can grasp this opportunity is anyone's guess.",6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/magazine/will-comedians-election-victory-end-ukraines-political-divide-12724032,Will comedian’s election victory end Ukraine’s political divide?,Renowned TV comic Volodymyr Zelenskiy’s very likely victory may transcend the country's deepest political schism which has long played into the Russian hands.,6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/opinion/can-a-comedian-in-ukraine-become-a-servant-of-the-people-12724045,Can a comedian in Ukraine become a 'servant of the people'?,Volodomyr Zelensky might be a comedian but the first round of voting has shown that his candidacy is no joke.,6 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/rivals-in-ukraines-presidential-runoff-debate-at-stadium-12724912,Rivals in Ukraine's presidential runoff debate at stadium,Incumbent President Petro Poroshenko attacks candidate Volodymyr Zelenskiy's inexperience and claims he is dangerously pro-Russia and in turn the comic actor accuses his rival of being corrupt.,5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/comedian-appears-set-to-take-presidency-in-ukraine-vote-12724926,Comedian appears set to take presidency in Ukraine vote,"Dismayed by endemic corruption and a struggling economy, Ukrainian voters appear poised to strongly rebuke incumbent Petro Poroshenko and replace him with TV star Volodymyr Zelenskiy.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/five-things-to-know-about-ukraine-12724930,Five things to know about Ukraine,Polls have opened and Ukrainians are voting in the second round of the country's presidential election. Here are five facts about a country at war wanting transformational change.,5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/new-ukraine-president-zelenskiy-dissolves-parliament-12726024,New Ukraine President Zelenskiy dissolves parliament,"Zelenskiy, a comedian with no prior political experience, won the presidency by a landslide last month but his new party has no representation in parliament, making it expedient for him to call a snap poll while his popularity remains high.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/russia-ukraine-swap-prisoners-in-landmark-first-step-to-ease-tensions-12728567,"Russia, Ukraine swap prisoners in landmark 'first step' to ease tensions","Russia and Ukraine conducted a major prisoner exchange that freed 35 people detained in each country and flew them to the other, a deal that could help advance Russia-Ukraine relations and end five years of fighting in Ukraine's east.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/g7-leaders-make-joint-statement-on-fair-trade-12728263,G7 leaders make joint statement on fair trade,"A statement issued at the conclusion of the two-day meeting of the G7 leaders in the French resort city of Biarritz, says the main issues covered included trade, Iran, Libya, Ukraine and Hong Kong.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/ukraine-detains-russian-tanker-moscow-warns-of-consequences-12727476,"Ukraine detains Russian tanker, Moscow warns of consequences","Russia threatened ""there will soon be consequences"" if any Russian members of the crew of the tanker detained by Kiev were ""taken hostage.""",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/nine-killed-in-ukraine-hotel-fire-12728010,Nine killed in Ukraine hotel fire,The fire in the port city of Odessa led authorities to launch a country-wide inspection of safety regulations in holiday resorts and hotels in the country.,5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/ukraines-zelenskiy-visits-frontline-positions-in-luhansk-region-12726225,Ukraine's Zelenskiy visits frontline positions in Luhansk region,"Ukraine's new President Volodymyr Zelenskiy visited military positions in the country's east, where the army has been fighting Russia-backed separatists for five years. Zelenskiy was inaugurated a week ago.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/turkiye/erdogan-denounces-russias-annexation-of-crimea-12733981,Erdogan denounces Russia's annexation of Crimea,"Turkish President Erdogan meets Ukrainian President Volodymyr Zelenskiy in Kiev, voices support for Ukraine's territorial integrity.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/magazine/ukraine-international-airlines-flight-752-the-questions-that-need-answers-12735404,Ukraine International Airlines Flight 752: The questions that need answers,Western officials say that the flight was brought down by a missile fired by the Iranians while Tehran insists that the likely cause was a mechanical failure.,5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/middle-east/fast-and-deadly-missile-system-suspected-of-bringing-down-ukraine-boeing-12735412,Fast and deadly: missile system suspected of bringing down Ukraine Boeing,"As more information emerges on the tragic Ukrainian passenger jet crash in Iran, it appears the plane may have been accidentally shot down by an Iranian anti-aircraft missile, possibly a Tor-M1.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/asia/iran-accidentally-shot-down-ukraine-airliner-us-canadian-uk-leaders-12735428,"Iran 'accidentally' shot down Ukraine airliner – US, Canadian, UK leaders","Iran rules out a missile strike as the cause of a Ukrainian passenger plane crash, saying such a scenario made ""no sense,"" as US media citing officials report the plane was mistakenly downed by Iran during confrontation with US.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/turkiye/erdogan-and-putin-inaugurate-turkstream-pipeline-12735511,Erdogan and Putin inaugurate TurkStream pipeline,The Turkish and Russian presidents formally launched TurkStream gas pipeline which will carry Russian natural gas to southern Europe through Turkey. The project is part of Moscow's efforts to reduce shipments via Ukraine.,5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/business/russias-gazprom-pays-dollar29b-to-ukraines-naftogaz-12736091,Russia's Gazprom pays $2.9B to Ukraine's Naftogaz,Gazprom said Naftogaz of Ukraine has confirmed receipt of $2.918 billion in compensation from Gazprom in compliance with the 2018 Stockholm Arbitration's award.,5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/ukraine-rivals-exchange-200-prisoners-in-controversial-swap-12736079,Ukraine rivals exchange 200 prisoners in controversial swap,"Ukrainian government forces and pro-Russian separatists in eastern regions completed the prisoner swap, exchanging all remaining detainees in the five-year conflict.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/zelenskiys-party-in-spotlight-as-ukraine-holds-snap-parliament-election-12727373,Zelenskiy's party in spotlight as Ukraine holds snap parliament election,"President Volodymyr Zelenskiy dissolved the Verkhovna Rada during his swearing-in ceremony in May, triggering snap polls.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/ukraine-presidents-party-on-course-to-win-majority-in-new-parliament-12727389,Ukraine president's party on course to win majority in new parliament,"The Servant of the People party has the largest share in votes counted as yet in the snap parliamentary election, according to the election commission.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/zelenskiys-party-wins-record-score-in-ukraine-vote-exit-polls-12727384,Zelenskiy's party wins record score in Ukraine vote - exit polls,"Zelenskiy's Servant of the People party — named after the sitcom he starred in before his shock presidential win in April — took 43.9 percent of the vote in Sunday's election, according to combined figures from three pollsters.",5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
TRT World,https://www.trtworld.com/europe/council-of-europe-assembly-authorises-russias-return-12726843,Council of Europe assembly authorises Russia's return,Council of Europe member states have agreed that Russia could present a delegation from Tuesday despite strong opposition from Ukraine.,5 YEARS AGO,2024-10-13 17:31:25.337956,Ukraine War,-,Ukraine,-
